# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 29
# run: dd17e3c9-561e-4e19-8105-bfc3f1d8120e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	13	1118	9126	73008	0	0	57.30981682564159	57.30981682564159	57.30981682564159	57.30981682564159	37.11405924191615,38.79569952994369,38.79569952994369,41.06065346802628,54.73132634298879,54.73132634298879,54.73132634298879,55.706722271673804,55.53155776182656,55.57507834278982,56.484668498328716,57.30981682564159,57.30981682564159	0.9960817657423182	57.30981682564159	0	true	266
26	15	15	1	86	702	5616	0	0	65.46857614452817	65.46857614452817	65.46857614452817	65.46857614452817	65.46857614452817	0.9960817657423182	65.46857614452817	0	true	20
27	15	15	23	1978	16146	129168	0	0	66.38281654723578	66.38281654723578	66.38281654723578	66.38281654723578	66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.36203014842624,66.37698466869493,66.37698466869493,66.37698466869493,66.37698466869493,66.37698466869493,66.38281654723578,66.38281654723578	0.9959128826372083	66.38281654723578	0	true	43
28	15	15	1	86	702	5616	0	0	64.51131439404264	64.51131439404264	64.51131439404264	64.51131439404264	64.51131439404264	0.9956704147505866	64.51131439404264	0	true	7
29	17	17	19	1786	13338	106704	0	0	70.20716619794102	70.20716619794102	70.20716619794102	70.20716619794102	67.40775615215861,67.40775615215861,68.31372989956968,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,69.28821595522103,70.20716619794102,70.20716619794102	0.9953534847676211	70.20716619794102	0	true	37
30	18	18	15	1470	10530	84240	0	0	69.63486771579018	69.63486771579018	69.63486771579018	69.63486771579018	68.55902780442054,68.55902780442054,69.32511316468336,68.52918081911139,69.35915505389119,65.40667163898542,65.40667163898542,67.92239511359715,67.86362475859895,68.68765725207957,68.68765725207957,68.68765725207957,68.68765725207957,69.63486771579018,69.63486771579018	0.9952459040363794	69.63486771579018	0	true	14
31	20	19	16	1632	11232	89856	0	0	72.0682925215121	72.0682925215121	72.0682925215121	72.0682925215121	65.35588266307305,66.53336565874744,66.53336565874744,66.53336565874744,66.53336565874744,66.53336565874744,66.53336565874744,66.53336565874744,66.53336565874744,68.55375533424096,68.55375533424096,68.55375533424096,68.55375533424096,71.45381386103087,72.0682925215121,72.0682925215121	0.9947717884793941	72.0682925215121	0	true	28
32	20	18	7	686	4914	39312	0	0	73.75041918032966	73.75041918032966	73.75041918032966	73.75041918032966	70.16933929885951,70.16933929885951,72.39716182173784,72.39716182173784,72.80761316032167,73.75041918032966,73.75041918032966	0.994433912604821	73.75041918032966	0	true	18
33	22	21	15	1650	10530	84240	0	0	67.30688303842456	67.30688303842456	67.30688303842456	67.30688303842456	63.20247170629948,62.893057356003325,64.43762449288747,66.2236739119654,67.20848596085715,67.20848596085715,67.28780550241194,67.28780550241194,67.28780550241194,67.28780550241194,67.28780550241194,67.28780550241194,67.28780550241194,67.30688303842456,67.30688303842456	0.9931629758519094	67.30688303842456	0	true	9
34	23	22	15	1710	10530	84240	0	0	68.45708926917202	68.45708926917202	68.45708926917202	68.45708926917202	67.64112347241787,67.64112347241787,67.64112347241787,67.64112347241787,67.64112347241787,67.64112347241787,67.64112347241787,67.64112347241787,67.64112347241787,67.64112347241787,67.64112347241787,67.64112347241787,67.64112347241787,68.45708926917202,68.45708926917202	0.992808650324241	68.45708926917202	0	true	11
35	23	22	1	114	702	5616	0	0	69.82402647558867	69.82402647558867	69.82402647558867	69.82402647558867	69.82402647558867	0.992808650324241	69.82402647558867	0	true	4
36	24	23	2	236	1404	11232	0	0	72.27850194442092	72.27850194442092	72.27850194442092	72.27850194442092	72.27850194442092,72.27850194442092	0.992453337817387	72.27850194442092	0	true	4
37	24	23	7	826	4914	39312	0	0	72.41540372669904	72.41540372669904	72.41540372669904	72.41540372669904	68.88308093447165,71.18543044272913,71.18543044272913,71.18543044272913,71.18543044272913,72.41540372669904,72.41540372669904	0.9925063057003531	72.41540372669904	0	true	18
38	24	23	1	118	702	5616	0	0	74.19728466676727	74.19728466676727	74.19728466676727	74.19728466676727	74.19728466676727	0.9925063057003531	74.19728466676727	0	true	5
39	27	24	30	3660	21060	168480	0	0	73.96382319018545	73.96382319018545	73.96382319018545	73.96382319018545	64.60635414510494,68.33193555165835,71.26510371187022,71.26510371187022,73.26483541326499,71.84703991178316,71.84703991178316,71.84703991178316,71.84703991178316,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,72.95413773961202,73.96382319018545,73.96382319018545	0.9920363208340341	73.96382319018545	0	true	30
40	29	26	19	2470	13338	106704	0	0	81.46488923344744	81.46488923344744	81.46488923344744	81.46488923344744	74.61064694725177,74.61064694725177,77.0929958166774,77.87652066308374,77.87652066308374,77.87652066308374,77.87652066308374,77.87652066308374,79.7756405199785,79.7756405199785,80.56863797065961,80.56863797065961,80.56863797065961,80.56863797065961,81.36682902611501,81.36682902611501,81.36682902611501,81.46488923344744,81.46488923344744	0.9912209663622872	81.46488923344744	0	true	16
41	30	27	3	402	2106	16848	0	0	78.97498349263721	78.97498349263721	78.97498349263721	78.97498349263721	78.00310307893875,78.97498349263721,78.97498349263721	0.990559726862649	78.97498349263721	0	true	5
42	31	29	13	1846	9126	73008	0	0	85.32045495825199	85.32045495825199	85.32045495825199	85.32045495825199	82.61890530095008,82.61890530095008,82.61890530095008,82.61890530095008,82.61890530095008,82.61890530095008,82.61890530095008,84.15850589487337,84.15850589487337,84.15850589487337,84.78802918075161,85.32045495825199,85.32045495825199	0.9902105190048327	85.32045495825199	0	true	7
43	31	26	18	2340	12636	101088	0	0	76.4834219592963	76.4834219592963	76.4834219592963	76.4834219592963	73.55284943934357,73.55284943934357,73.55284943934357,73.95173401809191,72.2609930171362,74.04894334166788,74.524449406816,73.10852870100713,75.07238232733212,75.43343780774254,76.44040458264594,76.44040458264594,76.44765178931856,76.44765178931856,76.44765178931856,76.44765178931856,76.4834219592963,76.4834219592963	0.990233219526104	76.4834219592963	0	true	17
44	31	27	7	938	4914	39312	0	0	81.70212389616403	81.70212389616403	81.70212389616403	81.70212389616403	79.22154574724976,80.79980753202301,80.79980753202301,80.79980753202301,80.79980753202301,81.70212389616403,81.70212389616403	0.9900101622301344	81.70212389616403	0	true	6
45	31	26	4	520	2808	22464	0	0	79.75777145561355	79.75777145561355	79.75777145561355	79.75777145561355	79.05687389857842,79.05687389857842,79.75777145561355,79.75777145561355	0.9900443775085722	79.75777145561355	0	true	7
46	32	27	8	1072	5616	44928	0	0	76.04610719977667	76.04610719977667	76.04610719977667	76.04610719977667	68.53012572543756,68.53012572543756,71.03020071382309,73.53125197793089,75.05617978082044,75.05617978082044,76.04610719977667,76.04610719977667	0.989885437304889	76.04610719977667	0	true	6
47	32	25	12	1512	8424	67392	0	0	68.55746180748177	68.55746180748177	68.55746180748177	68.55746180748177	59.89101416944577,59.89101416944577,66.26404724464511,66.26404724464511,66.26404724464511,66.26404724464511,66.26404724464511,66.26404724464511,68.54228339547592,68.54228339547592,68.55746180748177,68.55746180748177	0.9897466022327662	68.55746180748177	0	true	7
48	33	27	26	3484	18252	146016	0	0	74.35660253948596	74.35660253948596	74.35660253948596	74.35660253948596	66.22884367155834,67.02854554229798,67.6572125107249,67.71533276613619,68.06050695893359,68.312502159842,66.97169954352891,69.27489405536535,72.17457496618756,72.17457496618756,72.17457496618756,72.17457496618756,72.17457496618756,73.4562968470697,73.4562968470697,73.4562968470697,73.4562968470697,73.4562968470697,73.4562968470697,73.4562968470697,73.45673132139204,73.45673132139204,73.45673132139204,73.45673132139204,74.35660253948596,74.35660253948596	0.9895397752611839	74.35660253948596	0	true	17
49	35	30	23	3358	16146	129168	0	0	79.02812051694946	79.02812051694946	79.02812051694946	79.02812051694946	77.51341378765886,78.31315844419751,78.31315844419751,78.31315844419751,78.34825204202585,78.34825204202585,78.34825204202585,74.48483554291728,74.48483554291728,74.48483554291728,74.48483554291728,75.82345141374364,76.60413595932933,77.40444714583757,77.40444714583757,77.40444714583757,77.9509545650117,77.9509545650117,76.88842578131604,77.80021772626344,77.80021772626344,79.02812051694946,79.02812051694946	0.9893659207053612	79.02812051694946	0	true	22
50	35	25	27	3402	18954	151632	0	0	64.28506871556858	64.28506871556858	64.28506871556858	64.28506871556858	40.34311498501579,43.611884376181095,47.847551062234686,47.847551062234686,47.847551062234686,47.847551062234686,47.847551062234686,55.42175486713449,55.42175486713449,59.562699114387854,59.562699114387854,59.562699114387854,62.45671040886688,62.45671040886688,62.45671040886688,61.70031949925868,61.70031949925868,61.70031949925868,61.70031949925868,61.70031949925868,61.70031949925868,61.70031949925868,61.70031949925868,61.70031949925868,62.28510021703319,64.28506871556858,64.28506871556858	0.9895123226179076	64.28506871556858	0	true	9
51	38	27	32	4288	22464	179712	0	0	74.17247397523784	74.17247397523784	74.17247397523784	74.17247397523784	67.39052989836384,67.39052989836384,63.85522405295666,63.85522405295666,68.66606916768441,68.66606916768441,68.66606916768441,70.70606995509412,70.70606995509412,70.70606995509412,70.70606995509412,70.70606995509412,70.70606995509412,70.70606995509412,72.45553317227268,72.02845235956542,72.18178156716797,74.16313510533317,74.16313510533317,74.16313510533317,74.16313510533317,74.16313510533317,74.16313510533317,74.16313510533317,74.16313510533317,74.16313510533317,74.16313510533317,74.16313510533317,74.16313510533317,74.16313510533317,74.17247397523784,74.17247397523784	0.9884723024396662	74.17247397523784	0	true	12
52	39	27	19	2546	13338	106704	0	0	75.80010187541043	75.80010187541043	75.80010187541043	75.80010187541043	73.69027978017002,73.69027978017002,73.69027978017002,73.69027978017002,73.55499238884717,73.55499238884717,73.55499238884717,73.62709169075583,73.62709169075583,73.62709169075583,73.62709169075583,73.62709169075583,73.62709169075583,73.62709169075583,73.62709169075583,75.6146825705681,75.6146825705681,75.80010187541043,75.80010187541043	0.9882915390295436	75.80010187541043	0	true	8
53	40	29	12	1704	8424	67392	0	0	78.01971965764938	78.01971965764938	78.01971965764938	78.01971965764938	77.96656286491725,77.96656286491725,77.96656286491725,77.96656286491725,77.96656286491725,77.96656286491725,77.96656286491725,77.96656286491725,77.96656286491725,77.96656286491725,78.01971965764938,78.01971965764938	0.9880171588159175	78.01971965764938	0	true	6
54	41	30	4	584	2808	22464	0	0	79.94866527783515	79.94866527783515	79.94866527783515	79.94866527783515	79.9072302290439,79.9072302290439,79.94866527783515,79.94866527783515	0.9877354310905755	79.94866527783515	0	true	6
55	41	31	32	4800	22464	179712	0	0	78.51900255425629	78.51900255425629	78.51900255425629	78.51900255425629	73.29785283680987,73.29785283680987,76.23052724341849,76.23052724341849,76.23052724341849,76.23052724341849,76.23052724341849,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,77.03089961319833,78.51900255425629,78.51900255425629	0.9872498373312082	78.51900255425629	0	true	40
56	41	32	8	1232	5616	44928	0	0	82.2359505448135	82.2359505448135	82.2359505448135	82.2359505448135	78.96794962260708,82.08510124989253,82.08510124989253,82.08510124989253,82.08510124989253,82.08510124989253,82.2359505448135,82.2359505448135	0.9869698642355298	82.2359505448135	0	true	7
57	42	32	24	3696	16848	134784	0	0	83.53957736398007	83.53957736398007	83.53957736398007	83.53957736398007	77.66463007328844,77.66463007328844,79.36464235622176,79.36464235622176,79.36464235622176,79.36464235622176,79.36464235622176,80.15464928693984,80.15464928693984,80.15464928693984,80.15464928693984,82.13663872616931,82.13663872616931,82.13663872616931,82.13663872616931,82.13663872616931,82.13663872616931,82.43570985560041,82.43570985560041,83.5317262722057,83.53655716104336,83.53655716104336,83.53957736398007,83.53957736398007	0.9868466380564552	83.53957736398007	0	true	20
58	42	33	11	1738	7722	61776	0	0	85.65939927478364	85.65939927478364	85.65939927478364	85.65939927478364	83.50375406988589,83.50375406988589,83.50375406988589,83.66005288612767,83.66005288612767,83.66005288612767,83.66005288612767,83.66005288612767,83.66005288612767,85.65939927478364,85.65939927478364	0.9869216484745689	85.65939927478364	0	true	28
59	42	30	14	2044	9828	78624	0	0	76.89901289838873	76.89901289838873	76.89901289838873	76.89901289838873	73.51358546005932,74.21365645939116,76.4921573226976,76.4921573226976,76.4921573226976,76.4921573226976,76.4921573226976,76.4921573226976,74.92988645924804,74.92988645924804,76.19300970316256,76.19300970316256,76.89901289838873,76.89901289838873	0.9865400165227626	76.89901289838873	0	true	27
60	42	31	8	1200	5616	44928	0	0	78.34512977867765	78.65385857522935	78.34512977867765	80.35504636725244	78.22721620694907,78.65385857522935,78.65385857522935,78.65385857522935,76.78156381734091,77.58165987186487,78.34512977867765,78.34512977867765	0.9865275147864104	78.65385857522935	0	true	41
61	43	31	5	750	3510	28080	0	0	80.69457360000136	80.69457360000136	80.69457360000136	80.69457360000136	77.79513483573622,79.93458055033953,79.93458055033953,80.69457360000136,80.69457360000136	0.9863508089573844	80.69457360000136	0	true	6
62	43	28	10	1380	7020	56160	0	0	76.2278106104337	76.2278106104337	76.2278106104337	76.2278106104337	65.9778779675164,71.32816977476787,72.01302383456789,72.01302383456789,72.01302383456789,72.01302383456789,74.79386182974388,74.79386182974388,76.2278106104337,76.2278106104337	0.9862288621957728	76.2278106104337	0	true	10
63	44	30	15	2190	10530	84240	0	0	81.8105963785589	81.8105963785589	81.8105963785589	81.8105963785589	78.1825817033787,78.1825817033787,79.07943207315093,79.07943207315093,80.55506373121592,80.55506373121592,80.55506373121592,80.55506373121592,81.332450989138,81.55671243037548,81.55671243037548,81.55671243037548,81.55671243037548,81.8105963785589,81.8105963785589	0.9861051608044978	81.8105963785589	0	true	14
64	44	31	26	3900	18252	146016	0	0	84.22981694335142	84.22981694335142	84.22981694335142	84.22981694335142	77.30820708591597,82.4574957018975,82.4574957018975,82.4574957018975,82.4574957018975,82.4574957018975,82.4574957018975,82.4574957018975,82.4574957018975,82.4574957018975,82.4574957018975,82.4574957018975,82.4574957018975,83.22085214409181,83.22085214409181,83.4296238472649,82.23042453719744,82.23042453719744,82.23042453719744,82.23042453719744,83.03028381517846,83.03028381517846,83.03028381517846,83.03028381517846,84.22981694335142,84.22981694335142	0.9860219255598366	84.22981694335142	0	true	13
65	44	30	11	1606	7722	61776	0	0	82.7276559822614	82.7276559822614	82.7276559822614	82.7276559822614	74.91227736467462,77.78910122943698,77.78910122943698,79.74883362078276,79.74883362078276,79.74883362078276,81.72697392289064,81.72697392289064,81.72697392289064,82.7276559822614,82.7276559822614	0.9860887111514027	82.7276559822614	0	true	27
66	45	29	7	994	4914	39312	0	0	73.15078940468707	73.15078940468707	73.15078940468707	73.15078940468707	68.44609848625872,72.24656508147459,72.24656508147459,72.24656508147459,72.24656508147459,73.15078940468707,73.15078940468707	0.9851087139295664	73.15078940468707	0	true	6
67	46	29	10	1420	7020	56160	0	0	78.32016365946635	78.32016365946635	78.32016365946635	78.32016365946635	76.71397070592154,78.28506113700732,78.28506113700732,78.28506113700732,78.28506113700732,78.28506113700732,78.28506113700732,77.10578848712302,78.32016365946635,78.32016365946635	0.9848119987425155	78.32016365946635	0	true	7
68	46	26	14	1820	9828	78624	0	0	62.537207989320656	62.537207989320656	62.537207989320656	62.537207989320656	51.738104106773775,51.26869501730121,53.206149514734086,55.684669190209526,55.684669190209526,56.54582309538813,61.702824156481284,61.702824156481284,62.502886933760124,62.502886933760124,62.502886933760124,62.502886933760124,62.537207989320656,62.537207989320656	0.9843193864644944	62.537207989320656	0	true	7
69	47	28	30	4140	21060	168480	0	0	79.53597877613629	79.53597877613629	79.53597877613629	79.53597877613629	55.527759716302654,56.31370941837051,63.40660846295904,63.40660846295904,66.07918577687111,66.07918577687111,66.07918577687111,68.8216985539888,68.8216985539888,69.5481110581451,69.5481110581451,69.5481110581451,69.5481110581451,69.5481110581451,69.5481110581451,72.19371349372246,73.53363208017795,73.53363208017795,75.41174375324623,78.08706019292376,78.08706019292376,78.08706019292376,78.08706019292376,78.08706019292376,78.08706019292376,78.08706019292376,78.08706019292376,78.08706019292376,79.53597877613629,79.53597877613629	0.9817300648481879	79.53597877613629	0	true	20
