# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 22
# run: e2c45851-aea9-432d-98b2-a5d016342e70
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	13	1118	9126	73008	0	0	56.34379746540615	56.34379746540615	56.34379746540615	56.34379746540615	35.92428423273164,40.16222906495333,44.13233032962921,48.349068474131656,51.61981421806959,52.55165704653702,54.378306168065976,54.378306168065976,55.36936209987458,55.36936209987458,55.36936209987458,56.34379746540615,56.34379746540615	0.9960817657423182	56.34379746540615	0	true	238
26	15	15	1	86	702	5616	0	0	64.57104842713204	64.57104842713204	64.57104842713204	64.57104842713204	64.57104842713204	0.9960817657423182	64.57104842713204	0	true	17
27	15	15	40	3440	28080	224640	0	0	65.6211934603871	65.6211934603871	65.6211934603871	65.6211934603871	63.47190451317776,63.47190451317776,65.5286104868978,65.59033176602114,65.59033176602114,65.59033176602114,65.59033176602114,65.59033176602114,65.59033176602114,65.59033176602114,65.59033176602114,65.59033176602114,65.59033176602114,65.60609362307673,65.60609362307673,65.60609362307673,65.60609362307673,65.60609362307673,65.60609362307673,65.60609362307673,65.60609362307673,65.60609362307673,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.61138883842185,65.6211934603871,65.6211934603871	0.9959128826372083	65.6211934603871	0	true	71
28	16	16	4	360	2808	22464	0	0	67.44502689108324	67.44502689108324	67.44502689108324	67.44502689108324	66.87110889767312,66.87110889767312,67.44502689108324,67.44502689108324	0.9955312141306174	67.44502689108324	0	true	7
29	17	17	4	376	2808	22464	0	0	68.86820441795489	68.86820441795489	68.86820441795489	68.86820441795489	68.04592840189848,68.04592840189848,68.86820441795489,68.86820441795489	0.9952702495229601	68.86820441795489	0	true	17
30	20	20	13	1378	9126	73008	0	0	73.05263740749537	73.05263740749537	73.05263740749537	73.05263740749537	69.96898033070339,70.33659457130719,70.33659457130719,70.33659457130719,69.81726452643011,72.23538463364217,72.23538463364217,72.23538463364217,72.23538463364217,72.23538463364217,72.23538463364217,73.05263740749537,73.05263740749537	0.9948494308420032	73.05263740749537	0	true	22
31	20	18	11	1078	7722	61776	0	0	69.22889365084791	69.22889365084791	69.22889365084791	69.22889365084791	64.4260385394907,64.4260385394907,64.4260385394907,60.93462590734637,62.61114919904969,62.61114919904969,67.01052878100998,68.71865653316902,68.71865653316902,69.22889365084791,69.22889365084791	0.9948217954248032	69.22889365084791	0	true	22
32	20	17	12	1128	8424	67392	0	0	65.75215101301143	65.75215101301143	65.75215101301143	65.75215101301143	63.29704251417438,63.29704251417438,63.32830678986839,63.75288794593247,63.75288794593247,63.75288794593247,63.75288794593247,63.75288794593247,63.75288794593247,63.75288794593247,65.75215101301143,65.75215101301143	0.9941063451795205	65.75215101301143	0	true	8
33	23	21	37	4070	25974	207792	0	0	65.34915678731586	65.34915678731586	65.34915678731586	65.34915678731586	56.62527848260933,60.485028035653364,60.485028035653364,63.77080168137586,63.77080168137586,64.97449123593547,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.14624991759213,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.23397976669953,65.34915678731586,65.34915678731586	0.9931421396246555	65.34915678731586	0	true	35
34	23	21	1	110	702	5616	0	0	66.45663917416628	66.45663917416628	66.45663917416628	66.45663917416628	66.45663917416628	0.9929575745169286	66.45663917416628	0	true	7
35	24	23	14	1652	9828	78624	0	0	70.72341842560846	70.72341842560846	70.72341842560846	70.72341842560846	63.3670124515063,63.3670124515063,63.3670124515063,64.98771247287038,65.36394152738973,65.36394152738973,65.36394152738973,66.58044654741006,66.58044654741006,66.58044654741006,66.58044654741006,69.4041468206957,70.72341842560846,70.72341842560846	0.9926632353908803	70.72341842560846	0	true	32
36	24	23	6	708	4212	33696	0	0	73.12002141852022	73.12002141852022	73.12002141852022	73.12002141852022	72.2192424465778,72.2192424465778,72.2192424465778,72.2192424465778,73.12002141852022,73.12002141852022	0.992453337817387	73.12002141852022	0	true	11
37	24	23	6	708	4212	33696	0	0	72.21746277834667	72.21746277834667	72.21746277834667	72.21746277834667	70.69941294158,70.28721954151936,70.28721954151936,70.28721954151936,72.21746277834667,72.21746277834667	0.992489856047258	72.21746277834667	0	true	5
