# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 2
# run: 056cca08-fdc3-49e6-9650-9135d69f9970
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	37	3330	34410	275280	0	0	60.81692598303735	60.81692598303735	60.81692598303735	60.81692598303735	32.893791577585674,41.23970053554589,49.65797673256883,47.02437205512119,49.24404738258201,52.80151413430749,52.80151413430749,52.80151413430749,54.77744905291092,54.77744905291092,56.674228344325385,56.674228344325385,56.674228344325385,57.84226044889391,57.84226044889391,57.84226044889391,57.84226044889391,57.84226044889391,57.84226044889391,57.84243536060126,57.840227446866336,57.840227446866336,60.73423353550588,60.73423353550588,60.73423353550588,60.73570907701175,60.73570907701175,60.73626653753345,60.73626653753345,60.73626653753345,60.73626653753345,60.73626653753345,60.73626653753345,60.73626653753345,60.73626653753345,60.81692598303735,60.81692598303735	0.9960817657423182	60.81692598303735	2	true	403
26	15	15	1	90	930	7440	0	0	70.02109793471908	70.02109793471908	70.02109793471908	70.02109793471908	70.02109793471908	0.9960817657423182	70.02109793471908	2	true	5
27	15	15	12	1080	11160	89280	0	0	73.49858032399767	73.49858032399767	73.49858032399767	73.49858032399767	73.49526061357054,73.49526061357054,73.49526061357054,73.49526061357054,73.49526061357054,73.49526061357054,73.49526061357054,73.49526061357054,73.49526061357054,73.49526061357054,73.49858032399767,73.49858032399767	0.9960817657423182	73.49858032399767	2	true	24
28	15	15	1	90	930	7440	0	0	76.80450092061965	76.80450092061965	76.80450092061965	76.80450092061965	76.80450092061965	0.9960817657423182	76.80450092061965	2	true	7
29	15	15	8	720	7440	59520	0	0	77.43260100360855	77.43260100360855	77.43260100360855	77.43260100360855	74.96363996533914,74.96363996533914,74.96363996533914,74.96363996533914,74.96363996533914,74.96363996533914,77.43260100360855,77.43260100360855	0.9959128826372083	77.43260100360855	2	true	40
30	16	16	16	1504	14880	119040	0	0	77.34813280277913	77.34813280277913	77.34813280277913	77.34813280277913	74.7329874189248,75.45344313947025,72.569563259403,70.60638851393541,73.33369688643208,76.23497763849367,76.23497763849367,76.23497763849367,76.23497763849367,76.23497763849367,76.23497763849367,76.23497763849367,75.3817682660363,75.3817682660363,77.34813280277913,77.34813280277913	0.9955312141306174	77.34813280277913	1	true	14
31	17	16	13	1222	12090	96720	0	0	75.93871415668299	76.49383199546382	75.93871415668299	77.19405312438822	76.49383199546382,71.99692569748274,71.99692569748274,71.99692569748274,74.67746396056087,74.67746396056087,74.67746396056087,74.78925141359541,74.78925141359541,74.78925141359541,74.78925141359541,75.93871415668299,75.93871415668299	0.9952870281691172	76.49383199546382	2	true	20
32	17	16	8	752	7440	59520	0	0	76.14637895779362	76.14637895779362	76.14637895779362	76.14637895779362	74.53629987557929,73.67737691690274,73.67737691690274,73.67737691690274,73.67737691690274,74.36193832733014,76.14637895779362,76.14637895779362	0.9952701398586062	76.14637895779362	0	true	5
33	17	17	13	1274	12090	96720	0	0	75.40061549664537	75.40061549664537	75.40061549664537	75.40061549664537	71.59689165712513,71.59689165712513,75.09729605988768,75.09729605988768,75.09729605988768,75.09729605988768,75.09756370926604,75.3596996691169,75.3596996691169,75.3596996691169,75.3596996691169,75.40061549664537,75.40061549664537	0.9948190903707387	75.40061549664537	2	true	24
34	17	16	22	2068	20460	163680	0	0	73.06053576144981	73.06053576144981	73.06053576144981	73.06053576144981	67.84917447555478,67.84917447555478,69.88217987070325,69.88217987070325,69.88217987070325,69.88217987070325,69.88217987070325,71.15983651111382,71.15983651111382,71.15983651111382,71.15983651111382,71.15983651111382,71.15983651111382,71.15983651111382,71.15983651111382,71.15983651111382,71.15983651111382,71.15983651111382,71.15983651111382,71.15983651111382,73.06053576144981,73.06053576144981	0.9947803788537883	73.06053576144981	3	true	38
35	18	17	12	1176	11160	89280	0	0	60.67739636447456	60.67739636447456	60.67739636447456	60.67739636447456	59.28240899433091,59.84283645886339,59.84283645886339,59.84283645886339,59.84283645886339,60.297308192421355,60.638956233348054,60.638956233348054,60.638956233348054,60.638956233348054,60.67739636447456,60.67739636447456	0.9937002946315642	60.67739636447456	3	false	7
36	19	19	11	1166	10230	81840	0	0	65.802589117291	65.802589117291	65.802589117291	65.802589117291	61.16286074731957,61.35456158196037,61.35456158196037,63.88008924810323,64.98567559472473,60.38118783275232,61.635435690405856,65.23019448580581,65.23019448580581,65.802589117291,65.802589117291	0.9934759579181319	65.802589117291	2	true	14
