# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 6
# run: 0e61c752-e9bf-43b6-8f6e-f3a280031c64
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	17	1530	15810	126480	0	0	61.83638111146087	61.83638111146087	61.83638111146087	61.83638111146087	29.765728542572106,38.22186323064696,46.75893534573572,48.758068211672196,50.96506882975382,55.14474459651714,55.14474459651714,55.14474459651714,58.25707868935325,58.25707868935325,59.080451419660406,60.041622412918656,61.137556363405224,61.137556363405224,61.137556363405224,61.83638111146087,61.83638111146087	0.9960817657423182	61.83638111146087	0	true	292
26	15	15	1	90	930	7440	0	0	70.8441853250677	70.8441853250677	70.8441853250677	70.8441853250677	70.8441853250677	0.9960817657423182	70.8441853250677	0	true	9
27	15	15	1	90	930	7440	0	0	69.97702352861374	69.97702352861374	69.97702352861374	69.97702352861374	69.97702352861374	0.9958392978556962	69.97702352861374	0	true	10
28	17	17	32	3136	29760	238080	0	0	70.73109632768977	70.73109632768977	70.73109632768977	70.73109632768977	66.85853445458842,66.85853445458842,67.73770211283903,67.73770211283903,67.73770211283903,67.73770211283903,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.67584467343721,70.73109632768977,70.73109632768977	0.9952533612124491	70.73109632768977	0	true	50
29	20	20	7	770	6510	52080	0	0	80.18619697790156	80.18619697790156	80.18619697790156	80.18619697790156	74.27819453265018,74.27819453265018,74.80214878046947,76.41760188563647,78.65893262893387,80.18619697790156,80.18619697790156	0.9948494308420032	80.18619697790156	0	true	17
30	20	20	1	110	930	7440	0	0	83.27733467170651	83.27733467170651	83.27733467170651	83.27733467170651	83.27733467170651	0.9948494308420032	83.27733467170651	0	true	19
31	21	21	25	2850	23250	186000	0	0	82.93761643188259	82.93761643188259	82.93761643188259	82.93761643188259	77.84069568318517,77.84069568318517,77.84069568318517,80.80261680486933,80.80261680486933,80.80261680486933,80.80261680486933,80.80261680486933,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,81.74105532190623,82.93761643188259,82.93761643188259	0.9940576542063589	82.93761643188259	0	true	13
32	22	22	10	1180	9300	74400	0	0	74.97879256196885	74.97879256196885	74.97879256196885	74.97879256196885	70.91606365946838,70.91606365946838,74.68618860503744,74.68618860503744,74.91315311015826,74.91315311015826,74.91315311015826,74.91315311015826,74.97879256196885,74.97879256196885	0.9931230945818498	74.97879256196885	0	true	24
33	23	22	22	2596	20460	163680	0	0	75.92113354338306	76.27608217891238	75.92113354338306	77.65342232823897	74.60978856475977,75.4841083742297,69.25411848428992,69.92233658029991,69.92233658029991,73.87835519460423,73.87835519460423,73.87835519460423,73.87835519460423,73.87835519460423,73.87835519460423,76.27608217891238,76.27608217891238,76.27608217891238,76.27608217891238,76.27608217891238,76.27608217891238,74.31372038888182,74.36592115459187,75.01132030694089,75.92113354338306,75.92113354338306	0.9929223722593051	76.27608217891238	1	true	29
34	24	24	4	504	3720	29760	0	0	80.77134181069236	80.77134181069236	80.77134181069236	80.77134181069236	80.07076023930782,80.07076023930782,80.77134181069236,80.77134181069236	0.9927601786797875	80.77134181069236	0	true	6
