# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 18
# run: 3dd41a0b-24e2-4a8e-aea3-21e974ea659c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	13	13	100	8200	93000	744000	0	0	55.36123366222841	55.36123366222841	55.95988762796977	55.95988762796977	37.00610520286742,37.00610520286742,40.28647454472542,43.44841505762436,45.308056263087195,44.7395104222155,49.226133325259454,49.226133325259454,51.82598622028687,53.84351228168846,53.84351228168846,53.84351228168846,53.84351228168846,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.10609005942844,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841,55.36123366222841	0.9974818871042032	55.36123366222841	4	false	462
26	15	15	12	1080	11160	89280	0	0	69.60462474770972	69.60462474770972	69.60462474770972	69.60462474770972	59.53264307911955,60.34708354677548,60.34708354677548,62.64256016967781,64.70598185338768,66.65088851386203,63.992367104882234,65.93273091356025,68.38200809286349,68.38200809286349,69.60462474770972,69.60462474770972	0.9966306358339244	69.60462474770972	0	true	16
27	15	15	1	90	930	7440	0	0	73.10612279988817	73.10612279988817	73.10612279988817	73.10612279988817	73.10612279988817	0.9964291824156865	73.10612279988817	0	true	13
28	15	15	13	1170	12090	96720	0	0	75.8168858123772	75.8168858123772	75.8168858123772	75.8168858123772	74.88385133729139,74.88385133729139,74.88385133729139,74.88385133729139,74.88385133729139,74.88385133729139,74.88385133729139,74.88385133729139,74.88385133729139,74.88385133729139,74.88385133729139,75.8168858123772,75.8168858123772	0.9960817657423182	75.8168858123772	0	true	44
29	15	15	1	90	930	7440	0	0	78.4583334264603	78.4583334264603	78.4583334264603	78.4583334264603	78.4583334264603	0.9960817657423182	78.4583334264603	0	true	7
30	15	15	1	90	930	7440	0	0	80.16221870066632	80.16221870066632	80.16221870066632	80.16221870066632	80.16221870066632	0.9960817657423182	80.16221870066632	0	true	10
31	15	14	4	344	3720	29760	0	0	76.20577656240683	76.20577656240683	76.20577656240683	76.20577656240683	75.23894350950806,75.23894350950806,76.20577656240683,76.20577656240683	0.9960906485549893	76.20577656240683	1	true	8
32	15	14	3	258	2790	22320	0	0	75.51423691604546	75.51423691604546	75.51423691604546	75.51423691604546	73.53430060225821,75.51423691604546,75.51423691604546	0.9959217654498799	75.51423691604546	2	true	4
33	15	14	1	86	930	7440	0	0	74.45971303976734	74.45971303976734	74.45971303976734	74.45971303976734	74.45971303976734	0.9957118678763863	74.45971303976734	2	true	7
34	16	16	23	2162	21390	171120	0	0	77.36744013458073	77.36744013458073	77.36744013458073	77.36744013458073	73.32743199889708,74.05800857252794,75.40420193396274,75.08749159237757,75.08749159237757,76.75341219092257,76.75341219092257,76.75341219092257,76.75341219092257,76.75341219092257,76.75341219092257,76.75341219092257,76.75341219092257,76.9355727864316,76.9355727864316,76.9355727864316,76.9355727864316,76.9355727864316,76.9355727864316,76.9355727864316,76.9355727864316,77.36744013458073,77.36744013458073	0.9954420204560575	77.36744013458073	0	true	8
