# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 27
# run: 5848519c-edb7-4851-9d13-8bf247d2b633
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	12	1080	11160	89280	0	0	61.45092462375088	61.45092462375088	61.45092462375088	61.45092462375088	30.02855662726121,38.621619433183824,52.18324667315024,55.2553206527989,56.165722487539014,57.15018236709879,59.4397390921952,60.42400404407155,60.42400404407155,60.42400404407155,61.45092462375088,61.45092462375088	0.9960817657423182	61.45092462375088	1	true	277
26	15	15	1	90	930	7440	0	0	70.59564306028747	70.59564306028747	70.59564306028747	70.59564306028747	70.59564306028747	0.9960817657423182	70.59564306028747	1	true	10
27	15	15	5	450	4650	37200	0	0	71.95366276628786	71.95366276628786	71.95366276628786	71.95366276628786	69.95110498167537,69.95110498167537,69.95110498167537,71.95366276628786,71.95366276628786	0.9959128826372083	71.95366276628786	2	true	20
28	18	18	17	1734	15810	126480	0	0	79.07025262597352	79.07025262597352	79.07025262597352	79.07025262597352	70.62662043174527,70.62662043174527,75.31655295970015,75.31655295970015,76.10505047764374,76.93824528664243,77.46708528610938,78.14158219169349,78.14158219169349,78.14158219169349,78.14158219169349,78.14158219169349,78.14158219169349,78.14158219169349,78.14158219169349,79.07025262597352,79.07025262597352	0.9953460275915513	79.07025262597352	0	true	37
29	19	19	2	212	1860	14880	0	0	82.21890019793332	82.21890019793332	82.21890019793332	82.21890019793332	82.21890019793332,82.21890019793332	0.9950738772197893	82.21890019793332	0	true	31
30	20	19	40	4240	37200	297600	0	0	79.23157597409299	79.23157597409299	79.23157597409299	79.23157597409299	76.01857777143617,76.01857777143617,76.01857777143617,77.48102220665479,77.48102220665479,78.73663492973019,78.73663492973019,78.73663492973019,78.73663492973019,78.73663492973019,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.19359895472279,79.23157597409299,79.23157597409299	0.9947717884793941	79.23157597409299	0	true	45
31	20	19	9	954	8370	66960	0	0	80.99042679407191	80.99042679407191	80.99042679407191	80.99042679407191	77.13242074626176,77.13242074626176,77.13242074626176,77.13242074626176,80.06905332657587,80.06905332657587,80.06905332657587,80.99042679407191,80.99042679407191	0.9944171339586638	80.99042679407191	0	true	7
32	23	22	12	1416	11160	89280	0	0	79.98098249279818	79.98098249279818	79.98098249279818	79.98098249279818	72.95286729662986,75.36619673895554,74.91278187191257,70.48599616884812,72.79531156505047,74.7884960258285,76.78445686616801,77.99970137791091,77.99970137791091,77.99970137791091,79.98098249279818,79.98098249279818	0.993338219489549	79.98098249279818	0	true	10
33	23	22	2	236	1860	14880	0	0	76.90048197129006	76.90048197129006	76.90048197129006	76.90048197129006	76.90048197129006,76.90048197129006	0.992808650324241	76.90048197129006	0	true	24
34	23	22	1	118	930	7440	0	0	77.92086818885767	77.92086818885767	77.92086818885767	77.92086818885767	77.92086818885767	0.992808650324241	77.92086818885767	0	true	4
35	23	22	1	118	930	7440	0	0	78.8115038763598	78.8115038763598	78.8115038763598	78.8115038763598	78.8115038763598	0.9925987527507477	78.8115038763598	0	true	5
