# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 20
# run: 6fe5ae43-5b5c-42c2-a9df-d1c0cfd95003
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	14	1260	13020	104160	0	0	61.87309915166088	61.87309915166088	61.87309915166088	61.87309915166088	37.82357452202248,46.531873775628945,53.79671093230603,58.03351830448382,59.93379111636162,59.93379111636162,57.884134993788855,57.91502171928086,59.22907885552006,59.22907885552006,59.22907885552006,59.22907885552006,61.87309915166088,61.87309915166088	0.9964291824156865	61.87309915166088	1	true	276
26	15	15	13	1170	12090	96720	0	0	71.08800374929656	71.08800374929656	71.08800374929656	71.08800374929656	70.10679028573033,70.10679028573033,70.10679028573033,70.10679028573033,70.10679028573033,70.10679028573033,70.10679028573033,70.10679028573033,70.10679028573033,70.10679028573033,70.10679028573033,71.08800374929656,71.08800374929656	0.9960817657423182	71.08800374929656	1	true	92
27	15	15	1	90	930	7440	0	0	74.79488341417988	74.79488341417988	74.79488341417988	74.79488341417988	74.79488341417988	0.9960817657423182	74.79488341417988	1	true	8
28	15	15	1	90	930	7440	0	0	77.75310463695442	77.75310463695442	77.75310463695442	77.75310463695442	77.75310463695442	0.9960817657423182	77.75310463695442	1	true	7
29	15	15	10	900	9300	74400	0	0	77.81726556994457	77.81726556994457	77.81726556994457	77.81726556994457	77.72202152136995,77.72202152136995,77.72202152136995,77.74117957033455,77.74117957033455,77.74117957033455,77.76364971566707,77.76364971566707,77.81726556994457,77.81726556994457	0.9959128826372083	77.81726556994457	1	true	53
30	15	15	1	90	930	7440	0	0	77.35050695963533	77.35050695963533	77.35050695963533	77.35050695963533	77.35050695963533	0.9957029850637148	77.35050695963533	1	true	4
31	17	16	25	2350	23250	186000	0	0	72.76238058362738	72.95770779799689	72.76238058362738	75.93191091604506	71.81078118089344,68.93511935788362,72.6953334867854,72.95770779799689,64.5149767207637,61.976500380814656,61.976500380814656,70.09586109599017,71.3039904066426,71.3039904066426,71.57899370302108,71.57899370302108,71.57899370302108,71.57899370302108,71.57899370302108,71.57899370302108,71.57899370302108,71.57899370302108,69.82153281228733,70.79149875682894,70.79149875682894,70.79149875682894,70.79149875682894,72.76238058362738,72.76238058362738	0.9953117026487598	72.95770779799689	2	true	40
32	17	16	5	470	4650	37200	0	0	76.25258609691333	76.25258609691333	76.25258609691333	76.25258609691333	76.22555470819165,76.22555470819165,75.76068835292112,76.25258609691333,76.25258609691333	0.9953117026487598	76.25258609691333	1	true	5
33	17	17	11	1078	10230	81840	0	0	76.40714853965265	76.40714853965265	76.40714853965265	76.40714853965265	76.35290970266175,76.35290970266175,76.35290970266175,76.35290970266175,76.35290970266175,76.35290970266175,76.35290970266175,76.35290970266175,76.35290970266175,76.40714853965265,76.40714853965265	0.9952859315255773	76.40714853965265	1	true	18
34	17	17	9	882	8370	66960	0	0	73.5277879484831	73.5277879484831	73.5277879484831	73.5277879484831	66.1184972451792,69.75073795982567,69.75073795982567,69.75073795982567,69.75073795982567,73.37610190678024,73.37610190678024,73.5277879484831,73.5277879484831	0.9948190903707387	73.5277879484831	1	true	17
35	17	17	12	1176	11160	89280	0	0	62.411212121663624	62.411212121663624	62.411212121663624	62.411212121663624	58.57988549698052,59.47778536697811,61.47380600461739,61.47380600461739,62.2737450334283,62.2737450334283,62.411207855729316,62.411207855729316,62.411207855729316,62.411207855729316,62.411212121663624,62.411212121663624	0.9941399390266191	62.411212121663624	3	true	20
36	18	18	15	1530	13950	111600	0	0	62.08614734636315	62.08614734636315	62.08614734636315	62.08614734636315	58.04742666168528,60.01908691409693,60.01908691409693,60.01908691409693,60.01908691409693,60.01908691409693,60.01908691409693,60.01908691409693,60.01908691409693,60.01908691409693,60.01908691409693,60.01908691409693,60.01908691409693,62.08614734636315,62.08614734636315	0.9936835159854073	62.08614734636315	3	true	42
37	18	18	1	102	930	7440	0	0	63.93250339529287	63.93250339529287	63.93250339529287	63.93250339529287	63.93250339529287	0.9936835159854073	63.93250339529287	3	true	6
38	19	17	32	3136	29760	238080	0	0	58.396813980186494	58.396813980186494	58.396813980186494	58.396813980186494	50.030619403671,51.39794276114607,53.33160991295472,55.88990052418403,55.88990052418403,55.88990052418403,57.34601283258023,57.34601283258023,57.34601283258023,57.34601283258023,58.33844943576676,58.33844943576676,58.33844943576676,58.33844943576676,58.33844943576676,58.33844943576676,58.33844943576676,58.33844943576676,58.33844943576676,58.33844943576676,58.33844943576676,58.33844943576676,58.377133020280425,58.377133020280425,58.377133020280425,58.377133020280425,58.377133020280425,58.377133020280425,58.377133020280425,58.377133020280425,58.396813980186494,58.396813980186494	0.9933999605208327	58.396813980186494	3	false	16
39	19	17	26	2548	24180	193440	0	0	54.81764018635417	54.81764018635417	54.81764018635417	54.81764018635417	46.184440976319394,36.66823367221627,39.40113580515799,42.31900118496331,47.28776217095137,48.187524183894084,50.68760923875393,50.68760923875393,50.796368644925074,53.02134509968633,53.910389860756496,46.94739758248815,47.34689925088272,45.03935322191119,48.17256291384071,50.44990934516548,51.554532413059135,51.554532413059135,51.554532413059135,51.554532413059135,51.554532413059135,52.84433734012454,52.84433734012454,52.84433734012454,54.81764018635417,54.81764018635417	0.9931930238848963	54.81764018635417	3	false	40
40	19	16	54	5076	50220	401760	0	0	52.79832103959235	52.79832103959235	52.79832103959235	52.79832103959235	50.15104503572994,50.15104503572994,51.20534443724797,51.20534443724797,51.20534443724797,51.20534443724797,51.20534443724797,51.20534443724797,51.98269073510674,51.98269073510674,51.98269073510674,51.98269073510674,51.98269073510674,51.98269073510674,51.98269073510674,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.244123153080416,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.62067150820519,52.63865624410555,52.63865624410555,52.63865624410555,52.63865624410555,52.79832103959235,52.79832103959235	0.9932400698927483	52.79832103959235	4	false	28
41	20	18	16	1632	14880	119040	0	0	60.039675434576324	60.039675434576324	60.039675434576324	60.039675434576324	52.27136228832423,56.62889286285322,57.21782497537778,57.91831156634436,59.628341388558226,59.628341388558226,59.628341388558226,59.628341388558226,59.628341388558226,59.628341388558226,59.628341388558226,59.628341388558226,59.628341388558226,59.628341388558226,60.039675434576324,60.039675434576324	0.9930215088352917	60.039675434576324	1	true	10
42	20	18	15	1530	13950	111600	0	0	59.28779913482228	59.28779913482228	59.28779913482228	59.28779913482228	52.86735381212477,52.86735381212477,55.105220107066685,56.79691081496629,57.26962950723057,59.06480501268923,59.06480501268923,59.06480501268923,59.06480501268923,59.06480501268923,59.06480501268923,59.06480501268923,59.06480501268923,59.28779913482228,59.28779913482228	0.9930415774120674	59.28779913482228	0	true	13
43	21	17	9	882	8370	66960	0	0	54.54565063609757	54.54565063609757	54.54565063609757	54.54565063609757	50.44809477172207,49.23331076787285,51.15308656039181,51.15308656039181,51.15308656039181,51.15308656039181,53.53158426718031,54.54565063609757,54.54565063609757	0.9925129952259453	54.54565063609757	3	false	5
44	22	17	8	784	7440	59520	0	0	51.89786762666733	51.89786762666733	51.89786762666733	51.89786762666733	44.62356249506866,46.93426316002718,46.93426316002718,51.04606158415396,51.04606158415396,50.6941010390686,51.89786762666733,51.89786762666733	0.992096124461731	51.89786762666733	4	false	5
45	22	16	42	3948	39060	312480	0	0	43.93521956481321	43.93521956481321	43.93521956481321	43.93521956481321	33.541576121676286,38.916663587881885,35.77736832379379,35.77736832379379,37.42945986636249,37.35421830717209,37.35421830717209,37.35421830717209,37.35421830717209,36.24451893957021,35.56998383107632,38.62236713090154,38.62236713090154,38.62236713090154,40.619035474676885,40.619035474676885,40.619035474676885,41.66448727200688,42.53317693144098,42.53317693144098,42.53317693144098,42.53317693144098,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.83599260800136,43.92176408688805,43.93521956481321,43.93521956481321	0.9921878769712168	43.93521956481321	6	false	27
46	22	16	1	94	930	7440	0	0	47.18656483702215	47.18656483702215	47.18656483702215	47.18656483702215	47.18656483702215	0.9921878769712168	47.18656483702215	6	false	4
47	23	17	50	4900	46500	372000	0	0	55.75330954196396	55.75330954196396	55.75330954196396	55.75330954196396	52.64895723562304,50.39770930222393,45.4902722999155,46.878800218958645,50.04369139114677,52.791822002573696,54.636020742883645,54.636020742883645,54.773273065313575,54.773273065313575,54.773273065313575,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.430372526835,55.567966528406956,55.567966528406956,55.567966528406956,55.75330954196396,55.75330954196396	0.9921778609602212	55.75330954196396	5	false	22
48	23	15	11	990	10230	81840	0	0	48.14139536304698	48.14139536304698	48.14139536304698	48.14139536304698	44.428187279629455,45.81825737409657,45.81825737409657,46.68598910767862,46.68598910767862,46.68598910767862,46.85468952562978,46.85468952562978,46.85468952562978,48.14139536304698,48.14139536304698	0.9921928118671453	48.14139536304698	7	false	10
49	23	14	6	516	5580	44640	0	0	41.188079153611014	41.188079153611014	41.188079153611014	41.188079153611014	40.9084048308461,40.9084048308461,40.9084048308461,40.9084048308461,41.188079153611014,41.188079153611014	0.9922398578749972	41.188079153611014	9	false	4
50	23	13	47	3854	43710	349680	0	0	20.82051115049702	20.82051115049702	20.82051115049702	20.82051115049702	9.853273534174974,12.442882606178024,12.442882606178024,14.411390119522402,16.33586471787708,16.33586471787708,17.91020247124957,17.91020247124957,17.71540985165486,19.04356557210986,19.04356557210986,19.04356557210986,19.04356557210986,19.04356557210986,19.338798307708863,19.338798307708863,19.338798307708863,19.338798307708863,19.338798307708863,19.338798307708863,19.338798307708863,19.3907402077994,19.47739630581524,20.247709033028954,20.247709033028954,20.247709033028954,20.250316672425196,20.250316672425196,20.250316672425196,20.250316672425196,20.250316672425196,20.250316672425196,20.250316672425196,20.250316672425196,20.53721803815432,20.56953492708077,20.56953492708077,20.56953492708077,20.77499877337323,20.77499877337323,20.77499877337323,20.77499877337323,20.77499877337323,20.77499877337323,20.77499877337323,20.82051115049702,20.82051115049702	0.9922647516833478	20.82051115049702	12	false	23
51	23	13	1	82	930	7440	0	0	22.98727771393454	22.98727771393454	22.98727771393454	22.98727771393454	22.98727771393454	0.9922647516833478	22.98727771393454	12	false	4
52	23	9	27	1782	25110	200880	0	0	-5.23027011010503	-5.210797230173142	-5.23027011010503	-4.012566805971096	-7.0338286170247635,-7.0338286170247635,-6.855425244488114,-6.4023076428829135,-5.493525964752745,-6.040056322122133,-6.674173585174568,-5.210797230173142,-6.67434090058264,-5.755764461277787,-5.2895191918278766,-5.2895191918278766,-6.349690616106789,-7.14168128559821,-7.10168435879315,-6.735699407167543,-6.817756303732924,-6.817756303732924,-6.817756303732924,-6.817756303732924,-5.922895445645766,-5.782869121776292,-5.782869121776292,-5.782869121776292,-5.782869121776292,-5.23027011010503,-5.23027011010503	0.992567900512498	-5.210797230173142	17	false	8
53	23	7	19	1102	17670	141360	0	0	-41.901340867756026	-41.901340867756026	-41.901340867756026	-41.901340867756026	-72.80650538410775,-66.94468210797143,-62.56771783770762,-62.56771783770762,-55.39338490273168,-54.667273241697416,-54.667273241697416,-48.73372380843113,-46.52072431069099,-46.52072431069099,-44.735275915346854,-44.70393999127341,-43.265007156772306,-43.265007156772306,-42.30631412359841,-42.38598926449309,-42.38598926449309,-41.901340867756026,-41.901340867756026	0.9927521000723785	-41.901340867756026	21	false	5
54	23	6	4	216	3720	29760	0	0	-49.02750097356336	-49.02750097356336	-49.02750097356336	-49.02750097356336	-50.30118664301029,-49.486300951491174,-49.02750097356336,-49.02750097356336	0.9927941380747326	-49.02750097356336	22	false	2
55	23	6	1	54	930	7440	0	0	-47.28699364470006	-47.28699364470006	-47.28699364470006	-47.28699364470006	-47.28699364470006	0.9927941380747326	-47.28699364470006	22	false	1
56	23	7	7	406	6510	52080	0	0	-37.37624287045072	-37.37624287045072	-37.37624287045072	-37.37624287045072	-39.02771779463284,-38.53667539609495,-38.53667539609495,-37.966109143266095,-37.86076046290647,-37.37624287045072,-37.37624287045072	0.9927521000723785	-37.37624287045072	21	false	3
