# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 15
# run: 9e5306b9-517d-4ba9-8f3f-7d49483732c7
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	10	900	9300	74400	0	0	60.92642769106975	60.92642769106975	60.92642769106975	60.92642769106975	30.941277839572294,40.11742679254739,49.759344765262526,51.82765122399418,55.16792329827686,55.16792329827686,59.685571292747966,59.685571292747966,60.92642769106975,60.92642769106975	0.9960817657423182	60.92642769106975	2	true	221
26	15	15	1	90	930	7440	0	0	68.03055409164585	68.03055409164585	68.03055409164585	68.03055409164585	68.03055409164585	0.9958718681688247	68.03055409164585	2	true	31
27	17	17	45	4410	41850	334800	0	0	71.82052077083007	71.82052077083007	71.82052077083007	71.82052077083007	64.69257095529264,67.66175642747596,68.46904941845253,68.46904941845253,70.85723238080806,70.85723238080806,70.85723238080806,70.85723238080806,70.85723238080806,70.85723238080806,70.85723238080806,70.85723238080806,70.85723238080806,70.85723238080806,70.85723238080806,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.80070898662579,71.82052077083007,71.82052077083007	0.9953534847676211	71.82052077083007	0	true	155
28	18	18	6	612	5580	44640	0	0	73.61558183210613	73.61558183210613	73.61558183210613	73.61558183210613	72.70516588214954,72.70516588214954,72.70516588214954,72.70516588214954,73.61558183210613,73.61558183210613	0.9952459040363794	73.61558183210613	0	true	22
29	20	20	13	1430	12090	96720	0	0	79.40201915525623	79.40201915525623	79.40201915525623	79.40201915525623	77.34046812967917,77.87360462532875,77.87360462532875,77.48959008786589,78.28980865924937,78.28980865924937,78.28980865924937,78.28980865924937,78.28980865924937,78.28980865924937,78.28980865924937,79.40201915525623,79.40201915525623	0.9948494308420032	79.40201915525623	0	true	23
30	20	19	27	2862	25110	200880	0	0	78.10373413711403	78.10373413711403	78.10373413711403	78.10373413711403	77.30344694367649,77.30344694367649,77.30344694367649,77.30344694367649,77.30344694367649,77.34326368555001,77.34326368555001,77.34326368555001,77.34326368555001,77.34326368555001,77.34326368555001,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,77.71064790665784,78.10373413711403,78.10373413711403	0.9948198214664318	78.10373413711403	0	true	50
31	23	21	15	1710	13950	111600	0	0	71.08922922833838	71.08922922833838	71.08922922833838	71.08922922833838	61.851142145173725,67.28441408714114,68.47421400039637,68.47421400039637,68.47421400039637,68.47421400039637,68.47421400039637,68.47421400039637,68.47421400039637,68.47421400039637,68.47421400039637,70.78060233761212,70.78060233761212,71.08922922833838,71.08922922833838	0.9931421396246555	71.08922922833838	0	true	33
32	23	22	10	1180	9300	74400	0	0	74.32107556403939	74.32107556403939	74.32107556403939	74.32107556403939	74.03739994886182,74.03739994886182,74.03739994886182,74.03739994886182,74.03739994886182,74.03739994886182,74.04377347976107,74.04377347976107,74.32107556403939,74.32107556403939	0.9929075675715195	74.32107556403939	0	true	8
33	24	22	6	708	5580	44640	0	0	73.66936305165069	73.66936305165069	73.66936305165069	73.66936305165069	72.41021085360916,73.2101578088529,73.2101578088529,73.2101578088529,73.66936305165069,73.66936305165069	0.9926819879954087	73.66936305165069	0	true	16
34	24	22	22	2596	20460	163680	0	0	75.481520437747	75.481520437747	75.481520437747	75.481520437747	71.66396330340872,71.66396330340872,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,74.58149995271059,75.481520437747,75.481520437747	0.9924720904219154	75.481520437747	0	true	18
35	27	24	21	2646	19530	156240	0	0	79.46142915632984	79.46142915632984	79.46142915632984	79.46142915632984	74.80330865244508,74.80330865244508,75.60319920779871,78.14336315832084,75.65174959226157,76.45193146170884,76.45193146170884,75.43906636781166,75.43906636781166,79.11747429097603,79.11747429097603,79.31920676662793,79.31920676662793,79.31920676662793,79.31920676662793,79.31920676662793,79.31920676662793,79.31920676662793,79.31920676662793,79.46142915632984,79.46142915632984	0.992175009687018	79.46142915632984	0	true	20
36	28	25	14	1820	13020	104160	0	0	82.18039665476668	82.18039665476668	82.18039665476668	82.18039665476668	75.27224566373927,75.27224566373927,71.00265686956776,68.11909429513993,68.11909429513993,79.46263643261196,79.46263643261196,79.66196925735956,80.4477158300222,80.4477158300222,80.4477158300222,81.18030427037031,82.18039665476668,82.18039665476668	0.9920343468756626	82.18039665476668	0	true	23
37	29	28	18	2556	16740	133920	0	0	92.82726571768671	92.82726571768671	92.82726571768671	92.82726571768671	82.12351585847045,87.9224619380198,88.76646222686463,89.04141529732719,89.04141529732719,89.31927331138941,90.11926190497591,90.11926190497591,90.46636227134671,91.25753592691846,91.78296728817509,91.78296728817509,91.78296728817509,90.1376528401777,90.1376528401777,90.91559415682562,92.82726571768671,92.82726571768671	0.9915475102536172	92.82726571768671	0	true	11
38	30	27	9	1242	8370	66960	0	0	86.52685607760661	86.52685607760661	86.52685607760661	86.52685607760661	83.60245132747781,85.88031908089638,85.88031908089638,85.88031908089638,85.88031908089638,85.58265365574773,85.58265365574773,86.52685607760661,86.52685607760661	0.9906400011697529	86.52685607760661	0	true	16
39	33	29	12	1752	11160	89280	0	0	93.68271264876412	93.68271264876412	93.68271264876412	93.68271264876412	88.97143478199162,89.0799982805255,89.23087599800172,90.01364836091825,91.262075909919,91.262075909919,91.262075909919,91.40768685863998,91.40768685863998,92.93696107704619,93.68271264876412,93.68271264876412	0.990204633684503	93.68271264876412	0	true	32
40	33	26	13	1742	12090	96720	0	0	86.92931482694864	86.92931482694864	86.92931482694864	86.92931482694864	78.966062318801,78.966062318801,79.96625801257743,82.24430787184943,82.24430787184943,82.24430787184943,84.50370883808158,85.93003722056997,85.93003722056997,85.93003722056997,85.93003722056997,86.92931482694864,86.92931482694864	0.9900288417250934	86.92931482694864	0	true	9
41	33	26	11	1474	10230	81840	0	0	88.25753525104362	88.25753525104362	88.25753525104362	88.25753525104362	84.0093912654712,81.09470443485947,83.36472907194236,84.58483512177003,84.58483512177003,84.58483512177003,87.55819626835545,87.55819626835545,87.55819626835545,88.25753525104362,88.25753525104362	0.9900242358222268	88.25753525104362	0	true	144
42	34	28	5	710	4650	37200	0	0	91.09625345986319	91.09625345986319	91.09625345986319	91.09625345986319	85.82662131621677,89.03623955417605,90.41050555425986,91.09625345986319,91.09625345986319	0.9896962662942954	91.09625345986319	0	true	16
43	34	29	12	1752	11160	89280	0	0	92.05016276982295	92.05016276982295	92.05016276982295	92.05016276982295	83.56197665755012,84.36220011758573,86.30944745681386,86.30944745681386,87.4978288848132,88.26908178818826,91.14966085693598,91.14966085693598,91.14966085693598,91.14966085693598,92.05016276982295,92.05016276982295	0.9896751010739796	92.05016276982295	0	true	12
44	34	28	6	852	5580	44640	0	0	87.73572905248747	87.73572905248747	87.73572905248747	87.73572905248747	83.75758919213705,83.75758919213705,86.03537662221072,87.03546719445069,87.73572905248747,87.73572905248747	0.9894461219028958	87.73572905248747	0	true	9
