# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 1
# run: d14f54d8-08d0-4082-8469-ce51f4503c5f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	14	1260	13020	104160	0	0	64.09088299173298	64.09088299173298	64.09088299173298	64.09088299173298	48.05296213993783,55.867067555994225,58.93155283178261,58.93155283178261,60.884318975573834,62.8554443700052,62.8554443700052,63.86954061551083,63.86954061551083,63.86954061551083,63.86954061551083,63.86954061551083,64.09088299173298,64.09088299173298	0.9966306358339244	64.09088299173298	0	true	288
26	15	15	14	1260	13020	104160	0	0	71.06657723242445	71.06657723242445	71.06657723242445	71.06657723242445	69.16451028408325,69.16451028408325,69.16451028408325,69.16451028408325,69.16451028408325,69.16451028408325,70.1410327216546,70.1410327216546,70.1410327216546,70.1410327216546,70.1410327216546,70.1410327216546,71.06657723242445,71.06657723242445	0.9960817657423182	71.06657723242445	0	true	90
27	15	15	1	90	930	7440	0	0	75.01319837549454	75.01319837549454	75.01319837549454	75.01319837549454	75.01319837549454	0.9960817657423182	75.01319837549454	0	true	7
28	15	15	1	90	930	7440	0	0	78.27067449432752	78.27067449432752	78.27067449432752	78.27067449432752	78.27067449432752	0.9960817657423182	78.27067449432752	0	true	24
29	15	15	1	90	930	7440	0	0	80.74685527462397	80.74685527462397	80.74685527462397	80.74685527462397	80.74685527462397	0.9960817657423182	80.74685527462397	0	true	6
30	15	15	21	1890	19530	156240	0	0	80.62222105562883	80.62222105562883	80.62222105562883	80.62222105562883	78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,78.26688853717614,80.26315687817355,80.26315687817355,80.26315687817355,80.26315687817355,80.26315687817355,80.62222105562883,80.62222105562883	0.9959128826372083	80.62222105562883	0	true	18
31	15	14	1	86	930	7440	0	0	75.24678218133502	75.24678218133502	75.24678218133502	75.24678218133502	75.24678218133502	0.9957118678763863	75.24678218133502	2	true	8
32	16	15	33	2970	30690	245520	0	0	77.69596105814585	77.69596105814585	77.69596105814585	77.69596105814585	72.67255177737256,74.22957734837897,77.10799359674917,77.10799359674917,77.25907018502551,77.25907018502551,77.25907018502551,77.25907018502551,77.25907018502551,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.55887768235111,77.65272672116494,77.69596105814585,77.69596105814585	0.99553413851339	77.69596105814585	1	true	39
33	17	16	19	1786	17670	141360	0	0	79.025314216819	79.025314216819	79.025314216819	79.025314216819	76.75344329180632,76.75344329180632,75.83978695688288,75.83978695688288,75.83978695688288,77.63333494494164,77.63333494494164,77.63333494494164,77.63333494494164,77.63333494494164,78.76400905607736,78.76400905607736,78.76400905607736,78.76400905607736,78.76400905607736,78.76400905607736,78.76400905607736,79.025314216819,79.025314216819	0.9953117026487598	79.025314216819	0	true	24
34	17	17	7	686	6510	52080	0	0	79.3050770254977	79.3050770254977	79.3050770254977	79.3050770254977	78.30445042025137,78.30445042025137,78.30445042025137,78.30445042025137,77.84388477938356,79.3050770254977,79.3050770254977	0.9952859315255773	79.3050770254977	0	true	27
