# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 26
# run: f10c23a4-1646-4ded-80f9-ba9baf11906b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	17	1530	15810	126480	0	0	61.33962934082598	61.33962934082598	61.33962934082598	61.33962934082598	39.64934055328584,42.46060379202156,51.996507195286966,50.959867088004614,50.959867088004614,50.959867088004614,45.908646841024876,46.12612145734184,50.07768680728633,52.39089919209569,56.621366927345605,56.621366927345605,57.58382525623085,57.58382525623085,59.63805978383225,61.33962934082598,61.33962934082598	0.9960817657423182	61.33962934082598	1	true	236
26	15	15	1	90	930	7440	0	0	70.43405178167434	70.43405178167434	70.43405178167434	70.43405178167434	70.43405178167434	0.9960817657423182	70.43405178167434	1	true	14
27	15	15	1	90	930	7440	0	0	73.94329303561817	73.94329303561817	73.94329303561817	73.94329303561817	73.94329303561817	0.9960817657423182	73.94329303561817	1	true	9
28	16	16	4	376	3720	29760	0	0	76.09205081279647	76.09205081279647	76.09205081279647	76.09205081279647	71.83408846872258,71.83408846872258,76.09205081279647,76.09205081279647	0.9955637844437458	76.09205081279647	0	true	19
29	17	17	8	784	7440	59520	0	0	76.41985134947916	76.41985134947916	76.41985134947916	76.41985134947916	75.02128126705453,75.02128126705453,75.02128126705453,75.02128126705453,75.92163231038884,75.92163231038884,76.41985134947916,76.41985134947916	0.9952702495229601	76.41985134947916	0	true	36
30	18	18	16	1632	14880	119040	0	0	77.70638181868028	77.70638181868028	77.70638181868028	77.70638181868028	73.74320022447087,73.74320022447087,73.77066589752532,76.27696642162277,76.27696642162277,76.27696642162277,76.27696642162277,76.78689680850071,76.78689680850071,76.78689680850071,76.78689680850071,76.78689680850071,76.78689680850071,76.78689680850071,77.70638181868028,77.70638181868028	0.9952459040363794	77.70638181868028	0	true	33
31	20	19	30	3180	27900	223200	0	0	79.00209991942133	79.00209991942133	79.00209991942133	79.00209991942133	73.5044169894589,75.71090431964136,77.89079147637574,77.89079147637574,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,78.06812536461763,79.00209991942133,79.00209991942133	0.9947717884793941	79.00209991942133	0	true	43
32	20	19	3	318	2790	22320	0	0	76.77856789740272	76.77856789740272	76.77856789740272	76.77856789740272	74.97861774375967,76.77856789740272,76.77856789740272	0.9942410130061924	76.77856789740272	0	true	6
33	21	19	12	1272	11160	89280	0	0	68.02439694251403	68.02439694251403	68.02439694251403	68.02439694251403	66.85222472715962,66.86406843810151,65.0050807719771,64.8170691735174,67.89955767122542,67.89955767122542,67.89955767122542,67.89955767122542,67.89955767122542,67.89955767122542,68.02439694251403,68.02439694251403	0.993397255466768	68.02439694251403	1	true	14
34	23	22	19	2242	17670	141360	0	0	72.73982178293203	72.73982178293203	72.73982178293203	72.73982178293203	69.62146964367749,69.62146964367749,70.99448330304641,69.65411655268926,70.45366042093075,70.45366042093075,70.45366042093075,70.43851322782419,63.62865161777747,63.62865161777747,64.5621944394067,69.15887177311204,69.15887177311204,69.15887177311204,69.15887177311204,69.15887177311204,71.45049519811737,72.73982178293203,72.73982178293203	0.9929075675715195	72.73982178293203	0	true	39
35	23	22	1	118	930	7440	0	0	75.14823684687308	75.14823684687308	75.14823684687308	75.14823684687308	75.14823684687308	0.992808650324241	75.14823684687308	0	true	13
36	24	23	93	11346	86490	691920	0	0	79.13791045231987	79.13791045231987	79.13791045231987	79.13791045231987	76.430433411267,76.61763647927826,76.61763647927826,75.12061632871094,69.65885234059739,69.65885234059739,69.65885234059739,72.84690317532235,73.693736164444,66.24429757778154,66.24429757778154,66.24429757778154,66.24429757778154,70.67331361263402,70.67331361263402,73.93797610000286,76.3331964202068,76.3331964202068,76.3331964202068,77.52144311371678,77.52144311371678,77.52144311371678,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.55354673017486,78.60945794231061,78.08432859803209,78.08432859803209,78.08432859803209,76.54469910671385,66.03443790220899,66.03443790220899,66.03443790220899,69.6962532196708,69.6962532196708,69.6962532196708,69.6962532196708,69.6962532196708,69.6962532196708,72.60255027083932,69.06482689309973,69.06482689309973,65.06286497135055,65.06286497135055,67.54128016724059,67.54128016724059,72.66413352058453,74.4334823545305,74.4334823545305,74.4334823545305,74.4334823545305,74.4334823545305,75.66510304149877,76.97833806789367,76.97833806789367,76.73910413939403,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,78.95477326309906,79.1345639645246,79.1345639645246,79.1345639645246,79.1345639645246,79.1345639645246,79.1345639645246,79.13791045231987,79.13791045231987	0.992453337817387	79.13791045231987	0	true	160
37	24	23	1	122	930	7440	0	0	82.86061497602992	82.86061497602992	82.86061497602992	82.86061497602992	82.86061497602992	0.992453337817387	82.86061497602992	0	true	6
38	25	23	2	244	1860	14880	0	0	85.03796780136373	85.03796780136373	85.03796780136373	85.03796780136373	85.03796780136373,85.03796780136373	0.9922855513558172	85.03796780136373	0	true	6
39	26	24	5	630	4650	37200	0	0	87.32935119846624	87.32935119846624	87.32935119846624	87.32935119846624	86.5470156033259,85.39880242388202,85.39880242388202,87.32935119846624,87.32935119846624	0.9921600222253092	87.32935119846624	0	true	16
40	26	24	16	2016	14880	119040	0	0	83.23438244329877	83.23438244329877	83.23438244329877	83.23438244329877	75.11917458390619,76.10164144468362,79.00163513129347,78.88356386005528,78.88356386005528,78.88356386005528,78.88356386005528,77.19666837658119,77.19666837658119,78.1960752900989,81.62050102554974,82.26576211131778,82.26576211131778,82.26576211131778,83.23438244329877,83.23438244329877	0.9918237547612608	83.23438244329877	0	true	9
41	28	24	8	1008	7440	59520	0	0	84.78496724056	85.79720606488121	84.78496724056	86.13522511783749	85.79720606488121,84.2053259952517,84.2053259952517,84.57021427762433,84.57021427762433,84.57021427762433,84.78496724056,84.78496724056	0.9911110826796122	85.79720606488121	0	true	14
42	29	23	22	2684	20460	163680	0	0	74.62005377739474	74.62005377739474	74.62005377739474	74.62005377739474	66.60364182578142,68.84809112366418,67.59823888816533,69.6772530230703,69.6772530230703,70.67769554616419,70.67769554616419,71.95650670647306,71.95662500434636,73.85692770478032,73.85692770478032,73.85692770478032,74.5203564778287,74.5203564778287,74.5203564778287,74.5203564778287,74.5203564778287,74.5203564778287,74.5203564778287,74.5203564778287,74.62005377739474,74.62005377739474	0.9909580643510433	74.62005377739474	0	true	24
43	29	21	17	1938	15810	126480	0	0	70.12307526093811	70.12307526093811	70.12307526093811	70.12307526093811	70.12220105131081,70.12220105131081,70.12220105131081,70.12220105131081,70.12220105131081,70.12220105131081,70.12220105131081,70.12220105131081,70.12220105131081,70.12220105131081,70.12220105131081,70.12220105131081,70.12260029188099,70.12260029188099,70.12260029188099,70.12307526093811,70.12307526093811	0.9909810938653761	70.12307526093811	2	true	20
44	29	22	5	590	4650	37200	0	0	71.83320148157804	71.83320148157804	71.83320148157804	71.83320148157804	68.41370723618368,68.41370723618368,69.36518658207183,71.83320148157804,71.83320148157804	0.9907918862999978	71.83320148157804	1	true	11
