# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 11
# run: f59f72df-ccec-4043-894b-88ad296f7fc7
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	15	1350	13950	111600	0	0	61.819874925520146	61.819874925520146	61.819874925520146	61.819874925520146	32.916924638045714,43.44750793694199,55.19329297482224,55.19329297482224,56.12111281152055,58.16655841195302,57.94235422355656,57.97365717930023,60.98001173886817,58.805325428725716,58.847794392926964,59.84663431016791,59.84663431016791,61.819874925520146,61.819874925520146	0.9960817657423182	61.819874925520146	1	true	274
26	15	15	1	90	930	7440	0	0	71.1412664791771	71.1412664791771	71.1412664791771	71.1412664791771	71.1412664791771	0.9960817657423182	71.1412664791771	1	true	6
27	15	15	1	90	930	7440	0	0	74.66699718789158	74.66699718789158	74.66699718789158	74.66699718789158	74.66699718789158	0.9960817657423182	74.66699718789158	1	true	9
28	15	15	1	90	930	7440	0	0	75.39599562909214	75.39599562909214	75.39599562909214	75.39599562909214	75.39599562909214	0.9958718681688247	75.39599562909214	1	true	6
29	16	16	23	2162	21390	171120	0	0	75.89648605860587	75.89648605860587	75.89648605860587	75.89648605860587	72.1465289795757,64.58296344433008,64.58296344433008,64.58296344433008,72.25117239183673,75.17381771402661,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.74908623266685,75.89648605860587,75.89648605860587	0.9955312141306174	75.89648605860587	0	true	61
30	17	17	5	490	4650	37200	0	0	75.84667697310073	75.84667697310073	75.84667697310073	75.84667697310073	74.63690897680183,75.13331422347557,74.2802472833757,75.84667697310073,75.84667697310073	0.9952533612124491	75.84667697310073	0	true	12
31	18	17	6	588	5580	44640	0	0	77.37142419596415	77.37142419596415	77.37142419596415	77.37142419596415	75.52052551960037,76.65618165321726,76.65618165321726,76.65618165321726,77.37142419596415,77.37142419596415	0.9952626826825363	77.37142419596415	0	true	11
32	18	18	1	102	930	7440	0	0	79.09415022986028	79.09415022986028	79.09415022986028	79.09415022986028	79.09415022986028	0.9952459040363794	79.09415022986028	0	true	5
33	20	20	15	1650	13950	111600	0	0	73.85531812647531	73.85531812647531	73.85531812647531	73.85531812647531	63.26668236678361,62.95798062642764,66.36857363753833,68.16945218617403,68.16945218617403,68.16945218617403,71.1036045433152,71.1036045433152,72.0442677806433,72.0442677806433,72.0442677806433,72.0442677806433,72.94922917501334,73.85531812647531,73.85531812647531	0.9937914988192805	73.85531812647531	0	true	39
34	21	21	8	912	7440	59520	0	0	75.10329603271032	75.10329603271032	75.10329603271032	75.10329603271032	73.83045140319385,73.83045140319385,74.8307664480923,74.8307664480923,74.8307664480923,74.8307664480923,75.10329603271032,75.10329603271032	0.9933785028622396	75.10329603271032	0	true	20
