# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 19
# run: f70f97cc-1a45-4473-8def-bbab65c6702b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	12	1080	11160	89280	0	0	61.29982496836781	61.29982496836781	61.29982496836781	61.29982496836781	35.48629512416986,38.95970437769354,38.95970437769354,54.66108484758706,54.59975473590565,56.38856183976034,58.30380263737712,60.57268257662383,60.57268257662383,60.57268257662383,61.29982496836781,61.29982496836781	0.9960817657423182	61.29982496836781	1	true	259
26	15	15	1	90	930	7440	0	0	70.32623979644644	70.32623979644644	70.32623979644644	70.32623979644644	70.32623979644644	0.9960817657423182	70.32623979644644	1	true	6
27	15	15	1	90	930	7440	0	0	73.63695511160097	73.63695511160097	73.63695511160097	73.63695511160097	73.63695511160097	0.9960817657423182	73.63695511160097	1	true	10
28	15	15	17	1530	15810	126480	0	0	69.89805310266759	69.89805310266759	69.89805310266759	69.89805310266759	66.96045087691132,66.96045087691132,68.99631278336287,68.99631278336287,68.99631278336287,68.99631278336287,68.99631278336287,68.99631278336287,68.99631278336287,68.99631278336287,69.09096460955556,69.09096460955556,69.09096460955556,69.09096460955556,69.09096460955556,69.89805310266759,69.89805310266759	0.9956704147505866	69.89805310266759	1	true	44
29	17	17	8	784	7440	59520	0	0	75.4187402197946	75.4187402197946	75.4187402197946	75.4187402197946	72.8698577226044,73.70338905041773,73.70338905041773,72.20158922310705,72.20158922310705,74.50013612546775,75.4187402197946,75.4187402197946	0.9952702495229601	75.4187402197946	1	true	45
30	19	19	8	848	7440	59520	0	0	79.93527356233106	79.93527356233106	79.93527356233106	79.93527356233106	76.73724176747555,76.82677690659388,78.46368763789053,78.46368763789053,79.23608647777323,79.23608647777323,79.93527356233106,79.93527356233106	0.9950569889092784	79.93527356233106	0	true	8
31	20	19	17	1802	15810	126480	0	0	80.65419659906874	80.65419659906874	80.65419659906874	80.65419659906874	78.60732497424465,76.37214137985443,78.67234548151605,78.67234548151605,78.67234548151605,79.373136247432,79.11207224342192,75.95130795392964,76.0925940671847,77.47601844468544,77.47601844468544,79.95340583315279,79.95340583315279,79.95340583315279,79.95340583315279,80.65419659906874,80.65419659906874	0.9948514048003743	80.65419659906874	0	true	32
32	21	20	9	990	8370	66960	0	0	77.5976543570301	77.5976543570301	77.5976543570301	77.5976543570301	70.87443815376079,72.81529127095405,75.72146692670702,76.69891298425836,76.69891298425836,76.69891298425836,76.69891298425836,77.5976543570301,77.5976543570301	0.9938195728938961	77.5976543570301	0	true	12
33	23	22	15	1770	13950	111600	0	0	77.94237527322333	77.94237527322333	77.94237527322333	77.94237527322333	72.75831709852375,74.65224975629097,76.30390166563048,76.30390166563048,76.30390166563048,76.87345371848568,76.88696391906369,76.88696391906369,76.88696391906369,76.88696391906369,76.88696391906369,76.88696391906369,76.88696391906369,77.94237527322333,77.94237527322333	0.9930921326792465	77.94237527322333	0	true	26
34	23	22	10	1180	9300	74400	0	0	75.83141671262518	75.83141671262518	75.83141671262518	75.83141671262518	74.22633557655578,74.22633557655578,74.22633557655578,74.22633557655578,75.64489958036509,75.81650743789032,75.81650743789032,75.81650743789032,75.83141671262518,75.83141671262518	0.992808650324241	75.83141671262518	0	true	7
