# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 9
# run: 1f3c1891-7980-41a1-8eae-08c0bfe18b64
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	78	7722	121680	973440	0	0	62.70141718575492	62.70141718575492	62.70141718575492	62.70141718575492	24.132618986062937,39.43339092912095,52.628954165477374,56.63017845976465,56.02395496647026,58.9592273530137,58.9592273530137,54.726481998448264,47.64278294480243,50.41102801594181,52.62251511751354,56.541418150185876,57.50648258118794,57.50648258118794,59.56405935882442,57.69624794923426,49.376735233185606,46.616508372158506,50.976991089380064,50.976991089380064,50.976991089380064,54.28980686849835,54.28980686849835,55.3506969127625,55.3506969127625,55.3506969127625,57.29254060200857,57.29254060200857,57.32787734596707,58.56884985326616,58.56884985326616,58.57584030846252,58.57584030846252,58.57584030846252,58.57584030846252,58.57584030846252,58.641412356815735,58.641412356815735,58.641412356815735,58.641412356815735,58.661725642193176,58.661725642193176,58.808590921155556,59.106389386949886,59.106389386949886,59.106389386949886,59.998737910846145,59.93347304800206,59.93347304800206,59.963133290553756,60.026165315878515,60.69206566060602,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.6324202424055,62.70141718575492,62.70141718575492	0.9960817657423182	62.70141718575492	7	false	661
26	15	15	1	99	1560	12480	0	0	74.12367746864767	74.12367746864767	74.12367746864767	74.12367746864767	74.12367746864767	0.9960817657423182	74.12367746864767	7	false	46
27	16	16	80	8240	124800	998400	0	0	76.7117876970862	76.7117876970862	76.7117876970862	76.7117876970862	66.82788840631366,63.36116014462928,67.75532111246454,68.8153412477934,68.8153412477934,69.3731913338358,69.42246825109362,69.15361109323204,70.42542084093661,70.71265407291183,71.01458739537173,71.01458739537173,71.01458739537173,71.01458739537173,71.76554458012481,73.1391474024546,73.1391474024546,73.1391474024546,73.1391474024546,73.15750144311666,73.23511354461588,73.913075960925,74.09643997013355,74.09643997013355,74.09643997013355,74.56241083867643,74.56241083867643,74.56241083867643,74.29240648468654,72.76082027736774,54.38486117238253,56.025831777684985,56.025831777684985,56.025831777684985,56.98378510978422,60.045358738110906,60.97168246594157,68.38547593045989,71.40517388450189,71.40517388450189,71.40517388450189,73.41937569776839,73.41937569776839,73.46902948522077,74.22028945484963,74.22028945484963,74.22028945484963,74.22028945484963,74.35318872011891,74.35318872011891,74.35318872011891,74.35318872011891,74.35318872011891,74.35318872011891,75.10412962679275,75.10412962679275,75.10412962679275,75.13369874455948,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.13405980205711,76.40389160521772,76.40389160521772,76.40389160521772,76.40389160521772,76.7117876970862,76.7117876970862	0.9956494323041942	76.7117876970862	6	false	149
28	17	17	6	642	9360	74880	0	0	82.69220360142147	82.69220360142147	82.69220360142147	82.69220360142147	81.17472970349202,81.88604814869257,81.88604814869257,81.88604814869257,82.69220360142147,82.69220360142147	0.9954391326280697	82.69220360142147	4	false	40
29	18	18	27	2997	42120	336960	0	0	85.36731472264186	85.36731472264186	85.36731472264186	85.36731472264186	68.58438470592122,73.18648262416548,79.1134241055821,79.1134241055821,79.1134241055821,79.1134241055821,82.44170294441157,82.44170294441157,82.44170294441157,82.44170294441157,82.44170294441157,82.44170294441157,82.44170294441157,82.44170294441157,82.44170294441157,82.44170294441157,84.49272151992484,84.49272151992484,84.53055592671582,84.53055592671582,84.53055592671582,84.53055592671582,84.53055592671582,84.53055592671582,84.53055592671582,85.36731472264186,85.36731472264186	0.9950458031451738	85.36731472264186	3	false	26
30	20	20	16	1904	24960	199680	0	0	94.73150332945376	94.73150332945376	94.73150332945376	94.73150332945376	92.38200665049148,89.50369083434185,89.3975528338243,89.47629482353898,91.98445556742114,93.12283345496932,93.12283345496932,93.12283345496932,93.12283345496932,93.12283345496932,93.12283345496932,93.12283345496932,93.1276135775238,93.1276135775238,94.73150332945376,94.73150332945376	0.9948494308420032	94.73150332945376	0	true	24
31	20	20	48	5712	74880	599040	0	0	88.03148787565152	88.03148787565152	88.03148787565152	88.03148787565152	85.56459697335265,85.56459697335265,85.56459697335265,86.46855346866482,86.46855346866482,86.46855346866482,86.46855346866482,86.46855346866482,86.46855346866482,86.46855346866482,86.46855346866482,86.46855346866482,86.46855346866482,86.46855346866482,86.46855346866482,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,87.28405462894548,88.03148787565152,88.03148787565152	0.994225769660991	88.03148787565152	1	true	61
32	22	22	39	4953	60840	486720	0	0	86.6528355852798	86.6528355852798	86.6528355852798	86.6528355852798	75.30317083559044,75.53848429732491,74.71072104289941,77.69997331566839,77.93928164965222,74.9168180961362,73.7407031838127,73.7407031838127,78.72296389034719,82.23484493038144,84.1390207308973,85.61481580538589,85.61481580538589,85.61481580538589,85.61481580538589,85.65876426929773,85.65876426929773,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.53379487545958,86.6528355852798,86.6528355852798	0.9932164920566452	86.6528355852798	3	true	63
33	22	22	24	3048	37440	299520	0	0	87.97481034855291	87.97481034855291	87.97481034855291	87.97481034855291	85.95705065557623,85.95705065557623,85.95705065557623,85.95705065557623,85.95705065557623,85.95705065557623,85.95705065557623,85.95705065557623,85.95705065557623,85.95705065557623,85.95705065557623,87.95772701367271,87.95772701367271,87.95772701367271,87.95772701367271,87.95772701367271,87.95772701367271,87.95772701367271,87.95772701367271,87.95772701367271,87.95772701367271,87.95772701367271,87.97481034855291,87.97481034855291	0.9929764367858108	87.97481034855291	3	true	38
34	23	21	11	1353	17160	137280	0	0	82.0521307340349	82.0521307340349	82.0521307340349	82.0521307340349	77.0134570442627,75.19736013372842,75.19736013372842,78.1979320911839,78.1979320911839,80.8128091344483,80.8128091344483,80.8128091344483,82.04171745251995,82.0521307340349,82.0521307340349	0.9928912275827783	82.0521307340349	3	false	25
