# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 29
# run: 42dd2a4c-3626-4273-9619-27c8a41eceab
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	29	2871	45240	361920	0	0	62.688780783906154	63.35121841303442	62.688780783906154	64.44599032422113	24.24682017165069,31.45925446649148,38.92266388030359,45.7081576485525,50.9860100887508,51.125205768080946,46.74192001139048,38.50990734540376,49.27850552007534,51.97942898676261,56.012523284952906,60.92421147306368,60.963834166855875,60.963834166855875,62.05002054827344,63.35121841303442,62.23873371304573,54.498544649755836,51.69180017310121,57.18615895045068,59.37189731843304,60.42683678040082,60.42683678040082,60.42683678040082,61.63508867385852,62.62083076277,62.62083076277,62.688780783906154,62.688780783906154	0.9960817657423182	63.35121841303442	8	false	492
26	15	15	4	396	6240	49920	0	0	76.11003579454459	76.11003579454459	76.11003579454459	76.11003579454459	75.13243415633009,75.13243415633009,76.11003579454459,76.11003579454459	0.9960817657423182	76.11003579454459	8	false	47
27	15	15	23	2277	35880	287040	0	0	77.20134952275727	77.20134952275727	77.20134952275727	77.20134952275727	76.76957120298412,76.76957120298412,75.4580313603704,75.4580313603704,75.4580313603704,75.4580313603704,75.4580313603704,72.10657458692559,61.75658450200669,63.81745751277634,70.04775711128129,70.04775711128129,72.82187410342571,72.82187410342571,72.82187410342571,72.82187410342571,73.8990700357195,75.1036591964949,75.30449490729269,75.30449490729269,75.88400215386213,77.20134952275727,77.20134952275727	0.9959128826372083	77.20134952275727	7	false	93
28	15	15	1	99	1560	12480	0	0	77.19209677887471	77.19209677887471	77.19209677887471	77.19209677887471	77.19209677887471	0.9956704147505866	77.19209677887471	7	false	14
29	17	17	46	4922	71760	574080	0	0	86.74411409886974	86.74411409886974	86.74411409886974	86.74411409886974	85.98307492438602,78.7603872484063,75.06359449697902,74.88755106028674,77.90238544612782,81.36206409879776,82.05363854115541,85.10933006836775,85.10933006836775,85.73988423750058,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.26667215241751,86.58308244759824,86.7346759537538,86.7346759537538,86.74375113451514,86.74375113451514,86.74375113451514,86.74375113451514,86.74411409886974,86.74411409886974	0.9953534847676211	86.74411409886974	4	false	88
30	18	18	17	1887	26520	212160	0	0	89.14918981607417	89.14918981607417	89.14918981607417	89.14918981607417	82.83136650973609,82.46120585298863,80.2191040562904,77.26980303413389,85.7094383420124,85.7675811536495,85.7675811536495,85.7675811536495,85.7675811536495,88.07108065421606,88.07108065421606,88.07108065421606,88.07108065421606,88.07108065421606,88.07108065421606,89.14918981607417,89.14918981607417	0.9952459040363794	89.14918981607417	1	false	47
31	20	20	16	1904	24960	199680	0	0	95.81329426148277	95.81329426148277	95.81329426148277	95.81329426148277	91.52769597718437,91.2089557738136,91.2089557738136,91.2089557738136,89.84337678424248,89.84337678424248,91.49274792924308,91.49274792924308,94.13024396274302,94.13024396274302,94.13024396274302,94.13024396274302,94.13024396274302,94.13024396274302,95.81329426148277,95.81329426148277	0.9947698145210228	95.81329426148277	2	true	44
32	20	19	65	7475	101400	811200	0	0	89.95470386465527	89.95470386465527	89.95470386465527	89.95470386465527	85.33667635745978,85.33667635745978,85.33667635745978,85.33667635745978,85.33667635745978,85.33667635745978,85.33667635745978,85.33667635745978,87.31177591232272,87.31177591232272,87.31177591232272,89.47679528512555,89.47679528512555,89.47679528512555,89.47679528512555,89.47679528512555,89.47679528512555,89.47679528512555,89.47679528512555,89.47679528512555,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,89.91854823300285,86.45368079935984,86.95199122792827,87.82435926789614,88.14316930807034,88.14316930807034,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.92814933750823,89.95470386465527,89.95470386465527	0.9944171339586638	89.95470386465527	4	false	63
33	23	21	12	1476	18720	149760	0	0	84.76188495428076	84.76188495428076	84.76188495428076	84.76188495428076	72.27560835587803,74.44774741587723,76.94513093896093,79.35616238121725,79.97916569901874,82.25722569229696,83.56890251013328,84.42068144206387,84.42068144206387,84.72127452053374,84.76188495428076,84.76188495428076	0.9931089113254034	84.76188495428076	3	false	36
34	23	21	59	7257	92040	736320	0	0	81.73325676047604	81.73325676047604	81.73325676047604	81.73325676047604	80.23756551456664,81.51598837845417,81.51598837845417,81.51598837845417,81.51598837845417,81.51598837845417,81.51598837845417,81.51598837845417,81.51598837845417,81.51598837845417,81.51598837845417,81.51598837845417,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.68877512497433,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.69574712984796,81.73325676047604,81.73325676047604	0.9928662241100739	81.73325676047604	4	false	77
35	23	21	29	3567	45240	361920	0	0	85.69943377823176	85.69943377823176	85.69943377823176	85.69943377823176	80.33119547109585,81.22270724466787,81.22270724466787,83.59180988730212,83.59180988730212,83.59180988730212,83.59180988730212,83.59180988730212,83.59180988730212,83.59180988730212,83.59180988730212,83.59180988730212,83.59180988730212,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.1440444377707,85.69943377823176,85.69943377823176	0.9928173503629891	85.69943377823176	5	false	40
36	24	22	22	2794	34320	274560	0	0	84.59032969699744	84.59032969699744	84.59032969699744	84.59032969699744	74.22656921170282,76.78012070572049,56.00981278795188,59.68210672597162,62.64117462132094,72.18755554407713,72.18755554407713,72.18755554407713,72.18755554407713,75.32101542735639,75.32101542735639,79.09375870083443,81.14241443645574,81.14241443645574,81.14241443645574,81.14241443645574,83.5503622550193,83.5503622550193,83.55282637856872,83.55282637856872,84.59032969699744,84.59032969699744	0.9925115695893436	84.59032969699744	3	false	43
37	24	20	20	2380	31200	249600	0	0	81.44719352427451	81.44719352427451	81.44719352427451	81.44719352427451	76.94249220587874,76.94249220587874,79.92504136722273,79.92504136722273,79.92504136722273,80.48818366479378,80.48818366479378,80.48818366479378,80.48818366479378,80.48818366479378,80.48818366479378,80.48818366479378,80.48818366479378,80.48818366479378,80.48818366479378,80.48818366479378,81.07387662163062,81.07387662163062,81.44719352427451,81.44719352427451	0.9925390222326201	81.44719352427451	5	false	25
38	25	21	54	6642	84240	673920	0	0	85.67898066708509	85.67898066708509	85.67898066708509	85.67898066708509	85.37907687376637,77.47315690273388,79.282140428896,81.99732749249327,81.99732749249327,81.42167434673206,76.14180594049641,74.64802073807012,76.36371631199306,73.92842347845385,73.92842347845385,77.50255411335779,75.99187741770781,78.36616776631723,78.36616776631723,79.33587032617147,79.33587032617147,79.33587032617147,82.3193238761777,83.10401020804714,85.30252974332308,85.60199643938398,85.60199643938398,83.91511065019452,80.64887860547033,80.64887860547033,80.64887860547033,80.64887860547033,80.64887860547033,82.8728141835236,82.8728141835236,85.03496297403316,85.03496297403316,85.03496297403316,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.33339250073047,85.34872913873116,85.67898066708509,85.67898066708509	0.9924134931021121	85.67898066708509	4	false	55
39	25	21	6	738	9360	74880	0	0	84.10959191319371	84.10959191319371	84.10959191319371	84.10959191319371	78.67445794102359,79.20480814838888,79.20480814838888,82.31003436815453,84.10959191319371,84.10959191319371	0.992486054349654	84.10959191319371	4	false	15
