# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 22
# run: 5a48333a-f6c0-44dc-829e-55bf163fc456
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	29	2871	45240	361920	0	0	63.02996518932166	63.02996518932166	63.02996518932166	63.02996518932166	13.885651393351154,24.834043665769258,33.28134742327965,36.78459508364606,36.535766293877664,45.945522314735086,47.89348738127643,52.389065894574756,56.67742399966377,60.095688579180106,61.68383748579576,61.68383748579576,61.68383748579576,61.68383748579576,61.68383748579576,61.68383748579576,61.68383748579576,62.87602731199614,62.87602731199614,62.919680473551935,62.919680473551935,62.919680473551935,62.919680473551935,62.919680473551935,62.919680473551935,62.919680473551935,63.01892700595015,63.02996518932166,63.02996518932166	0.9960817657423182	63.02996518932166	7	false	383
26	15	15	1	99	1560	12480	0	0	74.69960641132404	74.69960641132404	74.69960641132404	74.69960641132404	74.69960641132404	0.9960817657423182	74.69960641132404	7	false	40
27	15	15	2	198	3120	24960	0	0	77.17237588287917	77.17237588287917	77.17237588287917	77.17237588287917	77.17237588287917,77.17237588287917	0.9959128826372083	77.17237588287917	8	false	10
28	16	16	27	2781	42120	336960	0	0	79.88278121073859	79.88278121073859	79.88278121073859	79.88278121073859	75.47128224753197,75.47128224753197,71.81705789032068,71.85189430060468,74.64953426526367,74.64953426526367,74.64953426526367,77.02596382959214,77.25519587232066,77.25519587232066,78.06313990909567,78.06313990909567,78.06313990909567,78.8787427168208,78.8787427168208,78.8787427168208,79.86295553755895,79.86295553755895,79.86295553755895,79.87736677800271,79.87736677800271,79.87736677800271,79.87736677800271,79.87736677800271,79.87736677800271,79.88278121073859,79.88278121073859	0.9955312141306174	79.88278121073859	6	false	69
29	17	17	9	963	14040	112320	0	0	85.07046069449503	85.07046069449503	85.07046069449503	85.07046069449503	83.2721796491101,83.2721796491101,83.95386739319248,83.95386739319248,83.95386739319248,83.95386739319248,83.95386739319248,85.07046069449503,85.07046069449503	0.9952702495229601	85.07046069449503	4	false	38
30	19	18	9	999	14040	112320	0	0	89.78034317934089	89.78034317934089	89.78034317934089	89.78034317934089	84.51765722126554,83.42516384672123,82.64549087807681,87.59516036539533,89.5757270061693,89.5757270061693,89.59684223891355,89.78034317934089,89.78034317934089	0.9950551246152608	89.78034317934089	3	false	36
31	20	20	9	1071	14040	112320	0	0	95.40648044122014	95.40648044122014	95.40648044122014	95.40648044122014	91.56959714154331,91.56959714154331,92.26986437302942,92.33403241693297,93.33404291521576,93.33404291521576,95.33948821061433,95.40648044122014,95.40648044122014	0.9947698145210228	95.40648044122014	1	true	26
32	20	19	39	4485	60840	486720	0	0	86.90426608929384	86.90426608929384	86.90426608929384	86.90426608929384	79.78825735366915,81.77714167532456,81.77714167532456,82.75406424176234,84.65367394801055,84.65367394801055,84.65367394801055,84.65367394801055,85.0305049076225,85.0305049076225,85.29238672815193,86.09215609460786,86.09215609460786,86.09215609460786,86.09215609460786,86.09215609460786,86.09215609460786,86.09215609460786,86.09215609460786,86.09215609460786,86.09215609460786,86.09215609460786,86.09215609460786,86.09215609460786,86.89315041094925,86.89315041094925,86.89315041094925,86.89315041094925,86.89315041094925,86.89315041094925,86.89315041094925,86.89315041094925,86.89315041094925,86.89315041094925,86.89315041094925,86.89315041094925,86.89315041094925,86.90426608929384,86.90426608929384	0.99405436427574	86.90426608929384	5	false	71
33	22	22	14	1778	21840	174720	0	0	86.1438580430915	86.1438580430915	86.1438580430915	86.1438580430915	79.9388724545225,72.23671977018422,69.49682131927763,70.296741453032,73.45421978139993,76.32560710187943,79.60148609337796,82.46868853309809,84.35607501876702,84.35607501876702,86.1430895938279,86.1430895938279,86.1438580430915,86.1438580430915	0.9931610018935378	86.1438580430915	3	true	35
34	23	23	61	7991	95160	761280	0	0	90.27389129627262	90.27389129627262	90.27389129627262	90.27389129627262	85.67704868467258,85.67704868467258,86.07570061062198,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,88.79738515656233,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.48852482888948,89.80910188381667,89.80910188381667,89.80910188381667,89.80910188381667,90.1232208386461,90.1232208386461,90.1232208386461,90.1232208386461,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.25893473924164,90.27389129627262,90.27389129627262	0.9928066763658695	90.27389129627262	3	true	58
