# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 23
# run: ec7b94f2-abc5-4287-b7fc-8a86d0ad04d1
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	26	2574	40560	324480	0	0	66.30805887809805	66.30805887809805	66.30805887809805	66.30805887809805	22.315341473035197,30.887423601069344,42.66273979399058,43.655245096833895,53.70036155642363,53.690039327555795,56.20902340532492,61.68985097753952,62.496727947288036,62.32580775035167,62.335097899668256,60.726072252142586,57.79933215393265,61.06813996954851,63.27898815862706,64.57777278672478,65.63886721876072,65.63886721876072,65.63886721876072,65.63886721876072,65.63886721876072,65.63886721876072,65.63886721876072,65.63886721876072,66.30805887809805,66.30805887809805	0.9964291824156865	66.30805887809805	5	false	440
26	15	15	2	198	3120	24960	0	0	74.6042938339448	74.6042938339448	74.6042938339448	74.6042938339448	74.6042938339448,74.6042938339448	0.9960817657423182	74.6042938339448	6	false	76
27	15	15	1	99	1560	12480	0	0	79.34337613275108	79.34337613275108	79.34337613275108	79.34337613275108	79.34337613275108	0.9960817657423182	79.34337613275108	6	false	22
28	15	15	1	99	1560	12480	0	0	83.40618688355607	83.40618688355607	83.40618688355607	83.40618688355607	83.40618688355607	0.9960817657423182	83.40618688355607	6	false	19
29	15	15	4	396	6240	49920	0	0	77.6488589062306	77.6488589062306	77.6488589062306	77.6488589062306	76.65404865025573,76.65404865025573,77.6488589062306,77.6488589062306	0.9956704147505866	77.6488589062306	7	false	9
30	17	17	12	1284	18720	149760	0	0	84.26697813785876	84.26697813785876	84.26697813785876	84.26697813785876	82.00956196135326,72.47210506593682,72.47210506593682,73.3647518985465,76.16164346060908,79.65108481184087,79.65108481184087,82.7982984699969,82.7982984699969,82.7982984699969,84.26697813785876,84.26697813785876	0.9952702495229601	84.26697813785876	4	false	32
31	17	16	39	4017	60840	486720	0	0	81.50016211172581	81.50016211172581	81.50016211172581	81.50016211172581	78.9147052309714,78.9147052309714,78.9147052309714,78.9147052309714,78.9147052309714,78.9147052309714,78.9147052309714,79.77208441349438,79.77208441349438,79.26547746061411,79.86580673959091,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,79.97767899974713,81.50016211172581,81.50016211172581	0.9952701398586062	81.50016211172581	5	false	78
32	18	18	55	6105	85800	686400	0	0	90.59924242426735	90.59924242426735	90.59924242426735	90.59924242426735	81.28967922041961,73.65400736844015,73.65400736844015,79.67228774415257,79.67228774415257,79.67228774415257,79.67228774415257,79.67228774415257,81.42217076077509,84.59471906495097,84.61402449191137,84.61402449191137,84.61402449191137,84.61402449191137,84.61402449191137,84.61402449191137,84.61402449191137,84.61402449191137,84.61402449191137,87.02166821267217,88.58063650846216,88.58063650846216,89.0431494118701,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,89.63400813227771,90.59924242426735,90.59924242426735	0.9952459040363794	90.59924242426735	2	false	98
33	18	18	3	333	4680	37440	0	0	83.480839234325	83.480839234325	83.480839234325	83.480839234325	79.68122121353699,83.480839234325,83.480839234325	0.9945872599264517	83.480839234325	4	false	12
34	20	18	20	2220	31200	249600	0	0	70.59559443310908	70.59559443310908	70.59559443310908	70.59559443310908	61.49003110767907,62.36851217751051,62.851160508821735,59.16110512205605,60.00451325843063,60.00451325843063,60.3043131636124,63.882294921929045,66.02384188782129,66.02384188782129,67.92358577490116,67.92358577490116,67.92358577490116,67.92358577490116,69.94529542260047,69.94529542260047,70.42359744032706,70.5948806262263,70.59559443310908,70.59559443310908	0.9936048135340433	70.59559443310908	7	false	39
