# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 14
# run: ef3ea1bc-f486-47e6-95bf-65eefe67199c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	11	1089	17160	137280	0	0	67.83451303833675	67.83451303833675	67.83451303833675	67.83451303833675	22.402589914501377,31.5558182025188,42.570495028662464,53.867630375724204,57.461298072086144,57.461298072086144,62.582121214363255,63.7953904195255,66.88851623175944,67.83451303833675,67.83451303833675	0.9964291824156865	67.83451303833675	5	false	336
26	15	15	32	3168	49920	399360	0	0	76.5426848629234	76.5426848629234	76.5426848629234	76.5426848629234	76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.42033538069595,76.5426848629234,76.5426848629234	0.9960817657423182	76.5426848629234	7	false	274
27	15	15	1	99	1560	12480	0	0	81.59013676854354	81.59013676854354	81.59013676854354	81.59013676854354	81.59013676854354	0.9960817657423182	81.59013676854354	7	false	44
28	15	15	1	99	1560	12480	0	0	85.58988297819995	85.58988297819995	85.58988297819995	85.58988297819995	85.58988297819995	0.9960817657423182	85.58988297819995	7	false	16
29	15	15	1	99	1560	12480	0	0	88.45017860979564	88.45017860979564	88.45017860979564	88.45017860979564	88.45017860979564	0.9960817657423182	88.45017860979564	7	false	13
30	15	15	16	1584	24960	199680	0	0	85.07237679773803	85.07237679773803	85.07237679773803	85.07237679773803	84.02855533253401,84.02855533253401,84.02855533253401,84.02855533253401,84.02855533253401,84.02855533253401,84.02855533253401,84.02855533253401,84.02855533253401,84.02855533253401,84.9753462438351,84.9753462438351,84.9753462438351,84.9753462438351,85.07237679773803,85.07237679773803	0.9957029850637148	85.07237679773803	7	false	24
31	17	16	19	1957	29640	237120	0	0	87.68558887807897	87.68558887807897	87.68558887807897	87.68558887807897	85.24418216839416,86.18085800043825,84.81819509552105,77.8887269869787,77.8887269869787,77.8887269869787,82.43683896762654,85.12153771917178,85.12153771917178,86.8957777766549,87.53164995983654,87.53164995983654,87.53164995983654,87.53164995983654,87.53164995983654,87.53164995983654,87.53164995983654,87.68558887807897,87.68558887807897	0.9953702634137782	87.68558887807897	6	false	46
32	17	17	4	428	6240	49920	0	0	87.91847860336321	87.91847860336321	87.91847860336321	87.91847860336321	85.74816760803952,85.74816760803952,87.91847860336321,87.91847860336321	0.9952533612124491	87.91847860336321	3	false	18
33	17	16	5	515	7800	62400	0	0	86.08957108962949	86.08957108962949	86.08957108962949	86.08957108962949	84.4912017704398,84.4912017704398,84.4912017704398,86.08957108962949,86.08957108962949	0.9952701398586062	86.08957108962949	5	false	48
34	17	17	19	2033	29640	237120	0	0	87.40226595659868	87.40226595659868	87.40226595659868	87.40226595659868	85.21999244318157,85.21999244318157,85.80583328327991,86.11795893041624,86.11795893041624,86.11795893041624,86.11795893041624,87.1240285035522,87.1240285035522,87.1240285035522,87.1240285035522,87.1240285035522,87.1240285035522,87.1240285035522,87.1240285035522,87.1240285035522,87.1240285035522,87.40226595659868,87.40226595659868	0.9951737448914689	87.40226595659868	4	false	22
35	17	17	38	4066	59280	474240	0	0	67.37828217277179	67.37828217277179	67.37828217277179	67.37828217277179	64.23382630226241,64.23382630226241,64.23382630226241,65.13334159149387,65.13334159149387,65.13334159149387,64.73510346196268,64.73510346196268,64.73510346196268,65.544443343349,65.544443343349,65.5445848839596,65.55085380728428,65.55085380728428,65.55085380728428,65.55085380728428,65.55085380728428,65.55085380728428,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,66.33425704673891,67.37828217277179,67.37828217277179	0.9941399390266191	67.37828217277179	9	false	26
36	18	18	15	1665	23400	187200	0	0	73.04564842931013	73.04564842931013	73.04564842931013	73.04564842931013	69.04032373255293,70.84066512792769,70.84066512792769,70.84066512792769,72.84598982468489,72.84598982468489,72.84598982468489,72.84598982468489,72.84598982468489,72.84598982468489,72.84598982468489,72.84598982468489,72.84598982468489,73.04564842931013,73.04564842931013	0.993782433232686	73.04564842931013	7	false	13
37	18	17	17	1819	26520	212160	0	0	63.700638042563	63.700638042563	63.700638042563	63.700638042563	61.05990754438152,61.05990754438152,61.05990754438152,61.808796586525276,61.808796586525276,62.5501143300406,62.5501143300406,62.5501143300406,62.55623544520584,62.55623544520584,63.34424362716352,63.34424362716352,63.34424362716352,63.37425172590282,63.37425172590282,63.700638042563,63.700638042563	0.9936347153478919	63.700638042563	9	false	15
