# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 24
# run: b7a547fc-55e4-4077-91fe-2e0c7c35bd07
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	15	195	0	0	27.5101794339473	27.5101794339473	36.76873918838027	36.76873918838027	27.5101794339473	0.9960817657423182	27.5101794339473	3	true	77
26	15	15	1	15	15	195	0	0	29.936829502712506	29.936829502712506	40.716486802856345	40.716486802856345	29.936829502712506	0.9960817657423182	29.936829502712506	4	true	2
27	15	15	1	15	15	195	0	0	31.599945314892224	31.599945314892224	41.77369735013637	41.77369735013637	31.599945314892224	0.9960817657423182	31.599945314892224	4	true	9
28	15	15	1	15	15	195	0	0	29.603204709688946	29.603204709688946	43.041103308650605	43.041103308650605	29.603204709688946	0.9960817657423182	29.603204709688946	5	true	3
29	15	15	1	15	15	195	0	0	30.881484994672824	30.881484994672824	43.34213259039359	43.34213259039359	30.881484994672824	0.9956704147505866	30.881484994672824	5	true	2
30	17	17	1	17	15	195	0	0	10.412559210181776	10.412559210181776	43.44922234245767	43.44922234245767	10.412559210181776	0.9952702495229601	10.412559210181776	9	true	3
31	17	16	1	16	15	195	0	0	17.735421603009854	17.735421603009854	41.21036334958492	41.21036334958492	17.735421603009854	0.995300407220301	17.735421603009854	7	true	1
32	19	19	1	19	15	195	0	0	40.938252879957595	40.938252879957595	44.85231039044861	44.85231039044861	40.938252879957595	0.9948568880180726	40.938252879957595	2	true	2
33	19	18	1	18	15	195	0	0	37.39585366566357	37.39585366566357	46.02929522527046	46.02929522527046	37.39585366566357	0.9944726241217713	37.39585366566357	3	true	2
34	20	19	1	19	15	195	0	0	22.32889620659911	22.32889620659911	39.30917240246244	39.30917240246244	22.32889620659911	0.9934359669837186	22.32889620659911	8	true	9
35	20	19	1	19	15	195	0	0	24.329072298501075	24.329072298501075	40.320446337205915	40.320446337205915	24.329072298501075	0.9934359669837186	24.329072298501075	8	true	3
36	20	19	1	19	15	195	0	0	24.633238344230335	24.633238344230335	40.62827592871504	40.62827592871504	24.633238344230335	0.9933370497364401	24.633238344230335	8	true	1
37	21	19	1	19	15	195	0	0	21.49264715966794	21.49264715966794	37.69883968559817	37.69883968559817	21.49264715966794	0.9928310584072348	21.49264715966794	7	true	1
38	22	19	1	19	15	195	0	0	29.37826886322388	29.37826886322388	38.32850999807164	38.32850999807164	29.37826886322388	0.9928016683603719	29.37826886322388	4	true	3
39	23	20	1	20	15	195	0	0	25.950154479566237	25.950154479566237	40.083984099319004	40.083984099319004	25.950154479566237	0.9926863380147828	25.950154479566237	6	true	2
40	24	19	1	19	15	195	0	0	25.178135495503803	25.178135495503803	37.580681757531515	37.580681757531515	25.178135495503803	0.9924966917919886	25.178135495503803	6	true	1
41	25	20	1	20	15	195	0	0	27.502909592004162	27.502909592004162	41.327358190952744	41.327358190952744	27.502909592004162	0.9920855601289654	27.502909592004162	5	true	2
42	26	22	1	22	15	195	0	0	27.698577189791695	27.698577189791695	44.152629037169845	44.152629037169845	27.698577189791695	0.9917408485096614	27.698577189791695	6	true	5
43	26	21	1	21	15	195	0	0	24.05229730453639	24.05229730453639	40.94304552959538	40.94304552959538	24.05229730453639	0.9917859205591419	24.05229730453639	6	true	1
44	26	20	1	20	15	195	0	0	16.434313592582498	16.434313592582498	40.45459446365524	40.45459446365524	16.434313592582498	0.9917921714273182	16.434313592582498	8	true	1
45	26	20	1	20	15	195	0	0	17.637815423850633	17.637815423850633	40.75981721972428	40.75981721972428	17.637815423850633	0.9917921714273182	17.637815423850633	8	true	1
46	27	20	1	20	15	195	0	0	14.661192266627836	14.661192266627836	41.72449235894265	41.72449235894265	14.661192266627836	0.9914957486785445	14.661192266627836	9	true	1
47	27	19	1	19	15	195	0	0	2.9019143960987694	2.9019143960987694	38.54677529220968	38.54677529220968	2.9019143960987694	0.991550690519882	2.9019143960987694	11	true	1
48	27	18	1	18	15	195	0	0	-30.323041529423023	-30.323041529423023	33.52782233364695	33.52782233364695	-30.323041529423023	0.9915525548138995	-30.323041529423023	13	true	1
49	27	18	1	18	15	195	0	0	0.5442902172470117	0.5442902172470117	34.279680471506175	34.279680471506175	0.5442902172470117	0.9915739393629233	0.5442902172470117	11	true	1
50	28	18	1	18	15	195	0	0	-31.427920198029916	-31.427920198029916	30.086503201268993	30.086503201268993	-31.427920198029916	0.9914282685460699	-31.427920198029916	13	true	2
51	29	19	1	19	15	195	0	0	-28.468581518072632	-28.468581518072632	34.151521595357934	34.151521595357934	-28.468581518072632	0.9914046541551824	-28.468581518072632	13	true	1
52	30	19	1	19	15	195	0	0	3.315897762250792	3.315897762250792	37.370793494399095	37.370793494399095	3.315897762250792	0.9911832418245222	3.315897762250792	9	true	1
53	30	19	1	19	15	195	0	0	10.125571772035359	10.125571772035359	39.45155434889628	39.45155434889628	10.125571772035359	0.9911832418245222	10.125571772035359	9	true	1
54	31	20	1	20	15	195	0	0	10.70823114436694	10.70823114436694	42.03639629028922	42.03639629028922	10.70823114436694	0.9911161272398943	10.70823114436694	9	true	1
55	31	20	1	20	15	195	0	0	-0.5802751747053563	-0.5802751747053563	40.06410242801188	40.06410242801188	-0.5802751747053563	0.9911401437334134	-0.5802751747053563	9	true	1
56	32	20	1	20	15	195	0	0	-0.3467932779655669	-0.3467932779655669	39.20658112489919	39.20658112489919	-0.3467932779655669	0.99091430827381	-0.3467932779655669	9	true	1
57	32	19	1	19	15	195	0	0	25.617215043774614	25.617215043774614	36.67368651287824	36.67368651287824	25.617215043774614	0.9909205591419862	25.617215043774614	6	true	2
58	32	20	1	20	15	195	0	0	18.52190697967712	18.52190697967712	44.070033779833096	44.070033779833096	18.52190697967712	0.9908781190370006	18.52190697967712	7	true	1
59	32	20	1	20	15	195	0	0	18.864733937418002	18.864733937418002	40.83165631771613	40.83165631771613	18.864733937418002	0.99091430827381	18.864733937418002	7	true	1
60	32	19	1	19	15	195	0	0	-12.645830041922324	-12.645830041922324	32.07853512012948	32.07853512012948	-12.645830041922324	0.9905405721554895	-12.645830041922324	11	true	13
61	32	18	1	18	15	195	0	0	-1.1781993724509352	-1.1781993724509352	27.87932220678092	27.87932220678092	-1.1781993724509352	0.9905438620861086	-1.1781993724509352	11	true	1
62	32	19	1	19	15	195	0	0	25.662441902019907	25.662441902019907	37.018935936038986	37.018935936038986	25.662441902019907	0.9904727995847378	25.662441902019907	7	true	6
63	32	17	1	17	15	195	0	0	3.0975790381611574	3.0975790381611574	28.940526900172177	28.940526900172177	3.0975790381611574	0.9905438620861086	3.0975790381611574	11	true	1
64	32	18	1	18	15	195	0	0	5.572456802909102	5.572456802909102	33.58002025895854	33.58002025895854	5.572456802909102	0.9905376112179326	5.572456802909102	11	true	1
65	32	18	1	18	15	195	0	0	8.467957375819871	8.467957375819871	32.4845554992191	32.4845554992191	8.467957375819871	0.9905520869126562	8.467957375819871	9	true	1
66	32	16	1	16	15	195	0	0	-24.73446083149851	-24.73446083149851	24.566672079389228	24.566672079389228	-24.73446083149851	0.9905616277114512	-24.73446083149851	13	true	1
67	32	16	1	16	15	195	0	0	-12.449001854606017	-12.449001854606017	25.99610674310117	25.99610674310117	-12.449001854606017	0.990384300451086	-12.449001854606017	11	true	3
68	32	17	1	17	15	195	0	0	-1.0764629971905677	-1.0764629971905677	25.996357608054293	25.996357608054293	-1.0764629971905677	0.9904027240625527	-1.0764629971905677	11	true	1
69	32	15	1	15	15	195	0	0	-6.210983161713083	-6.210983161713083	12.694338336512635	12.694338336512635	-6.210983161713083	0.9900753759659602	-6.210983161713083	7	true	1
70	32	15	1	15	15	195	0	0	-2.276100302637307	-2.276100302637307	18.675000461609848	18.675000461609848	-2.276100302637307	0.990072086035341	-2.276100302637307	9	true	1
71	32	16	1	16	15	195	0	0	-2.2908297865885974	-2.2908297865885974	23.294165335956926	23.294165335956926	-2.2908297865885974	0.9900513594724415	-2.2908297865885974	9	true	1
72	32	13	1	13	15	195	0	0	-1.07564084689362	-1.07564084689362	23.29455457083546	23.29455457083546	-1.07564084689362	0.990022737076056	-1.07564084689362	11	true	1
73	32	11	1	11	15	195	0	0	-15.351009653654252	-15.351009653654252	8.686549928019096	8.686549928019096	-15.351009653654252	0.9900753759659602	-15.351009653654252	9	false	1
74	32	10	1	10	15	195	0	0	-10.020644032662094	-10.020644032662094	7.402433924585726	7.402433924585726	-10.020644032662094	0.9900753759659602	-10.020644032662094	8	false	0
75	32	10	1	10	15	195	0	0	-9.92445628665391	-9.92445628665391	7.442551261588653	7.442551261588653	-9.92445628665391	0.9900753759659602	-9.92445628665391	8	false	1
76	32	9	1	9	15	195	0	0	-9.825106987890255	-9.825106987890255	5.531721210893689	5.531721210893689	-9.825106987890255	0.9900753759659602	-9.825106987890255	8	false	3
77	32	8	1	8	15	195	0	0	-22.407846529727465	-22.407846529727465	-0.16470028739109033	-0.16470028739109033	-22.407846529727465	0.9900753759659602	-22.407846529727465	10	false	0
78	32	6	1	6	15	195	0	0	-57.34254288311719	-57.34254288311719	-12.462466190546834	-12.462466190546834	-57.34254288311719	0.9904701676402424	-57.34254288311719	13	false	0
79	32	5	1	5	15	195	0	0	-66.0519265194633	-66.0519265194633	-23.772591950450227	-23.772591950450227	-66.0519265194633	0.9906565970419868	-66.0519265194633	14	false	0
80	32	5	1	5	15	195	0	0	-64.27784980091229	-64.27784980091229	-22.087563730095646	-22.087563730095646	-64.27784980091229	0.9906565970419868	-64.27784980091229	14	false	0
81	32	4	1	4	15	195	0	0	-73.59260255403512	-73.59260255403512	-30.910894387519065	-30.910894387519065	-73.59260255403512	0.9906693912166163	-73.59260255403512	14	false	0
82	32	4	1	4	15	195	0	0	-72.66480673920053	-72.66480673920053	-30.266205703145886	-30.266205703145886	-72.66480673920053	0.9906693912166163	-72.66480673920053	14	false	0
83	32	4	1	4	15	195	0	0	-72.51213656626292	-72.51213656626292	-30.008915903201967	-30.008915903201967	-72.51213656626292	0.9906693912166163	-72.51213656626292	14	false	0
84	32	4	1	4	15	195	0	0	-71.58979303054791	-71.58979303054791	-29.030311972876447	-29.030311972876447	-71.58979303054791	0.9906693912166163	-71.58979303054791	14	false	1
85	32	4	1	4	15	195	0	0	-70.21690994527938	-70.21690994527938	-27.43188147804001	-27.43188147804001	-70.21690994527938	0.9906693912166163	-70.21690994527938	14	false	0
86	32	4	1	4	15	195	0	0	-68.79048563744621	-68.79048563744621	-25.691391717305194	-25.691391717305194	-68.79048563744621	0.9906693912166163	-68.79048563744621	14	false	1
87	32	3	1	3	15	195	0	0	-69.20425522081612	-69.20425522081612	-35.0869752247463	-35.0869752247463	-69.20425522081612	0.9906693912166163	-69.20425522081612	14	false	0
88	32	3	1	3	15	195	0	0	-67.04309915884133	-67.04309915884133	-33.29025054229078	-33.29025054229078	-67.04309915884133	0.9906693912166163	-67.04309915884133	14	false	67
89	32	3	1	3	15	195	0	0	-66.25807263169942	-66.25807263169942	-32.20296817558543	-32.20296817558543	-66.25807263169942	0.9906693912166163	-66.25807263169942	14	false	1
90	32	3	1	3	15	195	0	0	-65.61526174389122	-65.61526174389122	-31.22310281043459	-31.22310281043459	-65.61526174389122	0.9906693912166163	-65.61526174389122	14	false	0
91	32	3	1	3	15	195	0	0	-65.13917285483032	-65.13917285483032	-30.278601844448957	-30.278601844448957	-65.13917285483032	0.9906693912166163	-65.13917285483032	14	false	0
