# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 25
# run: bfb02c74-8c90-4064-8662-054a97a8fd89
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	15	195	0	0	27.509825950994696	27.509825950994696	36.78086306729673	36.78086306729673	27.509825950994696	0.9964291824156865	27.509825950994696	3	true	36
26	15	15	1	15	15	195	0	0	29.958758123556137	29.958758123556137	40.43396434784977	40.43396434784977	29.958758123556137	0.9964291824156865	29.958758123556137	4	true	2
27	15	15	1	15	15	195	0	0	31.69133233644154	31.69133233644154	41.861178761784394	41.861178761784394	31.69133233644154	0.9960817657423182	31.69133233644154	4	true	7
28	15	15	1	15	15	195	0	0	32.89992560899605	32.89992560899605	43.07075824001126	43.07075824001126	32.89992560899605	0.9960817657423182	32.89992560899605	4	true	19
29	15	15	1	15	15	195	0	0	28.67272605840146	28.67272605840146	43.932578549314336	43.932578549314336	28.67272605840146	0.9960817657423182	28.67272605840146	5	true	2
30	15	15	1	15	15	195	0	0	30.22477972350088	30.22477972350088	44.63782913428202	44.63782913428202	30.22477972350088	0.9957029850637148	30.22477972350088	5	true	2
31	17	17	1	17	15	195	0	0	25.73040797915242	25.73040797915242	44.64389577120257	44.64389577120257	25.73040797915242	0.9953534847676211	25.73040797915242	6	true	1
32	17	16	1	16	15	195	0	0	27.383181168092314	27.383181168092314	41.97594475709967	41.97594475709967	27.383181168092314	0.995300407220301	27.383181168092314	6	true	2
33	17	15	1	15	15	195	0	0	25.544498765268024	25.544498765268024	40.29370576260734	40.29370576260734	25.544498765268024	0.9953372544432341	25.544498765268024	6	true	3
34	18	16	1	16	15	195	0	0	37.52559898328746	37.52559898328746	42.51206736408775	42.51206736408775	37.52559898328746	0.9949155218926606	37.52559898328746	4	true	4
