# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 15
# run: 0f5468bb-18fb-4b48-920e-35179c5272a6
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	27	351	0	0	32.36303845461119	32.36303845461119	56.746594172041036	56.746594172041036	32.36303845461119	0.9960817657423182	32.36303845461119	11	true	57
26	15	15	1	15	27	351	0	0	30.132770118608676	30.132770118608676	59.64609333772932	59.64609333772932	30.132770118608676	0.9958718681688247	30.132770118608676	13	true	13
27	17	17	1	17	27	351	0	0	16.136553119702363	16.136553119702363	63.54167870017316	63.54167870017316	16.136553119702363	0.9953534847676211	16.136553119702363	15	true	5
28	18	18	1	18	27	351	0	0	23.377028494736003	23.377028494736003	61.4049138320094	61.4049138320094	23.377028494736003	0.9952459040363794	23.377028494736003	14	true	8
29	20	20	1	20	27	351	0	0	37.02331542482072	37.02331542482072	70.3245940708746	70.3245940708746	37.02331542482072	0.9948494308420032	37.02331542482072	12	true	8
30	20	19	1	19	27	351	0	0	31.950599485762197	31.950599485762197	68.81032409928025	68.81032409928025	31.950599485762197	0.9948198214664318	31.950599485762197	14	true	3
31	23	21	1	21	27	351	0	0	33.23649579291748	33.23649579291748	64.86672666784338	64.86672666784338	33.23649579291748	0.9931421396246555	33.23649579291748	15	true	15
32	23	21	1	21	27	351	0	0	24.59543328939025	24.59543328939025	64.51511644082584	64.51511644082584	24.59543328939025	0.9929575745169286	24.59543328939025	17	true	3
33	24	20	1	20	27	351	0	0	16.25171817952546	16.25171817952546	56.96966886348834	56.96966886348834	16.25171817952546	0.9928076633450553	16.25171817952546	17	true	4
34	25	23	1	23	27	351	0	0	29.123839964750957	29.123839964750957	67.67515106059571	67.67515106059571	29.123839964750957	0.992385382472712	29.123839964750957	16	true	5
35	25	21	1	21	27	351	0	0	31.83387251298766	31.83387251298766	61.099728214606216	61.099728214606216	31.83387251298766	0.992472236641054	31.83387251298766	14	true	4
36	27	24	1	24	27	351	0	0	31.281814543040447	31.281814543040447	69.64951932613754	69.64951932613754	31.281814543040447	0.992204619062589	31.281814543040447	14	true	4
37	27	23	1	23	27	351	0	0	31.568076088008112	31.568076088008112	65.98690697196119	65.98690697196119	31.568076088008112	0.9917734188227898	31.568076088008112	14	true	16
38	30	24	1	24	27	351	0	0	19.223063793810795	19.223063793810795	72.75297061322213	72.75297061322213	19.223063793810795	0.9908551260774523	19.223063793810795	15	true	5
39	31	25	1	25	27	351	0	0	17.0684252161723	17.0684252161723	74.54507970604014	74.54507970604014	17.0684252161723	0.9907706114153282	17.0684252161723	16	true	4
40	34	29	1	29	27	351	0	0	16.937552573394015	16.937552573394015	74.35513257845054	74.35513257845054	16.937552573394015	0.990276829384198	16.937552573394015	16	true	5
41	35	29	1	29	27	351	0	0	15.633217367250339	15.633217367250339	73.3080436254306	73.3080436254306	15.633217367250339	0.9899837696756129	15.633217367250339	15	true	4
42	36	27	1	27	27	351	0	0	20.169596800548597	20.169596800548597	73.31563793405033	73.31563793405033	20.169596800548597	0.9901478275491478	20.169596800548597	17	true	4
43	36	28	1	28	27	351	0	0	35.35800030796724	35.35800030796724	74.24266882493103	74.24266882493103	35.35800030796724	0.9898223437465731	35.35800030796724	14	true	4
44	37	27	1	27	27	351	0	0	-13.744301882415108	-13.744301882415108	68.43487284892329	68.43487284892329	-13.744301882415108	0.9895893069943926	-13.744301882415108	17	true	4
45	38	26	1	26	27	351	0	0	-24.647569832473252	-24.647569832473252	69.31437252072442	69.31437252072442	-24.647569832473252	0.9896433715208987	-24.647569832473252	18	true	3
46	40	29	1	29	27	351	0	0	-18.573154428957935	-18.573154428957935	73.78525511693573	73.78525511693573	-18.573154428957935	0.9887746470635543	-18.573154428957935	18	true	4
47	41	30	1	30	27	351	0	0	-33.005793602719194	-33.005793602719194	68.06996247417287	68.06996247417287	-33.005793602719194	0.9884152404208186	-33.005793602719194	17	true	4
48	42	30	1	30	27	351	0	0	-33.302349280451395	-33.302349280451395	68.55155127636067	68.55155127636067	-33.302349280451395	0.9881250685402211	-33.302349280451395	18	true	4
49	42	30	1	30	27	351	0	0	-31.356111974367025	-31.356111974367025	69.73926473879364	69.73926473879364	-31.356111974367025	0.9877100986248093	-31.356111974367025	18	true	4
50	42	30	1	30	27	351	0	0	-29.59956545598449	-29.59956545598449	71.4958949407752	71.4958949407752	-29.59956545598449	0.9877100986248093	-29.59956545598449	18	true	4
51	42	31	1	31	27	351	0	0	-25.620984077733098	-25.620984077733098	72.55418986980747	72.55418986980747	-25.620984077733098	0.9874446012238542	-25.620984077733098	18	true	4
52	43	31	1	31	27	351	0	0	-25.248301423316377	-25.248301423316377	72.23697326609394	72.23697326609394	-25.248301423316377	0.9871482515846499	-25.248301423316377	17	true	16
53	46	34	1	34	27	351	0	0	-23.42303681638785	-23.42303681638785	76.00478914790897	76.00478914790897	-23.42303681638785	0.9863111104612482	-23.42303681638785	17	true	5
