# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 19
# run: 6da9f1f5-f62f-4fdf-a641-1bcb12fa4bc1
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	27	351	0	0	31.06457583789964	31.06457583789964	57.44721708261984	57.44721708261984	31.06457583789964	0.9960817657423182	31.06457583789964	11	true	100
26	15	15	1	15	27	351	0	0	29.640347753880903	29.640347753880903	61.854837759151806	61.854837759151806	29.640347753880903	0.9960817657423182	29.640347753880903	13	true	20
27	15	15	1	15	27	351	0	0	33.4404024161893	33.4404024161893	64.4583479245992	64.4583479245992	33.4404024161893	0.9960817657423182	33.4404024161893	13	true	4
28	15	15	1	15	27	351	0	0	27.15302817061432	27.15302817061432	61.31481292197993	61.31481292197993	27.15302817061432	0.9956704147505866	27.15302817061432	14	true	7
29	17	17	1	17	27	351	0	0	9.285552061450602	9.285552061450602	64.08997612304582	64.08997612304582	9.285552061450602	0.9952702495229601	9.285552061450602	17	true	6
30	20	19	1	19	27	351	0	0	36.456681890007616	36.456681890007616	67.16246935749345	67.16246935749345	36.456681890007616	0.994886278064936	36.456681890007616	12	true	15
31	20	18	1	18	27	351	0	0	22.6706100605441	22.6706100605441	67.61286483544998	67.61286483544998	22.6706100605441	0.9949543796287497	22.6706100605441	16	true	8
32	21	19	1	19	27	351	0	0	23.989207702091356	23.989207702091356	65.77544920264252	65.77544920264252	23.989207702091356	0.9939225477222714	23.989207702091356	17	true	3
33	22	20	1	20	27	351	0	0	24.641682362178038	24.641682362178038	62.724853186287724	62.724853186287724	24.641682362178038	0.9933945138579187	24.641682362178038	17	true	4
34	22	20	1	20	27	351	0	0	19.253653417797068	19.253653417797068	60.212466654004686	60.212466654004686	19.253653417797068	0.9931291261213179	19.253653417797068	17	true	5
35	23	21	1	21	27	351	0	0	20.58070058929772	20.58070058929772	63.11709191107943	63.11709191107943	20.58070058929772	0.9929656165695527	20.58070058929772	17	true	4
36	24	21	1	21	27	351	0	0	15.13798212918887	15.13798212918887	62.11854835345112	62.11854835345112	15.13798212918887	0.9926851317068893	15.13798212918887	17	true	3
37	25	23	1	23	27	351	0	0	33.95858983035668	33.95858983035668	68.99778190651047	68.99778190651047	33.95858983035668	0.9926346129944948	33.95858983035668	15	true	16
38	26	23	1	23	27	351	0	0	35.66792474379791	35.66792474379791	68.0749653403434	68.0749653403434	35.66792474379791	0.9924949737171099	35.66792474379791	13	true	6
39	27	23	1	23	27	351	0	0	3.246226978314846	3.246226978314846	68.52082596285675	68.52082596285675	3.246226978314846	0.9921408309633649	3.246226978314846	19	true	5
40	28	22	1	22	27	351	0	0	-30.631222127386536	-30.631222127386536	62.633658161891994	62.633658161891994	-30.631222127386536	0.9914736330338279	-30.631222127386536	21	true	3
41	28	22	1	22	27	351	0	0	-25.015054771556677	-25.015054771556677	63.54423180345769	63.54423180345769	-25.015054771556677	0.9914736330338279	-25.015054771556677	21	true	3
42	31	25	1	25	27	351	0	0	-25.926609465381112	-25.926609465381112	68.33106820307952	68.33106820307952	-25.926609465381112	0.9911510370592407	-25.926609465381112	20	true	4
43	31	24	1	24	27	351	0	0	-26.255045497355	-26.255045497355	67.02805989843561	67.02805989843561	-26.255045497355	0.9911878842821735	-26.255045497355	19	true	4
44	32	25	1	25	27	351	0	0	-16.14333417465503	-16.14333417465503	67.9680689621984	67.9680689621984	-16.14333417465503	0.9911692413419992	-16.14333417465503	20	true	4
45	33	26	1	26	27	351	0	0	-26.62585560020248	-26.62585560020248	68.03718272789814	68.03718272789814	-26.62585560020248	0.9904183329556006	-26.62585560020248	18	true	3
46	34	27	1	27	27	351	0	0	-14.9189439082547	-14.9189439082547	71.4400683484992	71.4400683484992	-14.9189439082547	0.9903512183709726	-14.9189439082547	18	true	4
47	35	28	1	28	27	351	0	0	-1.09112469849957	-1.09112469849957	74.48962293283088	74.48962293283088	-1.09112469849957	0.989821502986526	-1.09112469849957	16	true	4
48	35	27	1	27	27	351	0	0	-2.216513002457674	-2.216513002457674	75.30243719226978	75.30243719226978	-2.216513002457674	0.9898264378824545	-2.216513002457674	16	true	4
49	37	30	1	30	27	351	0	0	-0.8633893329163271	-0.8633893329163271	77.39826421485493	77.39826421485493	-0.8633893329163271	0.9892462768951831	-0.8633893329163271	16	true	4
50	38	31	1	31	27	351	0	0	3.7492097032259295	3.7492097032259295	79.57387411576829	79.57387411576829	3.7492097032259295	0.988610625744804	3.7492097032259295	15	true	4
