# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 16
# run: fa7dd5f9-ab34-45e5-9705-f890e8c5627e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	27	351	0	0	32.35918314364993	32.35918314364993	56.79383138918536	56.79383138918536	32.35918314364993	0.9960817657423182	32.35918314364993	11	true	51
26	15	15	1	15	27	351	0	0	30.16288758183518	30.16288758183518	61.790500216836804	61.790500216836804	30.16288758183518	0.9960817657423182	30.16288758183518	13	true	17
27	15	15	1	15	27	351	0	0	33.82976212785711	33.82976212785711	65.27518716084616	65.27518716084616	33.82976212785711	0.9960817657423182	33.82976212785711	13	true	5
28	15	15	1	15	27	351	0	0	21.87651741034805	21.87651741034805	63.08499046830572	63.08499046830572	21.87651741034805	0.9957029850637148	21.87651741034805	15	true	7
29	17	17	1	17	27	351	0	0	9.989875991025642	9.989875991025642	65.26052855651093	65.26052855651093	9.989875991025642	0.9952702495229601	9.989875991025642	17	true	7
30	18	18	1	18	27	351	0	0	3.055828083608418	3.055828083608418	65.80105646479893	65.80105646479893	3.055828083608418	0.9950458031451738	3.055828083608418	18	true	3
31	19	18	1	18	27	351	0	0	26.723017069566225	26.723017069566225	66.24541321473187	66.24541321473187	26.723017069566225	0.9948937352410057	26.723017069566225	15	true	9
32	19	17	1	17	27	351	0	0	7.751307433426346	7.751307433426346	63.985243756583436	63.985243756583436	7.751307433426346	0.9948641258654344	7.751307433426346	17	true	3
33	20	19	1	19	27	351	0	0	1.7508574920446538	1.7508574920446538	58.85222302873669	58.85222302873669	1.7508574920446538	0.9934359669837186	1.7508574920446538	19	true	4
34	20	17	1	17	27	351	0	0	-15.702383474294026	-15.702383474294026	53.13442379631021	53.13442379631021	-15.702383474294026	0.9935198602145033	-15.702383474294026	21	true	5
35	20	17	1	17	27	351	0	0	-11.47629155729368	-11.47629155729368	53.740306986839464	53.740306986839464	-11.47629155729368	0.9935198602145033	-11.47629155729368	21	true	3
36	21	19	1	19	27	351	0	0	-16.81650684357885	-16.81650684357885	55.508700648306494	55.508700648306494	-16.81650684357885	0.9929329365920704	-16.81650684357885	20	true	3
37	22	19	1	19	27	351	0	0	-32.064801862321985	-32.064801862321985	54.742518200202554	54.742518200202554	-32.064801862321985	0.9928216638275785	-32.064801862321985	21	true	14
38	22	18	1	18	27	351	0	0	-6.604066732072383	-6.604066732072383	49.79202868591002	49.79202868591002	-6.604066732072383	0.9928585110505114	-6.604066732072383	18	true	4
39	22	17	1	17	27	351	0	0	-25.610999237118435	-25.610999237118435	44.20663971952362	44.20663971952362	-25.610999237118435	0.9927920544520074	-25.610999237118435	20	true	3
40	22	15	1	15	27	351	0	0	-42.298477617855156	-42.298477617855156	31.837259537165053	31.837259537165053	-42.298477617855156	0.9925435550259174	-42.298477617855156	21	false	3
41	22	14	1	14	27	351	0	0	-51.117040744628326	-51.117040744628326	26.415436322774397	26.415436322774397	-51.117040744628326	0.992360525219146	-51.117040744628326	22	false	2
42	23	14	1	14	27	351	0	0	-100.84555697766457	-100.84555697766457	35.94210308498502	35.94210308498502	-100.84555697766457	0.9920293388701649	-100.84555697766457	24	false	2
43	26	17	1	17	27	351	0	0	-95.12196304869286	-95.12196304869286	52.724081048155135	52.724081048155135	-95.12196304869286	0.9917248375139821	-95.12196304869286	24	true	3
44	26	16	1	16	27	351	0	0	-83.49223222124371	-83.49223222124371	50.135773310482314	50.135773310482314	-83.49223222124371	0.9917718835218341	-83.49223222124371	22	true	2
