# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 13
# run: 03a7eeea-a751-4512-a8d1-3a05b5df3a55
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	31	403	0	0	26.808956943389404	26.808956943389404	61.988383344598276	61.988383344598276	26.808956943389404	0.9960817657423182	26.808956943389404	15	true	74
26	15	15	1	15	31	403	0	0	25.822008663464885	25.822008663464885	67.85708269710437	67.85708269710437	25.822008663464885	0.9960817657423182	25.822008663464885	17	true	5
27	15	15	1	15	31	403	0	0	26.631217095128235	26.631217095128235	70.48334531514908	70.48334531514908	26.631217095128235	0.9960817657423182	26.631217095128235	17	true	8
28	15	15	1	15	31	403	0	0	24.122551961318024	24.122551961318024	73.32406982407488	73.32406982407488	24.122551961318024	0.9960817657423182	24.122551961318024	18	true	6
29	15	15	1	15	31	403	0	0	20.76182206487634	20.76182206487634	69.64374247619587	69.64374247619587	20.76182206487634	0.9956704147505866	20.76182206487634	19	true	7
30	17	17	1	17	31	403	0	0	17.471840919480346	17.471840919480346	72.24846527235641	72.24846527235641	17.471840919480346	0.9952702495229601	17.471840919480346	19	true	4
31	17	16	1	16	31	403	0	0	5.667125558031167	5.667125558031167	65.61296358021936	65.61296358021936	5.667125558031167	0.9952902084353822	5.667125558031167	19	true	4
32	19	17	1	17	31	403	0	0	41.484846419384475	41.484846419384475	72.18674948428576	72.18674948428576	41.484846419384475	0.9949407812488577	41.484846419384475	15	true	5
33	19	16	1	16	31	403	0	0	-2.73685867021414	-2.73685867021414	59.07753643258499	59.07753643258499	-2.73685867021414	0.9941868388153325	-2.73685867021414	21	true	5
34	20	17	1	17	31	403	0	0	-28.05625144022906	-28.05625144022906	55.423028849499794	55.423028849499794	-28.05625144022906	0.9935379548329082	-28.05625144022906	25	true	4
35	20	16	1	16	31	403	0	0	-61.745245780932024	-61.745245780932024	46.631068461018906	46.631068461018906	-61.745245780932024	0.9934758848085626	-61.745245780932024	27	false	3
36	21	17	1	17	31	403	0	0	-58.560100631572695	-58.560100631572695	52.14712360446896	52.14712360446896	-58.560100631572695	0.9933304698752019	-58.560100631572695	27	false	3
37	21	16	1	16	31	403	0	0	-12.722145245866443	-12.722145245866443	41.24712653564277	41.24712653564277	-12.722145245866443	0.9931820940042843	-12.722145245866443	19	false	5
38	21	15	1	15	31	403	0	0	-24.35256030567561	-24.35256030567561	36.90022795363273	36.90022795363273	-24.35256030567561	0.9932291400121361	-24.35256030567561	20	false	4
39	22	14	1	14	31	403	0	0	-40.531361333709455	-40.531361333709455	32.28566095332488	32.28566095332488	-40.531361333709455	0.9931831540930394	-40.531361333709455	21	false	16
40	22	13	1	13	31	403	0	0	-46.57147951560814	-46.57147951560814	24.972185178688736	24.972185178688736	-46.57147951560814	0.9931999327391963	-46.57147951560814	22	false	3
41	22	12	1	12	31	403	0	0	-72.82419067037455	-72.82419067037455	9.096723334845166	9.096723334845166	-72.82419067037455	0.9928652371308881	-72.82419067037455	24	false	2
42	22	11	1	11	31	403	0	0	-113.68253330562129	-113.68253330562129	6.251333115837401	6.251333115837401	-113.68253330562129	0.9927603614537107	-113.68253330562129	26	false	2
43	24	12	1	12	31	403	0	0	-76.22498894024737	-76.22498894024737	24.358421231308604	24.358421231308604	-76.22498894024737	0.9924034770911164	-76.22498894024737	24	false	4
44	26	14	1	14	31	403	0	0	-68.73960391192409	-68.73960391192409	49.22593337344605	49.22593337344605	-68.73960391192409	0.9921114043617169	-68.73960391192409	22	false	3
45	26	13	1	13	31	403	0	0	-86.45584986514659	-86.45584986514659	39.47257802005326	39.47257802005326	-86.45584986514659	0.9921824668630876	-86.45584986514659	24	false	3
46	26	12	1	12	31	403	0	0	-29.666511404981946	-29.666511404981946	38.27860095056745	38.27860095056745	-29.666511404981946	0.9921508835291453	-29.666511404981946	21	false	2
47	26	12	1	12	31	403	0	0	-49.35881341274235	-49.35881341274235	33.22537060089782	33.22537060089782	-49.35881341274235	0.9922156951623399	-49.35881341274235	21	false	3
48	26	10	1	10	31	403	0	0	-77.45260625262958	-77.45260625262958	14.142224001774942	14.142224001774942	-77.45260625262958	0.992225235961135	-77.45260625262958	25	false	2
49	26	10	1	10	31	403	0	0	-116.52774009878823	-116.52774009878823	9.680103133030556	9.680103133030556	-116.52774009878823	0.9920840979375791	-116.52774009878823	27	false	3
50	26	10	1	10	31	403	0	0	-64.51454585436053	-64.51454585436053	-5.885483352401389	-5.885483352401389	-64.51454585436053	0.99217903071333	-64.51454585436053	22	false	3
51	26	12	1	12	31	403	0	0	-56.32299127515077	-56.32299127515077	30.12898123266079	30.12898123266079	-56.32299127515077	0.9920721079682119	-56.32299127515077	25	false	2
52	26	11	1	11	31	403	0	0	-45.03329876598126	-45.03329876598126	10.720176118751567	10.720176118751567	-45.03329876598126	0.992172779845154	-45.03329876598126	22	false	2
53	26	9	1	9	31	403	0	0	-66.42308132942141	-66.42308132942141	-16.104773271621255	-16.104773271621255	-66.42308132942141	0.9921877307520781	-66.42308132942141	21	false	2
