# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 24
# run: 1f7ead81-015e-4fdd-b5de-e9a0f0cf8e9f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	31	403	0	0	26.83240993354488	26.83240993354488	61.94690317357495	61.94690317357495	26.83240993354488	0.9960817657423182	26.83240993354488	15	true	35
26	15	15	1	15	31	403	0	0	25.91694392842747	25.91694392842747	67.9595123442807	67.9595123442807	25.91694392842747	0.9960817657423182	25.91694392842747	17	true	5
27	15	15	1	15	31	403	0	0	29.95810412143757	29.95810412143757	70.98890814539521	70.98890814539521	29.95810412143757	0.9960817657423182	29.95810412143757	17	true	10
28	15	15	1	15	31	403	0	0	18.2820125807485	18.2820125807485	72.42995281798542	72.42995281798542	18.2820125807485	0.9960817657423182	18.2820125807485	19	true	6
29	15	15	1	15	31	403	0	0	21.241273767473587	21.241273767473587	69.5451726410884	69.5451726410884	21.241273767473587	0.9956704147505866	21.241273767473587	19	true	8
30	17	17	1	17	31	403	0	0	14.224204562027769	14.224204562027769	73.08315418285117	73.08315418285117	14.224204562027769	0.9952702495229601	14.224204562027769	19	true	9
31	17	16	1	16	31	403	0	0	4.375146174973077	4.375146174973077	67.05750775998686	67.05750775998686	4.375146174973077	0.9952902084353822	4.375146174973077	19	true	4
32	18	16	1	16	31	403	0	0	29.343245538293772	29.343245538293772	69.41815734124822	69.41815734124822	29.343245538293772	0.9951483393161329	29.343245538293772	17	true	4
33	19	16	1	16	31	403	0	0	15.572074213012625	15.572074213012625	67.9665908084032	67.9665908084032	15.572074213012625	0.994556517352556	15.572074213012625	18	true	6
34	19	18	1	18	31	403	0	0	-26.10881894891076	-26.10881894891076	60.50791724050552	60.50791724050552	-26.10881894891076	0.9937934727776518	-26.10881894891076	25	true	4
35	20	17	1	17	31	403	0	0	-26.928080103576576	-26.928080103576576	55.72595677561505	55.72595677561505	-26.928080103576576	0.9935198602145033	-26.928080103576576	25	true	3
36	20	16	1	16	31	403	0	0	-60.79138457404534	-60.79138457404534	47.50849789738251	47.50849789738251	-60.79138457404534	0.9934758848085626	-60.79138457404534	27	false	3
37	21	16	1	16	31	403	0	0	-20.700923481394298	-20.700923481394298	42.63080677132029	42.63080677132029	-20.700923481394298	0.9931709082401796	-20.700923481394298	21	false	4
38	21	16	1	16	31	403	0	0	-21.796538368299444	-21.796538368299444	43.93118221861822	43.93118221861822	-21.796538368299444	0.9931820940042843	-21.796538368299444	22	false	5
39	21	13	1	13	31	403	0	0	-49.36385363620457	-49.36385363620457	21.12924133264234	21.12924133264234	-49.36385363620457	0.993316761830956	-49.36385363620457	23	false	17
40	22	13	1	13	31	403	0	0	-43.13103515871321	-43.13103515871321	25.676346584591204	25.676346584591204	-43.13103515871321	0.9931999327391963	-43.13103515871321	21	false	3
41	22	11	1	11	31	403	0	0	-110.09745533656842	-110.09745533656842	6.261051732797199	6.261051732797199	-110.09745533656842	0.9929931788771833	-110.09745533656842	25	false	2
42	22	10	1	10	31	403	0	0	-117.35614422816322	-117.35614422816322	-3.921552168811287	-3.921552168811287	-117.35614422816322	0.9928074074615627	-117.35614422816322	25	false	2
43	22	10	1	10	31	403	0	0	-120.64758534819467	-120.64758534819467	-4.632365327112529	-4.632365327112529	-120.64758534819467	0.9928074074615627	-120.64758534819467	26	false	3
44	24	13	1	13	31	403	0	0	-114.79794295449457	-114.79794295449457	33.07032523503983	33.07032523503983	-114.79794295449457	0.9923564310832645	-114.79794295449457	26	false	3
45	25	13	1	13	31	403	0	0	-81.8102752635751	-81.8102752635751	32.79645579896837	32.79645579896837	-81.8102752635751	0.9923798627002288	-81.8102752635751	24	false	2
46	26	14	1	14	31	403	0	0	-70.14116175660271	-70.14116175660271	47.78911648012343	47.78911648012343	-70.14116175660271	0.9921114043617169	-70.14116175660271	22	false	3
47	26	12	1	12	31	403	0	0	-72.59052006732206	-72.59052006732206	20.395208479861175	20.395208479861175	-72.59052006732206	0.9922860996775869	-72.59052006732206	25	false	3
48	26	13	1	13	31	403	0	0	-52.239733837576786	-52.239733837576786	29.13221967130892	29.13221967130892	-52.239733837576786	0.9922773996388388	-52.239733837576786	24	false	3
49	26	13	1	13	31	403	0	0	-36.40433489789834	-36.40433489789834	43.214049975185176	43.214049975185176	-36.40433489789834	0.9921421834903972	-36.40433489789834	22	false	3
50	26	12	1	12	31	403	0	0	-59.320345964689594	-59.320345964689594	24.78716500650997	24.78716500650997	-59.320345964689594	0.9920721079682119	-59.320345964689594	25	false	3
51	26	11	1	11	31	403	0	0	-46.8301125071185	-46.8301125071185	6.641189158730928	6.641189158730928	-46.8301125071185	0.992172779845154	-46.8301125071185	23	false	2
52	26	10	1	10	31	403	0	0	-64.22348175489496	-64.22348175489496	-6.661551440009976	-6.661551440009976	-64.22348175489496	0.99217903071333	-64.22348175489496	22	false	2
