# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 11
# run: e53e09d5-97e8-4c61-9347-c096666687fb
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	31	403	0	0	26.81877581478659	26.81877581478659	61.95399442699408	61.95399442699408	26.81877581478659	0.9960817657423182	26.81877581478659	15	true	125
26	15	15	1	15	31	403	0	0	25.90457487680412	25.90457487680412	66.4862365623973	66.4862365623973	25.90457487680412	0.9960817657423182	25.90457487680412	17	true	5
27	15	15	1	15	31	403	0	0	26.852339982315613	26.852339982315613	70.24534551127553	70.24534551127553	26.852339982315613	0.9960817657423182	26.852339982315613	17	true	9
28	15	15	1	15	31	403	0	0	18.42270524743931	18.42270524743931	70.61402639217316	70.61402639217316	18.42270524743931	0.9958718681688247	18.42270524743931	19	true	6
29	16	16	1	16	31	403	0	0	23.607526783978912	23.607526783978912	72.4619280769888	72.4619280769888	23.607526783978912	0.9955312141306174	23.607526783978912	18	true	7
30	17	16	1	16	31	403	0	0	0.8915054978550572	0.8915054978550572	66.94623741089052	66.94623741089052	0.8915054978550572	0.9952902084353822	0.8915054978550572	20	true	9
31	17	16	1	16	31	403	0	0	4.460430395128839	4.460430395128839	68.7471312499555	68.7471312499555	4.460430395128839	0.9952902084353822	4.460430395128839	20	true	4
32	19	17	1	17	31	403	0	0	34.243585516443474	34.243585516443474	70.64443255573106	70.64443255573106	34.243585516443474	0.9948611649278775	34.243585516443474	16	true	4
33	19	17	1	17	31	403	0	0	-29.586469683016	-29.586469683016	56.276551595673666	56.276551595673666	-29.586469683016	0.9938960089486113	-29.586469683016	24	true	5
34	20	17	1	17	31	403	0	0	-28.237809571032912	-28.237809571032912	54.71204990728526	54.71204990728526	-28.237809571032912	0.9935198602145033	-28.237809571032912	25	true	4
