# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 27
# run: eca78342-3709-472e-9d18-80e700994565
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	31	403	0	0	26.80523848435108	26.80523848435108	61.21334904793662	61.21334904793662	26.80523848435108	0.9960817657423182	26.80523848435108	15	true	36
26	15	15	1	15	31	403	0	0	25.96977951490122	25.96977951490122	67.57981538344686	67.57981538344686	25.96977951490122	0.9960817657423182	25.96977951490122	17	true	5
27	15	15	1	15	31	403	0	0	30.060504713663505	30.060504713663505	69.2508411512924	69.2508411512924	30.060504713663505	0.9959128826372083	30.060504713663505	17	true	10
28	18	18	1	18	31	403	0	0	17.45007837389179	17.45007837389179	74.28152766551838	74.28152766551838	17.45007837389179	0.9953460275915513	17.45007837389179	19	true	6
29	19	19	1	19	31	403	0	0	36.28203708881156	36.28203708881156	76.92100816322392	76.92100816322392	36.28203708881156	0.9950738772197893	36.28203708881156	17	true	32
30	20	19	1	19	31	403	0	0	29.743967072499743	29.743967072499743	73.89830752219349	73.89830752219349	29.743967072499743	0.9948198214664318	29.743967072499743	17	true	12
31	21	19	1	19	31	403	0	0	22.24083208739087	22.24083208739087	74.99775964447062	74.99775964447062	22.24083208739087	0.99439629773141	22.24083208739087	18	true	3
32	23	20	1	20	31	403	0	0	20.67594865539816	20.67594865539816	71.22580987075555	71.22580987075555	20.67594865539816	0.993425073657891	20.67594865539816	19	true	4
33	23	20	1	20	31	403	0	0	23.49728519590237	23.49728519590237	65.68785626765306	65.68785626765306	23.49728519590237	0.9928955044925831	23.49728519590237	19	true	8
34	23	19	1	19	31	403	0	0	18.585154624620156	18.585154624620156	60.86674497716638	60.86674497716638	18.585154624620156	0.9929711728968205	18.585154624620156	19	true	4
