# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 18
# run: 22875708-01ab-4fa8-84bc-0b57e53d0d3b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	13	13	1	13	40	520	0	0	9.301286666074205	9.301286666074205	54.66713287270768	54.66713287270768	9.301286666074205	0.9974818871042032	9.301286666074205	24	false	131
26	15	15	1	15	40	520	0	0	1.4249377100958398	1.4249377100958398	76.8035988624316	76.8035988624316	1.4249377100958398	0.9966306358339244	1.4249377100958398	26	false	11
27	15	15	1	15	40	520	0	0	5.650062121095502	5.650062121095502	78.13842918070242	78.13842918070242	5.650062121095502	0.9964291824156865	5.650062121095502	26	false	8
28	15	15	1	15	40	520	0	0	-7.950012327050089	-7.950012327050089	75.5463666892197	75.5463666892197	-7.950012327050089	0.9960817657423182	-7.950012327050089	28	false	96
29	15	15	1	15	40	520	0	0	-6.28838909824745	-6.28838909824745	78.7909821392355	78.7909821392355	-6.28838909824745	0.9960817657423182	-6.28838909824745	28	false	37
30	15	15	1	15	40	520	0	0	-7.900696320682423	-7.900696320682423	81.6417398551545	81.6417398551545	-7.900696320682423	0.9960817657423182	-7.900696320682423	28	false	6
31	15	15	1	15	40	520	0	0	-8.860312458493036	-8.860312458493036	82.47152435594111	82.47152435594111	-8.860312458493036	0.9960817657423182	-8.860312458493036	28	false	8
32	15	13	1	13	40	520	0	0	-4.9720748548316855	-4.9720748548316855	62.14161897193148	62.14161897193148	-4.9720748548316855	0.9959859190969507	-4.9720748548316855	25	false	4
33	15	14	1	14	40	520	0	0	1.234655929818734	1.234655929818734	70.49231697638595	70.49231697638595	1.234655929818734	0.9957533210021858	1.234655929818734	26	false	6
34	16	14	1	14	40	520	0	0	8.453368274233492	8.453368274233492	65.2789958004096	65.2789958004096	8.453368274233492	0.995580526535118	8.453368274233492	24	false	12
