# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 29
# run: 324c731b-9fdc-4ef6-b92b-fe6c788b0176
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	40	520	0	0	2.9618666232797892	2.9618666232797892	64.32737588182414	64.32737588182414	2.9618666232797892	0.9960817657423182	2.9618666232797892	24	false	189
26	15	15	1	15	40	520	0	0	5.339208402513364	5.339208402513364	72.33997558062423	72.33997558062423	5.339208402513364	0.9960817657423182	5.339208402513364	26	false	13
27	15	15	1	15	40	520	0	0	10.056533968241538	10.056533968241538	73.53409423768376	73.53409423768376	10.056533968241538	0.9959128826372083	10.056533968241538	26	false	16
28	15	15	1	15	40	520	0	0	-8.011224784937	-8.011224784937	70.82798581947601	70.82798581947601	-8.011224784937	0.9956704147505866	-8.011224784937	28	false	25
29	17	17	1	17	40	520	0	0	-18.232237400532338	-18.232237400532338	81.22003968407947	81.22003968407947	-18.232237400532338	0.9953534847676211	-18.232237400532338	29	false	13
30	18	17	1	17	40	520	0	0	-13.060631400782608	-13.060631400782608	78.10650900471687	78.10650900471687	-13.060631400782608	0.995101293308281	-13.060631400782608	28	false	6
31	20	18	1	18	40	520	0	0	14.332429492711007	14.332429492711007	80.84677688634775	80.84677688634775	14.332429492711007	0.9948566686893648	14.332429492711007	26	false	20
32	20	17	1	17	40	520	0	0	-21.898713050607512	-21.898713050607512	72.34196583500191	72.34196583500191	-21.898713050607512	0.9945220827454105	-21.898713050607512	28	false	6
33	21	16	1	16	40	520	0	0	-121.1671864727505	-121.1671864727505	43.29632687908058	43.29632687908058	-121.1671864727505	0.9935693188381427	-121.1671864727505	36	false	25
34	21	16	1	16	40	520	0	0	-129.96976983650288	-129.96976983650288	37.48509361619589	37.48509361619589	-129.96976983650288	0.9932858364831373	-129.96976983650288	34	false	7
35	23	20	1	20	40	520	0	0	-18.266732367190517	-18.266732367190517	66.99916848561713	66.99916848561713	-18.266732367190517	0.9929856851463287	-18.266732367190517	30	false	17
36	24	20	1	20	40	520	0	0	-1.1338075411366049	-1.1338075411366049	66.86398723303395	66.86398723303395	-1.1338075411366049	0.9927272428188126	-1.1338075411366049	27	false	8
37	24	17	1	17	40	520	0	0	-19.346811746259704	-19.346811746259704	47.90437512256615	47.90437512256615	-19.346811746259704	0.9928571950782638	-19.346811746259704	28	false	6
38	24	16	1	16	40	520	0	0	-18.64151753477826	-18.64151753477826	41.27305552276091	41.27305552276091	-18.64151753477826	0.9929042410861157	-18.64151753477826	27	false	19
39	24	14	1	14	40	520	0	0	-48.617832516430965	-48.617832516430965	15.774280376624677	15.774280376624677	-48.617832516430965	0.9925229746821562	-48.617832516430965	29	false	6
40	24	12	1	12	40	520	0	0	-113.03033260086278	-113.03033260086278	-13.870304288028986	-13.870304288028986	-113.03033260086278	0.9923586974799131	-113.03033260086278	33	false	4
41	25	12	1	12	40	520	0	0	-190.46654659317022	-190.46654659317022	10.611999498907206	10.611999498907206	-190.46654659317022	0.9921084068693753	-190.46654659317022	35	false	4
42	27	13	1	13	40	520	0	0	-160.73834567299335	-160.73834567299335	31.104623416318958	31.104623416318958	-160.73834567299335	0.9918745659119322	-160.73834567299335	33	false	5
43	28	14	1	14	40	520	0	0	-172.7530471331793	-172.7530471331793	43.218753337573375	43.218753337573375	-172.7530471331793	0.9918509515210445	-172.7530471331793	34	false	5
44	28	14	1	14	40	520	0	0	-171.23592367001214	-171.23592367001214	44.050989464362786	44.050989464362786	-171.23592367001214	0.9918509515210445	-171.23592367001214	34	false	4
45	28	14	1	14	40	520	0	0	-77.95758760197496	-77.95758760197496	40.397290175435614	40.397290175435614	-77.95758760197496	0.9918754797815484	-77.95758760197496	30	false	5
46	28	14	1	14	40	520	0	0	-66.11364083587976	-66.11364083587976	45.84765683765832	45.84765683765832	-66.11364083587976	0.9918754797815484	-66.11364083587976	30	false	5
47	29	14	1	14	40	520	0	0	-111.3778237276024	-111.3778237276024	34.33103534573807	34.33103534573807	-111.3778237276024	0.9917382896747357	-111.3778237276024	31	false	5
48	29	12	1	12	40	520	0	0	-121.98653717637546	-121.98653717637546	14.838622545695507	14.838622545695507	-121.98653717637546	0.9917593452306974	-121.98653717637546	34	false	4
49	29	10	1	10	40	520	0	0	-104.11374134796874	-104.11374134796874	-31.720429871730058	-31.720429871730058	-104.11374134796874	0.9918692289133724	-104.11374134796874	31	false	4
50	29	10	1	10	40	520	0	0	-96.90458332985449	-96.90458332985449	-28.053294161995346	-28.053294161995346	-96.90458332985449	0.9918692289133724	-96.90458332985449	30	false	4
51	29	9	1	9	40	520	0	0	-107.06834063014013	-107.06834063014013	-44.26138214071023	-44.26138214071023	-107.06834063014013	0.9918779289521205	-107.06834063014013	32	false	3
52	29	11	1	11	40	520	0	0	-144.2382098081997	-144.2382098081997	7.057286604827048	7.057286604827048	-144.2382098081997	0.9918035765201307	-144.2382098081997	34	false	3
53	29	9	1	9	40	520	0	0	-76.50926232862666	-76.50926232862666	-43.384653092449206	-43.384653092449206	-76.50926232862666	0.9918779289521205	-76.50926232862666	30	false	9
54	29	9	1	9	40	520	0	0	-72.46804508808512	-72.46804508808512	-39.829289869887305	-39.829289869887305	-72.46804508808512	0.9918779289521205	-72.46804508808512	30	false	3
55	29	7	1	7	40	520	0	0	-91.86509636716627	-91.86509636716627	-67.95163000316737	-67.95163000316737	-91.86509636716627	0.992066697860083	-91.86509636716627	30	false	2
56	29	7	1	7	40	520	0	0	-94.89689589768959	-94.89689589768959	-66.54543299486608	-66.54543299486608	-94.89689589768959	0.992066697860083	-94.89689589768959	31	false	3
57	29	5	1	5	40	520	0	0	-116.48899883090442	-116.48899883090442	-100.59449470351396	-100.59449470351396	-116.48899883090442	0.992488905622857	-116.48899883090442	33	false	2
58	29	4	1	4	40	520	0	0	-156.09631543822223	-156.09631543822223	-128.05283167512763	-128.05283167512763	-156.09631543822223	0.9927749468127883	-156.09631543822223	35	false	2
59	29	2	1	2	40	520	0	0	-234.6979120609172	-234.6979120609172	-218.3380246085373	-218.3380246085373	-234.6979120609172	0.9929696010410802	-234.6979120609172	37	false	1
60	29	1	1	1	40	520	0	0	-366.3370492573409	-366.3370492573409	-366.3370492573409	-366.3370492573409	-366.3370492573409	0.9931560304428246	-366.3370492573409	39	false	0
