# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 6
# run: 77d4aacc-c644-483b-b07a-f5b4bf7ee1d2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	40	520	0	0	4.947947221040849	4.947947221040849	63.04425015537805	63.04425015537805	4.947947221040849	0.9960817657423182	4.947947221040849	24	false	150
26	15	15	1	15	40	520	0	0	4.729702914930286	4.729702914930286	69.40130800407603	69.40130800407603	4.729702914930286	0.9960817657423182	4.729702914930286	26	false	22
27	15	15	1	15	40	520	0	0	10.002329976350424	10.002329976350424	68.42535030239426	68.42535030239426	10.002329976350424	0.9958392978556962	10.002329976350424	26	false	6
28	17	17	1	17	40	520	0	0	-20.998343482709046	-20.998343482709046	73.4236860205167	73.4236860205167	-20.998343482709046	0.9952533612124491	-20.998343482709046	28	false	28
29	20	20	1	20	40	520	0	0	21.268909543133574	21.268909543133574	90.73418892250191	90.73418892250191	21.268909543133574	0.9948494308420032	21.268909543133574	24	true	13
30	20	19	1	19	40	520	0	0	-3.4670786910681386	-3.4670786910681386	88.39119507955897	88.39119507955897	-3.4670786910681386	0.994899437787412	-3.4670786910681386	28	true	6
31	21	18	1	18	40	520	0	0	-46.050273492964735	-46.050273492964735	73.84313480594082	73.84313480594082	-46.050273492964735	0.9941464823330726	-46.050273492964735	32	false	9
32	22	20	1	20	40	520	0	0	1.4528607145618437	1.4528607145618437	72.86889813567288	72.86889813567288	1.4528607145618437	0.9931750754856304	1.4528607145618437	28	false	14
33	23	20	1	20	40	520	0	0	-5.500885661537012	-5.500885661537012	74.49117561724911	74.49117561724911	-5.500885661537012	0.9929944217398614	-5.500885661537012	30	false	31
34	24	19	1	19	40	520	0	0	21.143172709571594	21.143172709571594	65.071697963675	65.071697963675	21.143172709571594	0.9929615224336713	21.143172709571594	24	false	18
35	25	20	1	20	40	520	0	0	-12.921066339612318	-12.921066339612318	68.56823640509644	68.56823640509644	-12.921066339612318	0.9925071099056156	-12.921066339612318	30	false	7
36	26	21	1	21	40	520	0	0	-15.640870935060619	-15.640870935060619	68.99108704402978	68.99108704402978	-15.640870935060619	0.9923506919820737	-15.640870935060619	28	false	8
