# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 5
# run: 94f439dc-2566-4663-a47b-3c80d015adb6
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	40	520	0	0	4.9900831008914395	4.9900831008914395	64.21571643553253	64.21571643553253	4.9900831008914395	0.9964291824156865	4.9900831008914395	24	false	124
26	15	15	1	15	40	520	0	0	4.696340656444704	4.696340656444704	74.32512122410918	74.32512122410918	4.696340656444704	0.9964291824156865	4.696340656444704	26	false	37
27	15	15	1	15	40	520	0	0	9.90191077041331	9.90191077041331	75.6554656483284	75.6554656483284	9.90191077041331	0.9960817657423182	9.90191077041331	26	false	61
28	15	15	1	15	40	520	0	0	5.156802436950898	5.156802436950898	79.06980672697865	79.06980672697865	5.156802436950898	0.9960817657423182	5.156802436950898	26	false	8
29	15	15	1	15	40	520	0	0	-6.876014697356766	-6.876014697356766	80.85660219113848	80.85660219113848	-6.876014697356766	0.9960817657423182	-6.876014697356766	28	false	10
30	15	15	1	15	40	520	0	0	-11.304321406273639	-11.304321406273639	76.8728482021408	76.8728482021408	-11.304321406273639	0.9957029850637148	-11.304321406273639	28	false	5
31	17	17	1	17	40	520	0	0	-22.516913874217146	-22.516913874217146	82.83585270193015	82.83585270193015	-22.516913874217146	0.9952702495229601	-22.516913874217146	28	false	7
32	17	14	1	14	40	520	0	0	-15.94591514555217	-15.94591514555217	59.321692861092274	59.321692861092274	-15.94591514555217	0.9953875903817052	-15.94591514555217	26	false	12
33	17	14	1	14	40	520	0	0	-7.870853733838171	-7.870853733838171	63.10113921445074	63.10113921445074	-7.870853733838171	0.9953875903817052	-7.870853733838171	26	false	17
34	17	13	1	13	40	520	0	0	-21.72910231786618	-21.72910231786618	43.51765165237893	43.51765165237893	-21.72910231786618	0.9950704410700317	-21.72910231786618	26	false	18
35	17	12	1	12	40	520	0	0	-63.74337963600305	-63.74337963600305	6.3850257854526475	6.3850257854526475	-63.74337963600305	0.9943284520510889	-63.74337963600305	29	false	4
36	17	12	1	12	40	520	0	0	-123.87563541664022	-123.87563541664022	17.837036929614676	17.837036929614676	-123.87563541664022	0.9943342642618492	-123.87563541664022	36	false	3
