# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 27
# run: a308d2a6-828b-49e9-a389-f154f2c34b90
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	40	520	0	0	4.949129703157865	4.949129703157865	64.8295705917357	64.8295705917357	4.949129703157865	0.9960817657423182	4.949129703157865	24	false	143
26	15	15	1	15	40	520	0	0	4.889831304003408	4.889831304003408	70.9247041394703	70.9247041394703	4.889831304003408	0.9960817657423182	4.889831304003408	26	false	23
27	15	15	1	15	40	520	0	0	1.7918188763557765	1.7918188763557765	73.06698707454771	73.06698707454771	1.7918188763557765	0.9959128826372083	1.7918188763557765	26	false	6
28	18	18	1	18	40	520	0	0	-11.892760795213267	-11.892760795213267	83.41234099817336	83.41234099817336	-11.892760795213267	0.9953460275915513	-11.892760795213267	28	false	36
29	19	19	1	19	40	520	0	0	14.40406020513082	14.40406020513082	89.78273004757466	89.78273004757466	14.40406020513082	0.9950738772197893	14.40406020513082	26	true	6
30	20	19	1	19	40	520	0	0	3.9169136435181997	3.9169136435181997	85.915259496175	85.915259496175	3.9169136435181997	0.9948198214664318	3.9169136435181997	27	true	6
31	20	19	1	19	40	520	0	0	3.824131108004579	3.824131108004579	86.48440622993297	86.48440622993297	3.824131108004579	0.9944651669457015	3.824131108004579	28	false	19
32	22	20	1	20	40	520	0	0	-0.9075748846911473	-0.9075748846911473	79.80355458287318	79.80355458287318	-0.9075748846911473	0.9936406006682215	-0.9075748846911473	29	false	12
33	22	20	1	20	40	520	0	0	-8.14832919449302	-8.14832919449302	71.71875114536321	71.71875114536321	-8.14832919449302	0.9931110315029135	-8.14832919449302	29	false	17
34	23	21	1	21	40	520	0	0	9.760952459285742	9.760952459285742	77.3330837065202	77.3330837065202	9.760952459285742	0.9931154546318567	9.760952459285742	28	false	19
35	24	21	1	21	40	520	0	0	17.66550982328456	17.66550982328456	74.65951604560199	74.65951604560199	17.66550982328456	0.9927969893479358	17.66550982328456	25	false	7
36	26	21	1	21	40	520	0	0	-37.31868739961916	-37.31868739961916	71.63033717202077	71.63033717202077	-37.31868739961916	0.9925920266703707	-37.31868739961916	32	false	6
37	26	21	1	21	40	520	0	0	-53.80759947029672	-53.80759947029672	71.57978289061872	71.57978289061872	-53.80759947029672	0.9925456386486428	-53.80759947029672	32	false	7
38	27	22	1	22	40	520	0	0	-24.895397592657552	-24.895397592657552	73.0721585249961	73.0721585249961	-24.895397592657552	0.9916917554338689	-24.895397592657552	29	false	19
39	28	22	1	22	40	520	0	0	-44.82485944890484	-44.82485944890484	73.10376124231357	73.10376124231357	-44.82485944890484	0.9914970646507923	-44.82485944890484	32	false	7
40	29	22	1	22	40	520	0	0	-82.47647988007428	-82.47647988007428	71.95244957169072	71.95244957169072	-82.47647988007428	0.9909699081012713	-82.47647988007428	32	true	11
41	31	23	1	23	40	520	0	0	-61.671567811308286	-61.671567811308286	79.5122343793027	79.5122343793027	-61.671567811308286	0.9907077737405049	-61.671567811308286	30	true	7
42	33	26	1	26	40	520	0	0	-81.64882136893739	-81.64882136893739	97.80966224175711	97.80966224175711	-81.64882136893739	0.9900164862078799	-81.64882136893739	32	true	16
43	33	25	1	25	40	520	0	0	-47.051253055190905	-47.051253055190905	94.65152822224319	94.65152822224319	-47.051253055190905	0.9900714280492176	-47.051253055190905	30	true	13
44	34	26	1	26	40	520	0	0	-84.64149265452957	-84.64149265452957	97.57317706522856	97.57317706522856	-84.64149265452957	0.9900358967985318	-84.64149265452957	31	true	7
45	34	26	1	26	40	520	0	0	-83.00263067226567	-83.00263067226567	97.44919396972665	97.44919396972665	-83.00263067226567	0.9898223803013578	-83.00263067226567	31	true	7
46	35	27	1	27	40	520	0	0	-78.80166586455266	-78.80166586455266	102.33795758570243	102.33795758570243	-78.80166586455266	0.9897552657167299	-78.80166586455266	31	true	21
47	37	29	1	29	40	520	0	0	-66.40046148469627	-66.40046148469627	107.86841586187467	107.86841586187467	-66.40046148469627	0.989290983396817	-66.40046148469627	31	true	8
48	38	29	1	29	40	520	0	0	-57.4790651686923	-57.4790651686923	110.19607298586352	110.19607298586352	-57.4790651686923	0.9890606882534857	-57.4790651686923	29	true	8
49	39	30	1	30	40	520	0	0	-57.29623381689548	-57.29623381689548	111.13915380196484	111.13915380196484	-57.29623381689548	0.9886358119914316	-57.29623381689548	30	true	14
50	40	30	1	30	40	520	0	0	-43.87747837349964	-43.87747837349964	106.91215741560472	106.91215741560472	-43.87747837349964	0.9878353718718242	-43.87747837349964	25	true	8
51	40	29	1	29	40	520	0	0	-58.50811269436429	-58.50811269436429	106.21452600168672	106.21452600168672	-58.50811269436429	0.9879074213523805	-58.50811269436429	27	true	18
52	41	29	1	29	40	520	0	0	-82.90467015950881	-82.90467015950881	91.84084244692534	91.84084244692534	-82.90467015950881	0.9873227641265965	-82.90467015950881	28	true	15
53	41	30	1	30	40	520	0	0	-42.1303404678527	-42.1303404678527	97.05930044889412	97.05930044889412	-42.1303404678527	0.9869901521410137	-42.1303404678527	24	true	8
54	41	28	1	28	40	520	0	0	-157.62103242565277	-157.62103242565277	77.18165397219134	77.18165397219134	-157.62103242565277	0.9862657825282752	-157.62103242565277	33	true	9
55	44	30	1	30	40	520	0	0	26.27615664958452	26.27615664958452	111.38154117563249	111.38154117563249	26.27615664958452	0.9832009197183821	26.27615664958452	18	true	17
56	45	32	1	32	40	520	0	0	38.68189357665838	38.68189357665838	124.74809681662126	124.74809681662126	38.68189357665838	0.9830723199859629	38.68189357665838	18	true	8
57	46	33	1	33	40	520	0	0	38.93824514657962	38.93824514657962	125.12786122482414	125.12786122482414	38.93824514657962	0.9829579766195595	38.93824514657962	18	true	18
58	46	34	1	34	40	520	0	0	39.25028703822275	39.25028703822275	125.44291268901776	125.44291268901776	39.25028703822275	0.9828697333694005	39.25028703822275	18	true	7
59	47	35	1	35	40	520	0	0	54.70697204605837	54.70697204605837	125.25609261555898	125.25609261555898	54.70697204605837	0.9818487947887495	54.70697204605837	14	true	15
60	47	34	1	34	40	520	0	0	57.17645906297467	57.17645906297467	127.30556146219938	127.30556146219938	57.17645906297467	0.981704037841513	57.17645906297467	14	true	8
61	48	35	1	35	40	520	0	0	57.353584067536744	57.353584067536744	127.38845853484389	127.38845853484389	57.353584067536744	0.9812906032270562	57.353584067536744	14	true	8
62	50	37	1	37	40	520	0	0	57.39034180800216	57.39034180800216	127.5713636452359	127.5713636452359	57.39034180800216	0.9805126808547969	57.39034180800216	14	true	21
63	50	36	1	36	40	520	0	0	15.942733994048652	15.942733994048652	124.73703852197708	124.73703852197708	15.942733994048652	0.9803499389535096	15.942733994048652	18	true	17
64	51	37	1	37	40	520	0	0	17.476984120520612	17.476984120520612	126.15566403782987	126.15566403782987	17.476984120520612	0.9801995525694357	17.476984120520612	18	true	19
65	53	39	1	39	40	520	0	0	17.4972717526541	17.4972717526541	126.18934264812022	126.18934264812022	17.4972717526541	0.9794513492371014	17.4972717526541	18	true	10
66	54	39	1	39	40	520	0	0	16.984761254770987	16.984761254770987	125.6622254920169	125.6622254920169	16.984761254770987	0.9784762869111936	16.984761254770987	18	true	19
67	54	39	1	39	40	520	0	0	17.587389460015103	17.587389460015103	126.26670935920485	126.26670935920485	17.587389460015103	0.9783484182744677	17.587389460015103	18	true	8
68	54	38	1	38	40	520	0	0	17.579773232078296	17.579773232078296	126.28735200475607	126.28735200475607	17.579773232078296	0.9782325030523245	17.579773232078296	18	true	23
69	55	38	1	38	40	520	0	0	17.580921348038785	17.580921348038785	126.16069816227828	126.16069816227828	17.580921348038785	0.9779882074264697	17.580921348038785	18	true	35
70	57	38	1	38	40	520	0	0	-49.457206229044985	-49.457206229044985	107.96540925374008	107.96540925374008	-49.457206229044985	0.9781147235361635	-49.457206229044985	30	true	18
71	57	37	1	37	40	520	0	0	-0.6018330768498892	-0.6018330768498892	107.37953629728267	107.37953629728267	-0.6018330768498892	0.9778609602210833	-0.6018330768498892	26	true	20
72	58	33	1	33	40	520	0	0	-156.23093391710375	-156.23093391710375	95.62796824322058	95.62796824322058	-156.23093391710375	0.9779218239375351	-156.23093391710375	34	true	21
73	58	31	1	31	40	520	0	0	-159.67010219186625	-159.67010219186625	75.30134474207759	75.30134474207759	-159.67010219186625	0.9774685811625884	-159.67010219186625	34	true	8
74	59	33	1	33	40	520	0	0	-147.27200608338975	-147.27200608338975	85.5413342862755	85.5413342862755	-147.27200608338975	0.9772547722271369	-147.27200608338975	34	true	9
75	59	33	1	33	40	520	0	0	-105.42003704476893	-105.42003704476893	77.90673929056284	77.90673929056284	-105.42003704476893	0.9768771978564273	-105.42003704476893	33	true	9
76	59	32	1	32	40	520	0	0	-134.06619014361362	-134.06619014361362	68.22994322053864	68.22994322053864	-134.06619014361362	0.9762859973241897	-134.06619014361362	32	true	20
77	59	32	1	32	40	520	0	0	-148.26635209070602	-148.26635209070602	67.15276534670119	67.15276534670119	-148.26635209070602	0.9762329197768695	-148.26635209070602	33	true	18
78	59	32	1	32	40	520	0	0	-108.37003023528545	-108.37003023528545	66.90233134307955	66.90233134307955	-108.37003023528545	0.9763558900724516	-108.37003023528545	34	true	20
79	59	31	1	31	40	520	0	0	-190.93321778962394	-190.93321778962394	60.95005672090282	60.95005672090282	-190.93321778962394	0.9763369181392152	-190.93321778962394	37	true	18
80	59	31	1	31	40	520	0	0	-158.39361329166758	-158.39361329166758	64.90664352469496	64.90664352469496	-158.39361329166758	0.9762753964366395	-158.39361329166758	34	true	8
81	59	31	1	31	40	520	0	0	-118.41878676418534	-118.41878676418534	58.78119196164646	58.78119196164646	-118.41878676418534	0.9762509412857048	-118.41878676418534	36	true	9
82	59	30	1	30	40	520	0	0	-163.21219130944502	-163.21219130944502	53.50572484062489	53.50572484062489	-163.21219130944502	0.9761733720326652	-163.21219130944502	33	true	9
83	59	28	1	28	40	520	0	0	-208.52132598123234	-208.52132598123234	46.15604954337512	46.15604954337512	-208.52132598123234	0.9763629085911054	-208.52132598123234	38	false	11
84	59	27	1	27	40	520	0	0	-195.4937517365674	-195.4937517365674	42.02877094760647	42.02877094760647	-195.4937517365674	0.9759539702151614	-195.4937517365674	38	false	8
85	59	27	1	27	40	520	0	0	-65.98288347383401	-65.98288347383401	36.987941589278506	36.987941589278506	-65.98288347383401	0.9759097754805125	-65.98288347383401	28	false	21
86	59	28	1	28	40	520	0	0	-207.82206910380356	-207.82206910380356	48.92938125143223	48.92938125143223	-207.82206910380356	0.9758432092176544	-207.82206910380356	38	true	10
87	59	28	1	28	40	520	0	0	-195.73963218092547	-195.73963218092547	46.41537344977805	46.41537344977805	-195.73963218092547	0.9758202893676753	-195.73963218092547	38	false	22
88	59	28	1	28	40	520	0	0	-195.00284519559582	-195.00284519559582	46.36376628919997	46.36376628919997	-195.00284519559582	0.9758202893676753	-195.00284519559582	38	false	8
89	59	26	1	26	40	520	0	0	-174.25173915349288	-174.25173915349288	34.27240290012451	34.27240290012451	-174.25173915349288	0.9758607555142892	-174.25173915349288	35	false	10
90	59	23	1	23	40	520	0	0	-176.22112215047298	-176.22112215047298	28.810432220016303	28.810432220016303	-176.22112215047298	0.9759667643897909	-176.22112215047298	34	false	7
91	59	22	1	22	40	520	0	0	-122.17410560474386	-122.17410560474386	24.92979460990164	24.92979460990164	-122.17410560474386	0.976254633318955	-122.17410560474386	32	false	7
