# solver: D-CCF
# max_time: 300000
# main_solver: D-CCF
# random.seed: 19
# run: d365c29c-b40e-4162-bffb-a895cdc188fe
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	40	520	0	0	4.9561602839552705	4.9561602839552705	60.98938330948657	60.98938330948657	4.9561602839552705	0.9960817657423182	4.9561602839552705	24	false	152
26	15	15	1	15	40	520	0	0	4.687171926420007	4.687171926420007	72.23767520414945	72.23767520414945	4.687171926420007	0.9960817657423182	4.687171926420007	26	false	25
27	15	15	1	15	40	520	0	0	5.849358033253409	5.849358033253409	75.67948918232076	75.67948918232076	5.849358033253409	0.9960817657423182	5.849358033253409	26	false	6
28	15	15	1	15	40	520	0	0	5.846459588261155	5.846459588261155	72.09269097174901	72.09269097174901	5.846459588261155	0.9956704147505866	5.846459588261155	26	false	19
29	17	17	1	17	40	520	0	0	-23.061911344048095	-23.061911344048095	79.23412440094046	79.23412440094046	-23.061911344048095	0.9952702495229601	-23.061911344048095	30	false	25
30	20	20	1	20	40	520	0	0	11.297790393907476	11.297790393907476	91.05902666390921	91.05902666390921	11.297790393907476	0.9948494308420032	11.297790393907476	25	true	7
31	20	18	1	18	40	520	0	0	10.141240188160651	10.141240188160651	83.41187979254185	83.41187979254185	10.141240188160651	0.994936285010345	10.141240188160651	26	false	19
32	21	18	1	18	40	520	0	0	-31.13010515685132	-31.13010515685132	72.57695787966611	72.57695787966611	-31.13010515685132	0.9939064270622381	-31.13010515685132	30	false	17
33	21	19	1	19	40	520	0	0	-45.219441073458974	-45.219441073458974	68.12864121614933	68.12864121614933	-45.219441073458974	0.9934304837660202	-45.219441073458974	32	false	35
34	22	19	1	19	40	520	0	0	-43.01048470153656	-43.01048470153656	66.57775085417477	66.57775085417477	-43.01048470153656	0.9932975705690119	-43.01048470153656	32	false	11
35	23	20	1	20	40	520	0	0	-15.772564453457903	-15.772564453457903	71.84719841167762	71.84719841167762	-15.772564453457903	0.9930258222998809	-15.772564453457903	30	false	6
36	24	19	1	19	40	520	0	0	3.008156868394032	3.008156868394032	61.56653829485664	61.56653829485664	3.008156868394032	0.9927821846601501	3.008156868394032	27	false	7
37	25	19	1	19	40	520	0	0	-93.54039187304602	-93.54039187304602	62.458508464835816	62.458508464835816	-93.54039187304602	0.9926224768059893	-93.54039187304602	34	false	6
38	25	18	1	18	40	520	0	0	-98.62889362597066	-98.62889362597066	53.18816574953853	53.18816574953853	-98.62889362597066	0.9926412294105177	-98.62889362597066	33	false	18
39	26	19	1	19	40	520	0	0	-38.78968487936633	-38.78968487936633	57.814484336376566	57.814484336376566	-38.78968487936633	0.9922400406489207	-38.78968487936633	31	false	7
40	27	20	1	20	40	520	0	0	-42.506054568165304	-42.506054568165304	64.89726109159301	64.89726109159301	-42.506054568165304	0.9916024520949547	-42.506054568165304	31	false	7
41	27	20	1	20	40	520	0	0	-38.81596978033341	-38.81596978033341	64.22377225977897	64.22377225977897	-38.81596978033341	0.9915192168502934	-38.81596978033341	31	false	7
42	31	25	1	25	40	520	0	0	-28.318902195950294	-28.318902195950294	88.8807571794053	88.8807571794053	-28.318902195950294	0.9906774332692404	-28.318902195950294	29	true	18
43	31	25	1	25	40	520	0	0	-24.139074357895318	-24.139074357895318	91.13821005770079	91.13821005770079	-24.139074357895318	0.9906774332692404	-24.139074357895318	29	true	15
44	32	27	1	27	40	520	0	0	-55.45108180369449	-55.45108180369449	100.55323590700928	100.55323590700928	-55.45108180369449	0.9906219431061333	-55.45108180369449	32	true	8
45	32	27	1	27	40	520	0	0	-23.030044593095823	-23.030044593095823	98.29587915952436	98.29587915952436	-23.030044593095823	0.9903915382984478	-23.030044593095823	30	true	8
46	33	28	1	28	40	520	0	0	-18.297087785520176	-18.297087785520176	102.48741390799364	102.48741390799364	-18.297087785520176	0.9903244237138199	-18.297087785520176	30	true	8
47	35	30	1	30	40	520	0	0	-9.35629288217519	-9.35629288217519	109.59239940515803	109.59239940515803	-9.35629288217519	0.9893194961288484	-9.35629288217519	28	true	32
48	36	30	1	30	40	520	0	0	-47.232994412724196	-47.232994412724196	108.08483884864057	108.08483884864057	-47.232994412724196	0.989274095086306	-47.232994412724196	32	true	8
49	39	31	1	31	40	520	0	0	-102.90588460247906	-102.90588460247906	105.36710997950837	105.36710997950837	-102.90588460247906	0.9885467279812257	-102.90588460247906	33	true	11
50	39	31	1	31	40	520	0	0	-26.75037505480868	-26.75037505480868	102.57147241715491	102.57147241715491	-26.75037505480868	0.9883741162880809	-26.75037505480868	27	true	8
51	39	30	1	30	40	520	0	0	-59.85831916014929	-59.85831916014929	101.5240687198761	101.5240687198761	-59.85831916014929	0.988410963511014	-59.85831916014929	30	true	19
52	39	29	1	29	40	520	0	0	-54.28602132549031	-54.28602132549031	88.2779492853186	88.2779492853186	-54.28602132549031	0.988062450194106	-54.28602132549031	30	true	19
53	39	28	1	28	40	520	0	0	-51.17991895303254	-51.17991895303254	86.31703830469607	86.31703830469607	-51.17991895303254	0.9880792288402631	-51.17991895303254	29	true	8
54	40	30	1	30	40	520	0	0	-50.052623232154005	-50.052623232154005	90.9171414837533	90.9171414837533	-50.052623232154005	0.9875160658278562	-50.052623232154005	29	true	9
55	41	30	1	30	40	520	0	0	-95.00188858105791	-95.00188858105791	89.71068379650528	89.71068379650528	-95.00188858105791	0.9862908956653335	-95.00188858105791	30	true	8
56	43	31	1	31	40	520	0	0	-165.95396903167733	-165.95396903167733	89.69882658842755	89.69882658842755	-165.95396903167733	0.986044699190677	-165.95396903167733	34	true	16
57	43	31	1	31	40	520	0	0	-133.82203249284402	-133.82203249284402	93.16359040248697	93.16359040248697	-133.82203249284402	0.986044699190677	-133.82203249284402	32	true	19
58	43	32	1	32	40	520	0	0	-29.019752914899783	-29.019752914899783	95.35580911734513	95.35580911734513	-29.019752914899783	0.985956455940518	-29.019752914899783	26	true	9
59	43	32	1	32	40	520	0	0	-45.69501665270687	-45.69501665270687	91.68206574131455	91.68206574131455	-45.69501665270687	0.9852556641638824	-45.69501665270687	27	true	8
60	43	32	1	32	40	520	0	0	-17.12426079979108	-17.12426079979108	87.2903574397553	87.2903574397553	-17.12426079979108	0.9847846557635928	-17.12426079979108	24	true	9
61	43	31	1	31	40	520	0	0	-24.803113866704763	-24.803113866704763	83.67251962997345	83.67251962997345	-24.803113866704763	0.9846517060118	-24.803113866704763	26	true	9
62	47	34	1	34	40	520	0	0	53.16623271215141	53.16623271215141	116.65469118553008	116.65469118553008	53.16623271215141	0.9819516965075556	53.16623271215141	16	true	21
63	48	36	1	36	40	520	0	0	63.60697216550429	63.60697216550429	123.72408641440937	123.72408641440937	63.60697216550429	0.9815370190304208	63.60697216550429	16	true	23
64	48	36	1	36	40	520	0	0	64.25116124764673	64.25116124764673	124.11113110337688	124.11113110337688	64.25116124764673	0.9815370190304208	64.25116124764673	16	true	19
65	50	38	1	38	40	520	0	0	64.8108099795356	64.8108099795356	124.41202489485629	124.41202489485629	64.8108099795356	0.9807888156980865	64.8108099795356	16	true	18
66	50	38	1	38	40	520	0	0	65.10388048955846	65.10388048955846	123.97612458999508	123.97612458999508	65.10388048955846	0.9797755170674288	65.10388048955846	16	true	9
67	50	38	1	38	40	520	0	0	57.97273383467909	57.97273383467909	121.40098544373407	121.40098544373407	57.97273383467909	0.9794184499309114	57.97273383467909	16	true	9
68	51	37	1	37	40	520	0	0	25.139988090037395	25.139988090037395	119.24112473850418	119.24112473850418	25.139988090037395	0.979403096921356	25.139988090037395	18	true	15
69	53	39	1	39	40	520	0	0	26.618696276758502	26.618696276758502	122.46748520140231	122.46748520140231	26.618696276758502	0.9791464457782877	26.618696276758502	18	true	19
70	53	38	1	38	40	520	0	0	30.99172551504472	30.99172551504472	122.07548613266107	122.07548613266107	30.99172551504472	0.9785820033484182	30.99172551504472	16	true	27
71	53	36	1	36	40	520	0	0	-110.38144366066045	-110.38144366066045	92.45682633677728	92.45682633677728	-110.38144366066045	0.9790856917261899	-110.38144366066045	34	true	18
72	54	32	1	32	40	520	0	0	-161.61062497979907	-161.61062497979907	93.32742737827004	93.32742737827004	-161.61062497979907	0.9788144552240441	-161.61062497979907	34	true	8
73	55	33	1	33	40	520	0	0	-172.0449132263734	-172.0449132263734	91.47349870391639	91.47349870391639	-172.0449132263734	0.9787324262872765	-172.0449132263734	35	true	28
74	55	31	1	31	40	520	0	0	-173.00528023016588	-173.00528023016588	82.03251943127464	82.03251943127464	-173.00528023016588	0.9782536317178556	-173.00528023016588	35	true	9
75	56	34	1	34	40	520	0	0	-149.61514557172978	-149.61514557172978	85.15720022692534	85.15720022692534	-149.61514557172978	0.9773488642428406	-149.61514557172978	34	true	10
76	56	34	1	34	40	520	0	0	-94.926133292402	-94.926133292402	78.15295316906783	78.15295316906783	-94.926133292402	0.9768603095459164	-94.926133292402	33	true	21
77	58	34	1	34	40	520	0	0	-139.9764463746305	-139.9764463746305	74.7820946822949	74.7820946822949	-139.9764463746305	0.976649242219314	-139.9764463746305	35	true	12
78	58	33	1	33	40	520	0	0	-133.24807170441775	-133.24807170441775	75.90550216073966	75.90550216073966	-133.24807170441775	0.976649242219314	-133.24807170441775	35	true	20
79	58	33	1	33	40	520	0	0	-132.9772382935181	-132.9772382935181	74.04738242366172	74.04738242366172	-132.9772382935181	0.9765804826693768	-132.9772382935181	35	true	19
80	59	32	1	32	40	520	0	0	-178.0189420233391	-178.0189420233391	70.0747937205535	70.0747937205535	-178.0189420233391	0.9765961646719938	-178.0189420233391	36	true	13
81	59	31	1	31	40	520	0	0	-156.50239602116218	-156.50239602116218	67.96368563767109	67.96368563767109	-156.50239602116218	0.9766291005329687	-156.50239602116218	35	true	9
82	59	30	1	30	40	520	0	0	-144.26185249135364	-144.26185249135364	64.6451100722633	64.6451100722633	-144.26185249135364	0.9766468661583113	-144.26185249135364	34	true	10
83	59	30	1	30	40	520	0	0	-210.34339414862342	-210.34339414862342	65.51956017883951	65.51956017883951	-210.34339414862342	0.9765188513024472	-210.34339414862342	35	true	16
84	59	29	1	29	40	520	0	0	-223.00560029837476	-223.00560029837476	59.42591468716587	59.42591468716587	-223.00560029837476	0.976273349368699	-223.00560029837476	36	true	8
85	60	31	1	31	40	520	0	0	-214.007043153161	-214.007043153161	67.7631922941878	67.7631922941878	-214.007043153161	0.9760596135428169	-214.007043153161	36	true	9
86	60	31	1	31	40	520	0	0	-253.57489627007504	-253.57489627007504	66.13909766926187	66.13909766926187	-253.57489627007504	0.9759112376718988	-253.57489627007504	36	true	9
87	61	33	1	33	40	520	0	0	-168.74705515427493	-168.74705515427493	68.17306577551501	68.17306577551501	-168.74705515427493	0.9753056711092916	-168.74705515427493	35	true	21
88	61	31	1	31	40	520	0	0	-143.27041092693483	-143.27041092693483	62.352337945433675	62.352337945433675	-143.27041092693483	0.9751504229388583	-143.27041092693483	30	true	16
89	61	29	1	29	40	520	0	0	-65.00896680992798	-65.00896680992798	58.059437737657674	58.059437737657674	-65.00896680992798	0.9752677637976035	-65.00896680992798	27	true	10
90	61	28	1	28	40	520	0	0	-85.26767466618497	-85.26767466618497	60.43928975917838	60.43928975917838	-85.26767466618497	0.9752588444301475	-85.26767466618497	29	true	9
91	61	23	1	23	40	520	0	0	-149.15497400829204	-149.15497400829204	50.16145827281959	50.16145827281959	-149.15497400829204	0.9757823089464178	-149.15497400829204	33	false	7
92	62	24	1	24	40	520	0	0	-167.84176112491053	-167.84176112491053	57.38113391632071	57.38113391632071	-167.84176112491053	0.9755123153069505	-167.84176112491053	31	false	21
93	62	26	1	26	40	520	0	0	-96.44407638325077	-96.44407638325077	63.72086811369678	63.72086811369678	-96.44407638325077	0.9754284220761656	-96.44407638325077	29	true	8
94	62	22	1	22	40	520	0	0	-69.94980480185008	-69.94980480185008	58.9124312819166	58.9124312819166	-69.94980480185008	0.9756550982958161	-69.94980480185008	29	false	7
95	63	18	1	18	40	520	0	0	-52.42811615343478	-52.42811615343478	52.25117669102063	52.25117669102063	-52.42811615343478	0.9754854475402286	-52.42811615343478	28	false	6
96	63	17	1	17	40	520	0	0	-66.30102769008295	-66.30102769008295	56.444497930168836	56.444497930168836	-66.30102769008295	0.9755423267851528	-66.30102769008295	29	false	5
97	63	15	1	15	40	520	0	0	-145.2382315289051	-145.2382315289051	38.66385983208097	38.66385983208097	-145.2382315289051	0.9755271931043056	-145.2382315289051	32	false	5
98	64	13	1	13	40	520	0	0	-46.386667009553925	-46.386667009553925	38.981499039106914	38.981499039106914	-46.386667009553925	0.9761435067736016	-46.386667009553925	27	false	4
99	64	14	1	14	40	520	0	0	-43.49712154363685	-43.49712154363685	39.08471496616796	39.08471496616796	-43.49712154363685	0.9760757707576344	-43.49712154363685	27	false	4
100	64	13	1	13	40	520	0	0	-36.48083535509871	-36.48083535509871	24.512737015579685	24.512737015579685	-36.48083535509871	0.9760127868636727	-36.48083535509871	28	false	4
101	64	11	1	11	40	520	0	0	-46.61062863622169	-46.61062863622169	0.10682667260672218	0.10682667260672218	-46.61062863622169	0.9765251752801926	-46.61062863622169	29	false	5
102	64	10	1	10	40	520	0	0	-64.70809102084806	-64.70809102084806	-3.971131851704392	-3.971131851704392	-64.70809102084806	0.9765736103698615	-64.70809102084806	30	false	3
103	64	9	1	9	40	520	0	0	-121.08450628261029	-121.08450628261029	-30.52440198566031	-30.52440198566031	-121.08450628261029	0.9764109050233587	-121.08450628261029	33	false	3
