# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 6
# run: 2ea3c482-291b-41a1-b6a7-120416f583b8
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18440	32400	259200	0	0	36.78711405814245	36.78711405814245	36.78711405814245	36.78711405814245	27.512386523107686,27.512386523107686,27.512386523107686,27.512386523107686,27.512386523107686,27.512386523107686,31.53790386231113,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,34.80706840174931,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245,36.78711405814245	0.9960817657423182	36.78711405814245	0	true	744
26	15	15	78	19859	34650	277200	0	0	41.45993458893389	41.45993458893389	41.45993458893389	41.45993458893389	41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389,41.45993458893389	0.9960817657423182	41.45993458893389	0	true	271
27	15	15	100	25271	44550	356400	0	0	41.90598537720954	41.90598537720954	41.90598537720954	41.90598537720954	37.940868541384,37.940868541384,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,39.922200272103254,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954,41.90598537720954	0.9958392978556962	41.90598537720954	0	true	167
28	17	17	100	47447	50490	403920	0	0	43.01101548987486	43.01101548987486	43.01101548987486	43.01101548987486	41.102881105338994,41.102881105338994,41.102881105338994,41.102881105338994,41.102881105338994,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486,43.01101548987486	0.9952533612124491	43.01101548987486	0	true	280
29	20	20	80	38822	47400	379200	0	0	44.919633478532454	44.919633478532454	44.919633478532454	44.919633478532454	44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454,44.919633478532454	0.9948494308420032	44.919633478532454	0	true	194
30	20	20	81	39628	48000	384000	0	0	45.85389834820669	45.85389834820669	45.85389834820669	45.85389834820669	45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669,45.85389834820669	0.9948494308420032	45.85389834820669	0	true	91
31	21	21	100	48845	62370	498960	0	0	45.72568487915018	45.72568487915018	45.72568487915018	45.72568487915018	41.812718199848206,41.812718199848206,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,43.80261921175556,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018,45.72568487915018	0.9940576542063589	45.72568487915018	0	true	203
32	23	23	100	49142	68310	546480	0	0	39.45694365538991	40.69578110743056	43.43435442609018	43.45308597419572	28.238632446676473,28.238632446676473,33.50854120314602,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,35.462677522652974,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,40.69578110743056,39.3785284708827,39.3785284708827,39.3785284708827,39.3785284708827,39.3785284708827,39.3785284708827,39.3785284708827,39.3785284708827,39.3785284708827,39.3785284708827,39.3785284708827,39.3785284708827,39.3785284708827,40.69578110743056,40.69578110743056,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991,39.45694365538991	0.992905593613148	40.69578110743056	2	true	285
33	23	23	100	49114	68310	546480	0	0	45.91259214849223	45.91259214849223	45.91259214849223	45.91259214849223	43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,43.620667208505495,44.71777759149984,44.71777759149984,44.71777759149984,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223,45.91259214849223	0.992905593613148	45.91259214849223	0	true	88
34	24	24	100	49342	71280	570240	0	0	47.377439899929804	47.377439899929804	47.377439899929804	47.377439899929804	43.533108052998514,43.533108052998514,45.53289359257427,45.53289359257427,45.53289359257427,45.53289359257427,45.53289359257427,45.53289359257427,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804,47.377439899929804	0.9927601786797875	47.377439899929804	0	true	108
