# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 25
# run: 4818e6f2-944d-4f8d-9e8e-b725341a1354
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18427	32400	259200	0	0	36.78332028494265	36.78332028494265	36.78332028494265	36.78332028494265	27.509825950994696,27.509825950994696,27.509825950994696,27.509825950994696,27.509825950994696,27.509825950994696,27.509825950994696,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,34.802961290069845,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265,36.78332028494265	0.9964291824156865	36.78332028494265	0	true	550
26	15	15	78	19705	34650	277200	0	0	41.50090076858543	41.50090076858543	41.50090076858543	41.50090076858543	41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543,41.50090076858543	0.9964291824156865	41.50090076858543	0	true	202
27	15	15	78	19628	34650	277200	0	0	42.93910432819473	42.93910432819473	42.93910432819473	42.93910432819473	42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473,42.93910432819473	0.9960817657423182	42.93910432819473	0	true	150
28	15	15	78	19705	34650	277200	0	0	44.153530505653805	44.153530505653805	44.153530505653805	44.153530505653805	44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805,44.153530505653805	0.9960817657423182	44.153530505653805	0	true	125
29	15	15	100	25268	44550	356400	0	0	44.93611411851562	44.93611411851562	44.93611411851562	44.93611411851562	42.94205364988281,42.94205364988281,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562,44.93611411851562	0.9960817657423182	44.93611411851562	0	true	450
30	15	15	100	25358	44550	356400	0	0	45.384544118610684	45.384544118610684	45.384544118610684	45.384544118610684	43.38883448464077,43.38883448464077,43.38883448464077,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684,45.384544118610684	0.9957029850637148	45.384544118610684	0	true	146
31	17	17	100	47546	50490	403920	0	0	45.53369738511781	45.53369738511781	45.53369738511781	45.53369738511781	40.30552896942885,40.30552896942885,43.58339172065974,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781,45.53369738511781	0.9953534847676211	45.53369738511781	0	true	79
32	17	17	100	47622	50490	403920	0	0	43.43650657604004	43.43650657604004	44.824037959574106	44.824037959574106	43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004,43.43650657604004	0.9952533612124491	43.43650657604004	1	true	133
33	17	16	100	47497	47520	380160	0	0	40.98582022277136	40.98582022277136	43.54435681942607	43.54435681942607	38.94224374974564,38.94224374974564,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,36.90841942386269,40.98525519210455,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136,40.98582022277136	0.9952902084353822	40.98582022277136	2	true	56
34	17	16	100	47392	47520	380160	0	0	43.057401090451165	44.06982555702625	43.75794352488623	44.769831545006184	39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,39.68026427161699,42.690622402298466,42.690622402298466,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,42.404199888604374,44.06982555702625,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165,43.057401090451165	0.9950573910119094	44.06982555702625	1	true	53
