# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 585adf0c-6195-4400-9837-46bcc9006457
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18512	32400	259200	0	0	36.79326729756522	36.79326729756522	36.79326729756522	36.79326729756522	27.519341839463813,27.519341839463813,27.519341839463813,27.519341839463813,27.519341839463813,27.519341839463813,31.54413143969327,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,34.81330356248857,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522,36.79326729756522	0.9966306358339244	36.79326729756522	0	true	666
26	15	15	78	19782	34650	277200	0	0	41.59959924905799	41.59959924905799	41.59959924905799	41.59959924905799	41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799,41.59959924905799	0.9960817657423182	41.59959924905799	0	true	209
27	15	15	78	19859	34650	277200	0	0	43.018234059911606	43.018234059911606	43.018234059911606	43.018234059911606	43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606,43.018234059911606	0.9960817657423182	43.018234059911606	0	true	159
28	15	15	100	25271	44550	356400	0	0	44.378324750344895	44.378324750344895	44.378324750344895	44.378324750344895	44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895,44.378324750344895	0.9960817657423182	44.378324750344895	0	true	230
29	15	15	100	25469	44550	356400	0	0	45.50999318456031	45.50999318456031	45.50999318456031	45.50999318456031	45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031,45.50999318456031	0.9960817657423182	45.50999318456031	0	true	316
30	15	15	100	25469	44550	356400	0	0	46.1241609443412	46.1241609443412	46.1241609443412	46.1241609443412	46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412,46.1241609443412	0.9959128826372083	46.1241609443412	0	true	203
31	15	14	100	25304	41580	332640	0	0	43.63648254369522	43.63648254369522	44.3208918205914	44.3208918205914	41.66632460260222,41.66632460260222,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522,43.63648254369522	0.9957118678763863	43.63648254369522	1	true	56
32	16	15	100	25294	44550	356400	0	0	45.09907444562335	45.09907444562335	45.930008511028426	45.930008511028426	45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335,45.09907444562335	0.99553413851339	45.09907444562335	1	true	91
33	16	16	100	47470	47520	380160	0	0	47.233518849886686	47.233518849886686	47.233518849886686	47.233518849886686	45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,45.53268317181074,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686,47.233518849886686	0.9955252557007185	47.233518849886686	0	true	58
34	17	16	100	47540	47520	380160	0	0	44.552536933522454	44.552536933522454	45.96269745634096	45.96269745634096	41.274833423233474,41.274833423233474,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454,44.552536933522454	0.9952948143382488	44.552536933522454	1	true	57
