# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 3
# run: 864b398c-543f-4383-8024-a8718e20e224
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18512	32400	259200	0	0	36.78838710461353	36.78838710461353	36.78838710461353	36.78838710461353	27.51415237238684,27.51415237238684,27.51415237238684,27.51415237238684,27.51415237238684,27.51415237238684,31.539143376174305,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,34.80795417053402,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353,36.78838710461353	0.9966306358339244	36.78838710461353	0	true	768
26	15	15	78	19859	34650	277200	0	0	41.58713777756109	41.58713777756109	41.58713777756109	41.58713777756109	41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109,41.58713777756109	0.9964291824156865	41.58713777756109	0	true	196
27	15	15	78	19859	34650	277200	0	0	42.98064390102162	42.98064390102162	42.98064390102162	42.98064390102162	42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162,42.98064390102162	0.9960817657423182	42.98064390102162	0	true	170
28	15	15	91	23174	40500	324000	0	0	44.20710353186038	44.20710353186038	44.20710353186038	44.20710353186038	44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038,44.20710353186038	0.9960817657423182	44.20710353186038	0	true	160
29	15	15	100	25469	44550	356400	0	0	45.20957582411472	45.20957582411472	45.20957582411472	45.20957582411472	45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472,45.20957582411472	0.9960817657423182	45.20957582411472	0	true	128
30	15	14	100	25081	41580	332640	0	0	43.19948723597988	43.19948723597988	44.56647081352411	44.56647081352411	39.941229641444366,39.941229641444366,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988,43.19948723597988	0.9959217654498799	43.19948723597988	1	true	71
31	15	14	100	25103	41580	332640	0	0	43.901673618742066	43.901673618742066	44.80049447115192	44.80049447115192	41.93217115768597,41.93217115768597,41.93217115768597,41.902221467333526,41.902221467333526,41.902221467333526,41.902221467333526,41.902221467333526,41.902221467333526,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066,43.901673618742066	0.9957118678763863	43.901673618742066	1	true	67
32	16	16	100	47587	47520	380160	0	0	46.36483047297248	46.36483047297248	46.36483047297248	46.36483047297248	44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,44.66471021970975,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248,46.36483047297248	0.9955252557007185	46.36483047297248	0	true	101
33	17	15	100	25467	44550	356400	0	0	43.6562455168568	43.6562455168568	45.00812175755327	45.00812175755327	40.378985338440515,40.378985338440515,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568,43.6562455168568	0.9953163085516264	43.6562455168568	1	true	71
34	17	15	100	25487	44550	356400	0	0	45.147613494968624	45.147613494968624	45.147613494968624	45.147613494968624	39.47226737327291,39.47226737327291,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,37.43899302036578,43.795739728553144,43.795739728553144,43.795739728553144,43.795739728553144,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,43.25972056209116,45.147613494968624,45.147613494968624,45.147613494968624,45.147613494968624,45.147613494968624,45.147613494968624,45.147613494968624,45.147613494968624	0.9953485498716926	45.147613494968624	0	true	55
