# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 5
# run: 9c289201-a2fb-46ca-9336-0392e626bce8
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18440	32400	259200	0	0	36.78628039958989	36.78628039958989	36.78628039958989	36.78628039958989	27.511585099049007,27.511585099049007,27.511585099049007,27.511585099049007,27.511585099049007,27.511585099049007,31.536752012204662,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,34.805676998471775,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989,36.78628039958989	0.9964291824156865	36.78628039958989	0	true	752
26	15	15	78	19705	34650	277200	0	0	41.51394579390676	41.51394579390676	41.51394579390676	41.51394579390676	41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676,41.51394579390676	0.9964291824156865	41.51394579390676	0	true	226
27	15	15	78	19705	34650	277200	0	0	42.942822105998786	42.942822105998786	42.942822105998786	42.942822105998786	42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786,42.942822105998786	0.9960817657423182	42.942822105998786	0	true	144
28	15	15	97	24512	43200	345600	0	0	44.161613883021076	44.161613883021076	44.161613883021076	44.161613883021076	44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076,44.161613883021076	0.9960817657423182	44.161613883021076	0	true	184
29	15	15	100	25172	44550	356400	0	0	45.337503414471286	45.337503414471286	45.337503414471286	45.337503414471286	45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286,45.337503414471286	0.9960817657423182	45.337503414471286	0	true	113
30	15	15	100	25288	44550	356400	0	0	45.690235115338005	45.690235115338005	45.690235115338005	45.690235115338005	43.716056672589104,43.716056672589104,43.716056672589104,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005,45.690235115338005	0.9957029850637148	45.690235115338005	0	true	93
31	17	16	100	47346	47520	380160	0	0	43.1833300510403	43.20104119108966	44.60053106493567	44.407276517626684	43.20104119108966,43.20104119108966,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.183697142171276,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403,43.1833300510403	0.9952870281691172	43.20104119108966	1	true	71
32	17	15	100	25345	44550	356400	0	0	41.75252348931071	41.75252348931071	43.342054923337564	43.342054923337564	34.290074527236385,34.290074527236385,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,38.30068096191336,41.082671299073006,41.082671299073006,41.082671299073006,41.082671299073006,41.082671299073006,40.493454472113626,40.493454472113626,40.493454472113626,40.493454472113626,40.493454472113626,40.493454472113626,40.493454472113626,40.493454472113626,40.493454472113626,38.51636787816737,38.51636787816737,38.51636787816737,38.51636787816737,38.51636787816737,38.51636787816737,38.51636787816737,38.51636787816737,38.51636787816737,38.51636787816737,38.51636787816737,38.51636787816737,38.51636787816737,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071,41.75252348931071	0.9953069870815391	41.75252348931071	1	true	92
33	17	16	100	47602	47520	380160	0	0	45.02899431490274	45.02899431490274	45.02899431490274	45.02899431490274	41.01564989825245,41.01564989825245,42.29352789739901,42.29352789739901,42.29352789739901,42.29352789739901,42.29352789739901,42.29352789739901,42.29352789739901,42.29352789739901,42.29352789739901,42.29352789739901,42.29352789739901,42.29352789739901,44.0283017620629,44.0283017620629,44.0283017620629,44.0283017620629,44.0283017620629,44.0283017620629,44.0283017620629,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,43.65815332126436,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274,45.02899431490274	0.9952902084353822	45.02899431490274	0	true	58
34	19	18	79	38020	42120	336960	0	0	46.87654641217817	46.87654641217817	46.87654641217817	46.87654641217817	46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817,46.87654641217817	0.9946208537735504	46.87654641217817	0	true	65
