# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 26
# run: a6ab76a4-1b29-4138-b65b-7e5d42b7af4d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18440	32400	259200	0	0	36.7831077447965	36.7831077447965	36.7831077447965	36.7831077447965	27.508521141695873,27.508521141695873,27.508521141695873,27.508521141695873,27.508521141695873,27.508521141695873,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,34.803111488329975,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965,36.7831077447965	0.9960817657423182	36.7831077447965	0	true	510
26	15	15	78	19628	34650	277200	0	0	41.33391023676928	41.33391023676928	41.33391023676928	41.33391023676928	41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928,41.33391023676928	0.9960817657423182	41.33391023676928	0	true	164
27	15	15	78	19705	34650	277200	0	0	42.61182590638584	42.61182590638584	42.61182590638584	42.61182590638584	42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584,42.61182590638584	0.9960817657423182	42.61182590638584	0	true	149
28	16	16	100	47346	47520	380160	0	0	43.45563200854561	43.45563200854561	43.45563200854561	43.45563200854561	39.48130335612186,39.48130335612186,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561,43.45563200854561	0.9955637844437458	43.45563200854561	0	true	187
29	17	17	100	47579	50490	403920	0	0	41.83822831876248	41.89124497156103	43.35923154710111	43.57143270813592	41.89124497156103,41.89124497156103,41.89124497156103,41.83840399940343,41.83840399940343,41.83840399940343,41.83840399940343,41.83840399940343,41.83840399940343,41.83840399940343,41.83840399940343,41.83840399940343,41.83840399940343,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248,41.83822831876248	0.9952702495229601	41.89124497156103	1	true	447
30	20	20	95	45989	56400	451200	0	0	45.3520470461016	45.3520470461016	45.3520470461016	45.3520470461016	43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,43.50069172643251,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016,45.3520470461016	0.9948494308420032	45.3520470461016	0	true	124
31	20	20	79	38336	46800	374400	0	0	46.27865770373062	46.27865770373062	46.27865770373062	46.27865770373062	46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062,46.27865770373062	0.9947698145210228	46.27865770373062	0	true	63
32	20	20	100	48625	59400	475200	0	0	45.71405533311818	45.71405533311818	45.71405533311818	45.71405533311818	43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,43.8312395267355,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818,45.71405533311818	0.9942390390478211	45.71405533311818	0	true	102
33	22	22	100	48748	65340	522720	0	0	42.757513519181764	42.757513519181764	43.9331475807543	43.9331475807543	34.143240883794405,34.143240883794405,34.143240883794405,38.05797714921502,38.05797714921502,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,40.05760368632275,42.757513519181764,42.757513519181764,42.757513519181764,42.757513519181764,42.757513519181764,42.757513519181764,42.757513519181764,42.757513519181764	0.9933076596895767	42.757513519181764	1	true	58
34	23	23	100	48989	68310	546480	0	0	43.545024225612316	44.38387802011886	45.20966479924103	45.35109319451513	40.737325566314134,40.737325566314134,40.737325566314134,42.70417074178926,42.70417074178926,41.40737604366993,41.40737604366993,41.40737604366993,41.40737604366993,41.40737604366993,41.40737604366993,41.40737604366993,41.40737604366993,41.40737604366993,41.40737604366993,41.40737604366993,41.40737604366993,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,44.38387802011886,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316,43.545024225612316	0.992905593613148	44.38387802011886	1	true	65
