# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 2
# run: b55a4d6c-41b2-4ae6-a0b4-224456566a7b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18368	32400	259200	0	0	36.781631623001644	36.781631623001644	36.781631623001644	36.781631623001644	27.50847803492303,27.50847803492303,27.50847803492303,27.50847803492303,27.50847803492303,27.50847803492303,31.534004951367695,31.534004951367695,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,34.801850547183754,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644,36.781631623001644	0.9960817657423182	36.781631623001644	0	true	702
26	15	15	78	19705	34650	277200	0	0	41.508220160751776	41.508220160751776	41.508220160751776	41.508220160751776	41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776,41.508220160751776	0.9960817657423182	41.508220160751776	0	true	353
27	15	15	78	19705	34650	277200	0	0	42.94075654687462	42.94075654687462	42.94075654687462	42.94075654687462	42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462,42.94075654687462	0.9960817657423182	42.94075654687462	0	true	134
28	15	15	100	25271	44550	356400	0	0	44.1926406083599	44.1926406083599	44.1926406083599	44.1926406083599	44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599,44.1926406083599	0.9960817657423182	44.1926406083599	0	true	193
29	15	15	100	25172	44550	356400	0	0	45.38287261032333	45.38287261032333	45.38287261032333	45.38287261032333	45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333,45.38287261032333	0.9959128826372083	45.38287261032333	0	true	371
30	16	16	100	47346	47520	380160	0	0	45.11403562548375	45.11403562548375	45.11403562548375	45.11403562548375	39.842013023112386,39.842013023112386,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375,45.11403562548375	0.9955312141306174	45.11403562548375	0	true	219
31	17	17	100	47567	50490	403920	0	0	43.68215597966203	43.68215597966203	45.07596491017553	45.07596491017553	38.42013629297388,38.42013629297388,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68160023977994,43.68215597966203	0.9952702495229601	43.68215597966203	1	true	100
32	17	16	100	47436	47520	380160	0	0	41.63967916162438	41.63967916162438	43.24111550551339	43.24111550551339	38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,38.14966545121628,39.6831829479722,39.6831829479722,39.6831829479722,39.6831829479722,39.6831829479722,39.6831829479722,39.6831829479722,39.6831829479722,39.6831829479722,40.36015551721682,40.36015551721682,40.36015551721682,40.36015551721682,40.3599268994094,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,38.40704630040945,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438,41.63967916162438	0.9952105921144018	41.63967916162438	1	true	121
33	20	20	78	37696	46200	369600	0	0	46.31300302565869	46.31300302565869	46.31300302565869	46.31300302565869	44.31306122099039,44.31306122099039,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869,46.31300302565869	0.9944151600002925	46.31300302565869	0	true	70
34	20	20	79	38180	46800	374400	0	0	47.65726764042653	47.65726764042653	47.65726764042653	47.65726764042653	47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653,47.65726764042653	0.994359669837185	47.65726764042653	0	true	80
