# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 4
# run: de96a720-39f9-4a1b-8e5a-1d61a8359980
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18512	32400	259200	0	0	36.78978638604007	36.78978638604007	36.78978638604007	36.78978638604007	27.51637123859102,27.51637123859102,27.51637123859102,27.51637123859102,27.51637123859102,27.51637123859102,31.541465555831895,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,34.80999677917547,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007,36.78978638604007	0.9960817657423182	36.78978638604007	0	true	538
26	15	15	78	19782	34650	277200	0	0	41.464731685433684	41.464731685433684	41.464731685433684	41.464731685433684	41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684,41.464731685433684	0.9960817657423182	41.464731685433684	0	true	192
27	15	15	78	19782	34650	277200	0	0	42.801522161031734	42.801522161031734	42.801522161031734	42.801522161031734	42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734,42.801522161031734	0.9960817657423182	42.801522161031734	0	true	59
28	15	15	100	25370	44550	356400	0	0	43.78928942275823	43.78928942275823	43.78928942275823	43.78928942275823	41.80816772915279,41.80816772915279,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823,43.78928942275823	0.9957029850637148	43.78928942275823	0	true	88
29	17	17	100	47843	50490	403920	0	0	42.062527138394685	42.062527138394685	43.400135871068684	43.400135871068684	34.76880221666604,34.76880221666604,38.7845526049435,38.7845526049435,38.7845526049435,38.7845526049435,38.7845526049435,38.7845526049435,38.7845526049435,38.7845526049435,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685,42.062527138394685	0.9952702495229601	42.062527138394685	1	true	167
30	19	18	100	48043	53460	427680	0	0	44.76295569060365	44.76295569060365	44.76295569060365	44.76295569060365	35.72715227753227,35.72715227753227,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,43.03762479522408,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365,44.76295569060365	0.9950938361322115	44.76295569060365	0	true	75
31	20	19	100	48160	56430	451440	0	0	45.73744713752028	45.73744713752028	45.73744713752028	45.73744713752028	41.76857096801964,41.76857096801964,43.76822739242879,43.76822739242879,43.76822739242879,43.76822739242879,43.76822739242879,43.76822739242879,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028,45.73744713752028	0.994899437787412	45.73744713752028	0	true	85
32	20	17	100	47916	50490	403920	0	0	43.490384069217676	43.490384069217676	44.84726978964088	44.84726978964088	38.48375325685163,38.48375325685163,41.76123504007148,41.76123504007148,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,40.405546792676304,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676,43.490384069217676	0.9948767372661409	43.490384069217676	1	true	50
33	23	21	100	48648	62370	498960	0	0	40.200694593045974	40.200694593045974	42.69751044340313	42.69751044340313	23.409026825271937,23.409026825271937,28.6750682959581,28.6750682959581,28.6750682959581,28.6750682959581,28.6750682959581,28.6750682959581,28.6750682959581,28.6750682959581,28.6750682959581,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,33.266614937612935,37.261500331612694,37.261500331612694,37.261500331612694,37.261500331612694,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,37.18282607850921,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,38.50055451530461,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974,40.200694593045974	0.9931421396246555	40.200694593045974	2	true	58
34	23	22	100	49033	65340	522720	0	0	43.197646995788354	44.15440860423915	44.877317822093566	44.877317822093566	41.18174385922133,41.18174385922133,41.17045593036471,41.17045593036471,41.17045593036471,41.17045593036471,41.17045593036471,41.17045593036471,41.17045593036471,41.17045593036471,41.17045593036471,41.17045593036471,41.17045593036471,41.17045593036471,41.17045593036471,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,43.16011643564967,44.15440860423915,44.15440860423915,44.15440860423915,44.15440860423915,44.15440860423915,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354,43.197646995788354	0.9929075675715195	44.15440860423915	1	true	55
