# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 19
# run: eddbbb7e-3822-4588-8085-852843a222f3
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18440	32400	259200	0	0	36.781036135698535	36.781036135698535	36.781036135698535	36.781036135698535	27.505793946007003,27.505793946007003,27.505793946007003,27.505793946007003,27.505793946007003,27.505793946007003,31.530697356868583,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,34.799810799938136,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535,36.781036135698535	0.9960817657423182	36.781036135698535	0	true	645
26	15	15	78	19782	34650	277200	0	0	41.48999086956625	41.48999086956625	41.48999086956625	41.48999086956625	41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625,41.48999086956625	0.9960817657423182	41.48999086956625	0	true	201
27	15	15	78	19705	34650	277200	0	0	42.92659279284173	42.92659279284173	42.92659279284173	42.92659279284173	42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173,42.92659279284173	0.9960817657423182	42.92659279284173	0	true	155
28	15	15	100	25232	44550	356400	0	0	43.22393028438432	43.22393028438432	43.22393028438432	43.22393028438432	35.992725337480096,35.992725337480096,37.973385006207394,37.973385006207394,37.973385006207394,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.232955479154285,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,41.24446301764289,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432,43.22393028438432	0.9956704147505866	43.22393028438432	0	true	302
29	17	17	100	47712	50490	403920	0	0	44.31966047577165	44.31966047577165	44.31966047577165	44.31966047577165	40.43589806796401,40.43589806796401,42.4356971656063,42.4356971656063,42.4356971656063,42.34187854888041,42.34187854888041,42.34187854888041,42.34187854888041,42.34187854888041,42.34187854888041,42.34187854888041,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165,44.31966047577165	0.9952702495229601	44.31966047577165	0	true	133
30	20	19	98	47277	55290	442320	0	0	44.79865806982323	44.79865806982323	44.79865806982323	44.79865806982323	44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323,44.79865806982323	0.994886278064936	44.79865806982323	0	true	107
31	20	19	95	46003	53580	428640	0	0	46.12486848139802	46.12486848139802	46.12486848139802	46.12486848139802	44.173714874564496,44.173714874564496,44.173714874564496,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802,46.12486848139802	0.9949043726833406	46.12486848139802	0	true	124
32	21	19	100	48036	56430	451440	0	0	45.704532836476275	45.704532836476275	45.704532836476275	45.704532836476275	36.666657770965045,36.666657770965045,43.91026512020396,43.91026512020396,43.91026512020396,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,43.811236841473956,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275,45.704532836476275	0.9939093879997952	45.704532836476275	0	true	110
33	23	23	100	49042	68310	546480	0	0	42.34658072442287	42.9405975929113	44.306475124808856	44.29810137733541	32.47662778778525,32.47662778778525,36.47610236706293,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,36.356341505262385,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,40.23847965148991,42.9405975929113,42.9405975929113,42.9405975929113,42.9405975929113,42.9405975929113,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287,42.34658072442287	0.9930901587208749	42.9405975929113	1	true	104
34	23	23	100	49046	68310	546480	0	0	45.87962424165048	45.87962424165048	45.87962424165048	45.87962424165048	39.072491173672795,39.072491173672795,43.04586932289576,43.04586932289576,43.04586932289576,43.04586932289576,43.04586932289576,43.04586932289576,43.04586932289576,41.746996162219716,41.746996162219716,41.746996162219716,41.746996162219716,41.746996162219716,41.746996162219716,41.746996162219716,41.746996162219716,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,42.720262316359616,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,44.703905284202015,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048,45.87962424165048	0.9928066763658695	45.87962424165048	0	true	114
