# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 24
# run: 3869af47-1e1f-45a7-8a6a-68c08944d066
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	35150	62370	498960	0	0	44.85532589719203	44.85532589719203	48.10665145112254	48.10665145112254	36.85941176972672,36.85941176972672,35.58123732094118,35.58123732094118,35.58123732094118,35.58123732094118,39.60599579413632,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,42.87484320564262,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203,44.85532589719203	0.9960817657423182	44.85532589719203	2	true	1155
26	15	15	100	35287	62370	498960	0	0	51.42139903316102	51.42139903316102	54.098243935356436	54.098243935356436	51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102,51.42139903316102	0.9960817657423182	51.42139903316102	2	true	516
27	15	15	100	35241	62370	498960	0	0	53.41699281438402	53.41699281438402	56.0972948671194	56.0972948671194	51.43083642568784,51.43083642568784,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402,53.41699281438402	0.9960817657423182	53.41699281438402	2	true	256
28	15	15	100	35204	62370	498960	0	0	55.16969524877348	55.16969524877348	57.914874175004655	57.914874175004655	50.10505169394227,50.10505169394227,50.10505169394227,50.10505169394227,50.10505169394227,50.10505169394227,53.286355283243026,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348,55.16969524877348	0.9960817657423182	55.16969524877348	2	true	136
29	15	15	100	35258	62370	498960	0	0	51.819754956411856	51.819754956411856	56.716822030596	56.716822030596	37.76116548157243,37.76116548157243,36.205450876707935,36.205450876707935,36.205450876707935,36.205450876707935,36.205450876707935,36.205450876707935,36.205450876707935,36.205450876707935,36.205450876707935,36.205450876707935,41.518307374319626,41.518307374319626,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,46.37632461149284,50.193812384579644,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856,51.819754956411856	0.9956704147505866	51.819754956411856	2	true	150
30	17	17	100	35659	70686	565488	0	0	49.53628039665107	49.53628039665107	57.98135085529427	57.98135085529427	42.39349798839932,42.39349798839932,42.36211938763782,42.36211938763782,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,36.844498287554885,42.103220539196265,42.103220539196265,42.103220539196265,42.103220539196265,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,46.90245012683398,49.53628039665107,49.53628039665107	0.9952702495229601	49.53628039665107	4	true	163
31	17	16	100	35326	66528	532224	0	0	46.1503216721419	46.1503216721419	54.6359339746477	54.6359339746477	30.09436013897438,30.09436013897438,31.595958061735224,31.595958061735224,31.595958061735224,31.595958061735224,31.595958061735224,31.595958061735224,31.595958061735224,31.595958061735224,31.595958061735224,31.595958061735224,31.595958061735224,27.453282576414132,27.453282576414132,27.453282576414132,27.453282576414132,27.453282576414132,27.453282576414132,27.453282576414132,27.453282576414132,27.453282576414132,27.453282576414132,27.453282576414132,23.163620590235077,23.163620590235077,23.163620590235077,23.163620590235077,23.163620590235077,28.96376629232786,34.39968749211064,34.39968749211064,34.39968749211064,34.39968749211064,39.42360936632611,39.42360936632611,39.42360936632611,41.36943320909121,41.36943320909121,41.36943320909121,41.36943320909121,41.36943320909121,43.93125798014076,43.93125798014076,43.93125798014076,43.93125798014076,43.93125798014076,43.93125798014076,43.93125798014076,43.93125798014076,43.93125798014076,43.93125798014076,43.93125798014076,43.93125798014076,44.68766448056949,44.68766448056949,44.68766448056949,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419,46.1503216721419	0.9952902084353822	46.1503216721419	5	true	107
32	20	19	100	35893	79002	632016	0	0	57.903958932060746	57.903958932060746	60.93233613681595	60.93233613681595	45.00197040307612,45.00197040307612,47.001360790042604,47.001360790042604,47.001360790042604,47.001360790042604,47.001360790042604,47.001360790042604,47.001360790042604,47.001360790042604,47.001360790042604,47.001360790042604,50.99594443191495,54.23263947269609,54.23263947269609,54.23263947269609,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,56.18626292228468,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746,57.903958932060746	0.994886278064936	57.903958932060746	2	true	116
33	20	20	100	36094	83160	665280	0	0	65.07408498225854	65.07408498225854	65.07408498225854	65.07408498225854	60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,60.395348531366,63.37380406097759,63.37380406097759,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854,65.07408498225854	0.9944151600002925	65.07408498225854	0	true	286
34	21	20	100	35969	83160	665280	0	0	38.074832204200824	38.074832204200824	54.23425699214928	54.23425699214928	36.17133438139189,36.17133438139189,32.859750507953095,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,30.2365608903131,32.37866820432647,32.37866820432647,34.41121023169643,33.9068324835027,33.9068324835027,33.9068324835027,33.9068324835027,33.9068324835027,33.9068324835027,33.9068324835027,33.9068324835027,33.9068324835027,33.9068324835027,33.9068324835027,31.31360966431901,31.31360966431901,31.31360966431901,31.31360966431901,31.31360966431901,31.31360966431901,31.31360966431901,31.31360966431901,31.31360966431901,31.31360966431901,31.31360966431901,31.31360966431901,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,35.11320385760732,38.074832204200824,38.074832204200824,38.074832204200824,38.074832204200824,38.074832204200824,38.074832204200824,38.074832204200824,38.074832204200824,38.074832204200824,38.074832204200824	0.9934153500851727	38.074832204200824	7	true	132
