# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 21
# run: 446112de-b185-4f56-8640-58a85cc0e0ab
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	34925	62370	498960	0	0	44.86856535470426	44.86856535470426	48.11949797802373	48.11949797802373	36.87144467260704,36.87144467260704,35.59285852779532,35.59285852779532,35.59285852779532,39.61844807815574,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,42.88804547284778,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426,44.86856535470426	0.9960817657423182	44.86856535470426	2	true	1124
26	15	15	100	34960	62370	498960	0	0	51.311166573449796	51.311166573449796	53.98914038019013	53.98914038019013	51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796,51.311166573449796	0.9960817657423182	51.311166573449796	2	true	339
27	15	15	100	34917	62370	498960	0	0	53.32066575384705	53.32066575384705	56.01848221062826	56.01848221062826	53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705,53.32066575384705	0.9959128826372083	53.32066575384705	2	true	169
28	15	15	100	34906	62370	498960	0	0	50.33220839165746	50.33220839165746	55.20830197742919	55.20830197742919	32.38989151629427,32.38989151629427,34.37126828950337,39.877467970987986,39.877467970987986,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,44.893588104675885,48.236693633015506,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,44.8283745157331,48.66051727820467,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746,50.33220839165746	0.9956704147505866	50.33220839165746	2	true	159
29	17	17	100	35360	70686	565488	0	0	54.9792464069247	54.9792464069247	58.82939232900539	58.82939232900539	39.541442176200455,39.541442176200455,49.985751621007026,49.985751621007026,49.985751621007026,46.43030261929669,46.43030261929669,46.43030261929669,46.43030261929669,46.43030261929669,46.43030261929669,46.43030261929669,46.43030261929669,46.43030261929669,51.01325716828748,51.01325716828748,51.01325716828748,51.01325716828748,51.01325716828748,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247,54.9792464069247	0.9953534847676211	54.9792464069247	2	true	156
30	19	18	100	35497	74844	598752	0	0	46.47456035209322	46.47456035209322	56.769469552088	56.769469552088	45.17118889729007,45.17118889729007,42.53789275607538,42.53789275607538,42.53789275607538,42.53789275607538,42.53789275607538,42.53789275607538,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,44.50669147802718,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322,46.47456035209322	0.9950938361322115	46.47456035209322	4	true	122
31	20	19	100	35841	79002	632016	0	0	56.84428211273526	58.122961115718084	60.488351307473216	60.488351307473216	49.683863701610406,49.683863701610406,50.902378655851905,50.902378655851905,50.902378655851905,52.81300072567566,58.122961115718084,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526,56.84428211273526	0.9948198214664318	58.122961115718084	2	true	136
32	21	18	100	35680	74844	598752	0	0	38.848653877137394	40.67575597731809	53.90216303051982	53.90216303051982	34.94290641716273,34.94290641716273,30.298564902151913,30.298564902151913,23.300800241140095,26.251020942613586,26.251020942613586,26.251020942613586,26.251020942613586,26.251020942613586,26.251020942613586,28.042613523421252,32.05818503076122,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,35.31621341838049,38.4233510187992,38.4233510187992,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.8119848173731,39.90074256453678,39.90074256453678,39.90074256453678,39.90074256453678,39.90074256453678,39.90074256453678,39.90074256453678,39.90074256453678,39.90074256453678,39.90074256453678,39.90074256453678,40.67575597731809,39.9382161130697,39.9382161130697,39.9382161130697,39.9382161130697,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394,38.848653877137394	0.9939039047820968	40.67575597731809	7	true	128
33	23	21	100	36353	87318	698544	0	0	34.364569569359226	35.594596334917476	52.19366480759732	52.49225483961158	12.808196805111695,12.808196805111695,31.319647806509728,35.594596334917476,35.594596334917476,35.594596334917476,35.594596334917476,35.594596334917476,34.13588718142545,34.13588718142545,34.13588718142545,32.63100545669688,32.63100545669688,32.63100545669688,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.60577301090684,32.63100545669688,32.63100545669688,32.63100545669688,32.63100545669688,32.63100545669688,32.63100545669688,33.908669682268155,33.908669682268155,33.908669682268155,33.908669682268155,33.908669682268155,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.969257822247776,34.957536325326146,34.957536325326146,34.957536325326146,34.957536325326146,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,32.90903712440655,34.364569569359226,34.364569569359226,34.364569569359226	0.9929116251526161	35.594596334917476	9	true	139
34	23	19	100	35943	79002	632016	0	0	40.72727345390865	40.72727345390865	49.53906187808002	49.53906187808002	21.845686409085417,21.845686409085417,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,20.342768161776625,32.60470992853973,32.60470992853973,34.833396962609704,34.833396962609704,35.74917664943852,35.74917664943852,35.74917664943852,35.74917664943852,35.74917664943852,35.74917664943852,35.74917664943852,35.74917664943852,35.74917664943852,35.74917664943852,35.74917664943852,35.74917664943852,35.74917664943852,37.899106701309606,37.899106701309606,37.899106701309606,37.899106701309606,37.899106701309606,37.899106701309606,37.899106701309606,37.899106701309606,37.899106701309606,37.899106701309606,37.899106701309606,37.899106701309606,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865,40.72727345390865	0.9929879515429774	40.72727345390865	6	true	158
