# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 13
# run: 4dc4ad86-0823-4b90-b272-ba9ba45f9365
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	35169	62370	498960	0	0	44.8570285326401	44.8570285326401	48.10793242496251	48.10793242496251	35.58302566187027,35.58302566187027,35.58302566187027,35.58302566187027,35.58302566187027,35.58302566187027,35.58302566187027,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,42.87633736070859,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401,44.8570285326401	0.9960817657423182	44.8570285326401	2	true	1063
26	15	15	100	35148	62370	498960	0	0	51.45581388821995	51.45581388821995	54.13344383196655	54.13344383196655	51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995,51.45581388821995	0.9960817657423182	51.45581388821995	2	true	483
27	15	15	100	35086	62370	498960	0	0	53.40886818426486	53.40886818426486	56.09815257770849	56.09815257770849	51.435588574880796,51.435588574880796,51.435588574880796,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486,53.40886818426486	0.9960817657423182	53.40886818426486	2	true	266
28	15	15	100	35090	62370	498960	0	0	55.16685916012021	55.16685916012021	57.93731770803121	57.93731770803121	50.02073558707718,50.02073558707718,53.278018546954684,53.278018546954684,53.278018546954684,53.278018546954684,53.278018546954684,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021,55.16685916012021	0.9960817657423182	55.16685916012021	2	true	157
29	15	15	100	35055	62370	498960	0	0	54.76021305108009	54.848033183401206	55.48243904391179	56.64013680617463	39.29534313427661,39.29534313427661,37.46530589539161,39.427976313200936,39.427976313200936,39.427976313200936,44.42506987074463,44.42506987074463,44.42506987074463,41.31689738347613,41.31689738347613,41.31689738347613,41.31689738347613,41.31689738347613,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,46.17601473872263,48.79419242081616,48.79419242081616,48.79419242081616,48.79419242081616,48.79419242081616,48.79419242081616,48.79419242081616,48.79419242081616,52.02730020952686,53.70293379088896,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,51.62428588351065,54.848033183401206,54.848033183401206,54.848033183401206,54.848033183401206,54.848033183401206,54.848033183401206,54.848033183401206,54.848033183401206,54.848033183401206,54.848033183401206,54.848033183401206,54.848033183401206,54.848033183401206,54.76021305108009,54.76021305108009,54.76021305108009,54.76021305108009	0.9956704147505866	54.848033183401206	1	true	152
30	17	17	100	35621	70686	565488	0	0	54.24183578379788	54.24183578379788	58.11320781814643	58.11320781814643	42.02330913238086,42.02330913238086,42.01049767857279,42.01049767857279,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,36.48265890988607,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,41.90274862966299,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,46.69526074322458,50.795130060543165,50.795130060543165,50.795130060543165,50.795130060543165,50.795130060543165,50.795130060543165,50.795130060543165,50.795130060543165,50.795130060543165,50.795130060543165,50.795130060543165,50.795130060543165,54.24183578379788,54.24183578379788,54.24183578379788,54.24183578379788,54.24183578379788,54.24183578379788,54.24183578379788,54.24183578379788	0.9952702495229601	54.24183578379788	2	true	299
31	18	17	100	35596	70686	565488	0	0	49.12595223230672	49.12595223230672	56.65186538186642	56.65186538186642	35.69730432718539,35.69730432718539,34.34212797309592,31.708289862541143,32.90215644682946,28.953631335030778,28.953631335030778,28.953631335030778,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,34.80800969215695,34.80800969215695,34.80800969215695,34.80800969215695,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,34.840176113354765,36.799356742901956,36.799356742901956,36.799356742901956,36.799356742901956,36.799356742901956,36.799356742901956,36.799356742901956,36.799356742901956,36.799356742901956,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,42.12569262263018,46.86006604759875,46.86006604759875,46.86006604759875,46.86006604759875,46.86006604759875,46.86006604759875,46.86006604759875,46.86006604759875,46.86006604759875,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672,49.12595223230672	0.9952827512593122	49.12595223230672	4	true	110
32	19	18	100	35674	74844	598752	0	0	51.032556267703015	51.916597028704814	59.31836677410592	59.08223075433998	51.16284762440737,51.16284762440737,51.916597028704814,51.10881984793312,48.41498804982651,48.41498804982651,48.41498804982651,48.41498804982651,48.41498804982651,48.41498804982651,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015,51.032556267703015	0.9950403199274754	51.916597028704814	4	true	108
33	20	18	100	35733	74844	598752	0	0	43.45390285316718	43.49810799557834	56.07625538923921	55.84232251278921	43.437329503350746,43.437329503350746,43.49810799557834,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718,43.45390285316718	0.9940764068108874	43.49810799557834	7	true	124
34	22	19	100	36051	79002	632016	0	0	28.398574756548456	29.261088852432295	51.598381404441405	51.598381404441405	17.589433601750635,17.589433601750635,28.617676471531638,29.261088852432295,29.261088852432295,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456,28.398574756548456	0.9932498300202512	29.261088852432295	11	true	112
