# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 4
# run: aa2e3051-2abc-4ee0-be65-03fa67e24261
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	35150	62370	498960	0	0	44.86377994791178	44.86377994791178	48.11569096696441	48.11569096696441	35.58908740154629,35.58908740154629,35.58908740154629,35.58908740154629,35.58908740154629,35.58908740154629,39.61394723622418,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,42.88298049767022,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178,44.86377994791178	0.9960817657423182	44.86377994791178	2	true	767
26	15	15	100	35016	62370	498960	0	0	51.38107382962586	51.38107382962586	54.05819040917788	54.05819040917788	51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586,51.38107382962586	0.9960817657423182	51.38107382962586	2	true	408
27	15	15	100	35007	62370	498960	0	0	53.400576260957536	53.400576260957536	56.10785844267992	56.10785844267992	53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536,53.400576260957536	0.9960817657423182	53.400576260957536	2	true	257
28	15	15	100	34986	62370	498960	0	0	54.82375194981695	54.82375194981695	57.496152650002934	57.496152650002934	50.90315966715542,50.90315966715542,52.8846730026179,52.8846730026179,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695,54.82375194981695	0.9957029850637148	54.82375194981695	2	true	155
29	17	17	100	35501	70686	565488	0	0	49.99812258388168	49.99812258388168	57.110466924217825	57.110466924217825	33.51873924345033,33.51873924345033,44.093448711938635,44.093448711938635,44.093448711938635,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,40.895791226204715,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,45.91795233367109,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168,49.99812258388168	0.9952702495229601	49.99812258388168	3	true	146
30	19	18	100	35609	74844	598752	0	0	53.15339989208134	53.15339989208134	58.06241123265772	58.06241123265772	42.10739494143956,42.10739494143956,42.74956229994873,42.74956229994873,42.74956229994873,42.74956229994873,42.74956229994873,42.74956229994873,42.74956229994873,42.74956229994873,42.74956229994873,42.74956229994873,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,44.70959922322322,46.671693019976374,46.671693019976374,51.12028184380231,51.12028184380231,51.12028184380231,51.12028184380231,51.12028184380231,51.12028184380231,51.12028184380231,51.12028184380231,51.12028184380231,51.12028184380231,53.15339989208134,53.15339989208134,53.15339989208134,53.15339989208134,53.15339989208134,53.15339989208134	0.9950938361322115	53.15339989208134	3	true	118
31	20	18	100	35508	74844	598752	0	0	50.29963018408241	51.22703115981511	58.99019360745197	58.28845772327738	50.49284265839696,50.49284265839696,51.22703115981511,51.22703115981511,50.39825220706577,47.69025906818324,47.69025906818324,47.69025906818324,47.69025906818324,47.69025906818324,47.69025906818324,47.69025906818324,47.69025906818324,47.69025906818324,47.69025906818324,47.69025906818324,47.69025906818324,47.69025906818324,50.307664958186514,51.06201635937295,51.06201635937295,51.06201635937295,51.06201635937295,51.06201635937295,51.06201635937295,51.06201635937295,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241,50.29963018408241	0.9949014117457835	51.22703115981511	4	true	222
32	20	17	100	35304	70686	565488	0	0	50.384529196486604	50.384529196486604	57.95854510207358	57.95854510207358	42.78499649019937,42.78499649019937,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,46.802645297011075,44.769603452244695,44.769603452244695,38.81992520672692,38.81992520672692,38.81992520672692,38.81992520672692,38.81992520672692,38.81992520672692,38.81992520672692,38.81992520672692,38.81992520672692,43.86325346358271,43.86325346358271,43.86325346358271,43.86325346358271,43.86325346358271,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,46.43509092567099,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604,50.384529196486604	0.994858642647736	50.384529196486604	4	true	110
33	22	20	100	36039	83160	665280	0	0	31.22666916162821	33.72670313964599	52.82749216668919	52.82749216668919	17.40652574163316,17.40652574163316,17.40652574163316,21.993526799535964,21.993526799535964,27.89627904675592,27.89627904675592,27.89627904675592,27.89627904675592,27.89627904675592,27.89627904675592,27.89627904675592,27.89627904675592,27.89627904675592,33.18237219538682,33.72670313964599,33.10001623680944,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821,31.22666916162821	0.9933596405933574	33.72670313964599	9	true	319
34	23	21	100	36360	87318	698544	0	0	32.280651599972614	38.11774556045435	53.94171775705117	53.478587123226774	38.11774556045435,38.11774556045435,36.083955986235516,36.083955986235516,36.083955986235516,36.083955986235516,36.083955986235516,36.083955986235516,36.083955986235516,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,33.3056191402459,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,31.412351931716117,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614,32.280651599972614	0.9929575745169286	38.11774556045435	9	true	166
