# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 28
# run: abc326be-5569-4a5a-9e01-6bc1c6d3e682
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	34918	62370	498960	0	0	44.858190901619935	44.858190901619935	48.10963086544517	48.10963086544517	36.86171380249087,36.86171380249087,35.583598639798176,35.583598639798176,35.583598639798176,35.583598639798176,39.60924893278971,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,42.877597476688095,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935,44.858190901619935	0.9960817657423182	44.858190901619935	2	true	877
26	15	15	100	35039	62370	498960	0	0	51.427523064812206	51.427523064812206	54.10509867960231	54.10509867960231	51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206,51.427523064812206	0.9960817657423182	51.427523064812206	2	true	261
27	15	15	100	34925	62370	498960	0	0	53.47754557289805	53.47754557289805	56.16685456542342	56.16685456542342	53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805,53.47754557289805	0.9960817657423182	53.47754557289805	2	true	162
28	15	15	100	34981	62370	498960	0	0	55.26299488241925	55.26299488241925	58.07058777132117	58.07058777132117	53.34102580011715,53.34102580011715,53.34102580011715,53.34102580011715,53.34102580011715,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925,55.26299488241925	0.9960817657423182	55.26299488241925	2	true	142
29	15	15	100	34981	62370	498960	0	0	56.32912646460116	56.32912646460116	59.06975896511198	59.06975896511198	49.300608301110685,49.300608301110685,51.280376548837836,54.51667511851217,54.51667511851217,54.51667511851217,54.51667511851217,54.51667511851217,54.51667511851217,54.51667511851217,54.51667511851217,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116,56.32912646460116	0.9957029850637148	56.32912646460116	2	true	150
30	16	15	100	35059	62370	498960	0	0	46.7452261984636	46.7452261984636	57.113805284347734	57.113805284347734	28.666860518264116,28.666860518264116,41.89095856923191,41.89095856923191,39.9800103161379,36.351308186147776,36.351308186147776,36.351308186147776,36.351308186147776,36.351308186147776,36.351308186147776,36.351308186147776,36.351308186147776,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,41.85724639141438,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636,46.7452261984636	0.9954647575321134	46.7452261984636	4	true	110
31	17	16	100	35241	66528	532224	0	0	48.15388794236681	48.15388794236681	56.19192200440508	56.19192200440508	33.25413869550079,33.25413869550079,33.25386625041132,31.75057584206752,31.75057584206752,31.75057584206752,31.75057584206752,31.75057584206752,31.75057584206752,31.75057584206752,34.82272201013912,34.82272201013912,34.82272201013912,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,30.904395870021574,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,36.41052486822626,41.469722987438715,41.469722987438715,41.469722987438715,41.469722987438715,41.469722987438715,41.469722987438715,41.469722987438715,46.02719130701794,46.02719130701794,46.02719130701794,46.02719130701794,46.02719130701794,46.02719130701794,46.02719130701794,48.024311575126625,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.15388794236681,48.024311575126625,48.024311575126625,48.024311575126625,48.024311575126625,48.024311575126625,48.024311575126625,48.024311575126625,48.024311575126625,48.15388794236681	0.9953070967458931	48.15388794236681	4	true	236
32	18	17	100	35340	70686	565488	0	0	54.323172583997504	54.323172583997504	58.14222788265227	58.14222788265227	41.40336743904715,41.40336743904715,46.48153602640584,46.48153602640584,46.48153602640584,49.01129733062672,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,49.651745745542584,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,52.755960056036216,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504,54.323172583997504	0.9950826503681066	54.323172583997504	3	true	90
33	18	18	100	35529	74844	598752	0	0	57.10577547433266	57.10577547433266	60.58005424380642	60.58005424380642	48.58661568950626,48.58661568950626,48.58661568950626,53.14933550317378,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266,57.10577547433266	0.9949661868241935	57.10577547433266	3	true	124
34	18	18	100	35584	74844	598752	0	0	45.43617556730575	45.43617556730575	53.012286023418056	53.012286023418056	17.20812528015859,17.20812528015859,18.831322988437485,18.831322988437485,18.831322988437485,18.831322988437485,18.831322988437485,18.831322988437485,21.39402424513733,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.68701812485429,23.749930325115038,27.273506318345646,27.273506318345646,27.273506318345646,31.62915242396207,31.62915242396207,31.62915242396207,31.62915242396207,31.62915242396207,31.62915242396207,31.361265646273118,31.361265646273118,31.361265646273118,31.361265646273118,31.361265646273118,31.361265646273118,31.361265646273118,31.361265646273118,31.361265646273118,31.361265646273118,31.361265646273118,31.361265646273118,35.66959746567432,43.198030666448126,43.198030666448126,43.89046676450414,43.89046676450414,43.89046676450414,43.89046676450414,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,41.79845811146065,44.2624389367177,44.2624389367177,44.2624389367177,44.2624389367177,44.2624389367177,44.2624389367177,44.2624389367177,44.2624389367177,44.2624389367177,44.2624389367177,44.2624389367177,45.43617556730575,45.43617556730575,45.43617556730575,45.43617556730575,45.43617556730575	0.9939323809593438	45.43617556730575	4	true	108
