# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 14
# run: f9a2f729-df67-4ebe-9430-8204f3889966
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	35140	62370	498960	0	0	44.85130543549893	44.85130543549893	48.10187688940085	48.10187688940085	36.85586193418741,36.85586193418741,35.577561748110476,35.577561748110476,35.577561748110476,35.577561748110476,39.60268080755246,39.60268080755246,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,42.87061766923438,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893,44.85130543549893	0.9964291824156865	44.85130543549893	2	true	1177
26	15	15	100	35160	62370	498960	0	0	51.400993721871146	51.400993721871146	54.077134526828175	54.077134526828175	51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146,51.400993721871146	0.9960817657423182	51.400993721871146	2	true	261
27	15	15	100	35129	62370	498960	0	0	53.41234141989567	53.41234141989567	56.08961299310687	56.08961299310687	53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567,53.41234141989567	0.9960817657423182	53.41234141989567	2	true	238
28	15	15	100	35202	62370	498960	0	0	55.144769893994095	55.144769893994095	57.89402642645005	57.89402642645005	49.97783808330777,49.97783808330777,49.97783808330777,53.217341694470406,53.217341694470406,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095,55.144769893994095	0.9960817657423182	55.144769893994095	2	true	157
29	15	15	100	35133	62370	498960	0	0	57.55259081555058	58.625858941707634	59.2434945714442	59.36148325486699	51.43160715406127,51.43160715406127,51.43160715406127,51.43160715406127,51.43160715406127,51.43160715406127,51.43160715406127,51.43160715406127,51.43160715406127,54.561380558187366,54.561380558187366,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,56.38069247229423,58.625858941707634,58.625858941707634,58.625858941707634,58.625858941707634,58.625858941707634,58.625858941707634,58.625858941707634,58.625858941707634,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058,57.55259081555058	0.9960817657423182	58.625858941707634	1	true	140
30	15	15	100	35105	62370	498960	0	0	58.885305613179575	58.885305613179575	59.586390569724706	59.586390569724706	49.643641071320886,49.643641071320886,49.638484894966695,51.61736873738374,51.61736873738374,51.61736873738374,51.61736873738374,51.61736873738374,51.61736873738374,51.61736873738374,51.61736873738374,51.61736873738374,51.61736873738374,51.61736873738374,51.61736873738374,54.63541448682642,54.63541448682642,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,56.344085332308225,57.60718687565135,57.60718687565135,57.60718687565135,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575,58.885305613179575	0.9957029850637148	58.885305613179575	1	true	93
31	16	15	100	35061	62370	498960	0	0	57.75899163299024	57.75899163299024	58.75885511218321	58.75885511218321	42.92460013519231,42.92460013519231,42.92460013519231,42.92460013519231,42.92460013519231,42.92460013519231,42.92460013519231,42.92460013519231,41.094733801225324,41.094733801225324,41.094733801225324,41.094733801225324,41.094733801225324,41.094733801225324,41.094733801225324,41.094733801225324,41.094733801225324,41.094733801225324,41.094733801225324,41.094733801225324,42.73362094770022,47.46873862168719,47.46873862168719,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,51.685890542638944,55.10286757930571,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024,57.75899163299024	0.9955094640337474	57.75899163299024	1	true	234
32	17	16	100	35340	66528	532224	0	0	54.9853815646744	54.9853815646744	57.5861446056974	57.5861446056974	39.09033721018261,39.09033721018261,39.09030678262536,39.09030678262536,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,48.52899721331225,52.14995610322626,52.14995610322626,52.14995610322626,52.14995610322626,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744,54.9853815646744	0.9952701398586062	54.9853815646744	3	true	84
33	17	16	100	35357	66528	532224	0	0	55.14496786602021	55.14496786602021	56.544694750408304	56.544694750408304	42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,42.725052145183014,46.16871483041164,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,48.83238395384202,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021,55.14496786602021	0.9952902084353822	55.14496786602021	2	true	87
34	17	16	100	35351	66528	532224	0	0	54.23610810235499	54.23610810235499	58.79688932143554	58.79688932143554	50.949673375666414,50.949673375666414,50.94901121500033,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,50.852713052571296,54.23610810235499,54.23610810235499	0.9951905235376258	54.23610810235499	4	true	95
