# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 5
# run: 328d626b-0479-41e8-b92a-fb114e0db635
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	45299	80190	641520	0	0	48.045617577856035	48.066502020049725	57.51307325341035	57.62116773022228	32.364841913014665,32.364841913014665,31.086797449138757,31.086797449138757,31.086797449138757,31.086797449138757,36.186458114477844,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,40.79533700245661,44.80896248891433,44.80896248891433,44.80896248891433,44.80896248891433,44.80896248891433,44.80896248891433,44.80896248891433,48.066502020049725,48.066502020049725,48.066502020049725,48.066502020049725,48.066502020049725,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035,48.045617577856035	0.9964291824156865	48.066502020049725	7	true	1211
26	15	15	100	45143	80190	641520	0	0	59.7016907171744	59.7016907171744	64.53509906664723	64.53509906664723	56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,56.665121398917975,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.428234843646464,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744,59.7016907171744	0.9964291824156865	59.7016907171744	5	true	324
27	15	15	100	45130	80190	641520	0	0	62.96400616996509	63.00222085225337	67.88579631477806	67.78935222502584	59.7395128174154,59.7395128174154,63.00222085225337,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509,62.96400616996509	0.9960817657423182	63.00222085225337	5	true	364
28	15	15	100	45278	80190	641520	0	0	65.76844942582561	65.76844942582561	70.54024133828177	70.54024133828177	58.568125624096666,58.568125624096666,62.58681832809954,62.58681832809954,62.58681832809954,62.58681832809954,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561,65.76844942582561	0.9960817657423182	65.76844942582561	5	true	182
29	15	15	100	45213	80190	641520	0	0	67.60978307139439	67.60978307139439	72.37200404823736	72.37200404823736	60.6107891838697,60.6107891838697,60.6107891838697,60.6107891838697,60.6107891838697,60.6107891838697,64.53230927089733,64.53230927089733,64.53230927089733,64.53230927089733,64.53230927089733,64.53230927089733,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439,67.60978307139439	0.9960817657423182	67.60978307139439	5	true	330
30	15	15	100	45320	80190	641520	0	0	67.55436678158371	67.55436678158371	69.78725504912735	69.78725504912735	56.19895284167738,56.19895284167738,54.130235734379106,54.130235734379106,54.130235734379106,54.130235734379106,54.130235734379106,54.130235734379106,54.130235734379106,54.130235734379106,54.130235734379106,54.130235734379106,57.953494736987714,57.953494736987714,57.953494736987714,57.953494736987714,57.953494736987714,57.953494736987714,57.953494736987714,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,60.905338615925025,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,66.61698768817588,67.55436678158371,67.55436678158371,67.55436678158371	0.9957029850637148	67.55436678158371	4	true	113
31	17	16	100	45435	85536	684288	0	0	58.37311047895416	58.37311047895416	69.57959002454034	69.57959002454034	33.33685755507295,33.33685755507295,49.46244496838193,49.46244496838193,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,44.59956454353975,50.28850222954233,50.28850222954233,50.28850222954233,50.28850222954233,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,53.64430310842056,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416,58.37311047895416	0.9952870281691172	58.37311047895416	7	true	270
32	17	15	100	45227	80190	641520	0	0	57.289059388814955	60.4279226431951	65.33401840769535	65.32733910632848	34.522566856891856,34.522566856891856,33.22084399341415,34.46523372200034,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,33.14195415840804,36.76511330308881,36.76511330308881,36.76511330308881,36.76511330308881,36.76511330308881,36.76511330308881,36.76511330308881,36.76511330308881,36.76511330308881,36.76511330308881,39.47355775005069,39.47355775005069,39.47355775005069,40.796837313642975,40.796837313642975,40.796837313642975,43.438264103274946,44.94044375997313,43.43748708316508,43.43748708316508,43.43748708316508,42.19309735457888,42.19309735457888,42.19309735457888,42.19309735457888,42.19309735457888,42.19309735457888,42.19309735457888,42.19309735457888,42.19309735457888,39.53287791863842,39.53287791863842,39.53287791863842,40.77726764722461,40.77726764722461,40.77726764722461,40.77726764722461,40.77726764722461,40.77726764722461,45.7158714979049,58.01134775341768,58.01134775341768,58.01134775341768,58.01134775341768,58.01134775341768,59.2560839367318,59.2560839367318,59.2560839367318,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,60.4279226431951,57.289059388814955,57.289059388814955,57.289059388814955,57.289059388814955,57.289059388814955,57.289059388814955,57.289059388814955,57.289059388814955,57.289059388814955,57.289059388814955,57.289059388814955	0.9953069870815391	60.4279226431951	5	true	223
33	17	16	100	45426	85536	684288	0	0	63.17127787815569	63.17127787815569	67.74057879459791	67.74057879459791	35.561307419553614,35.561307419553614,34.25956607679066,34.25956607679066,34.25956607679066,34.25956607679066,35.49828704512502,35.49828704512502,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,34.16869749138864,35.49828704512502,35.49828704512502,35.49828704512502,35.49828704512502,35.49828704512502,39.024747568455034,39.024747568455034,39.024747568455034,39.024747568455034,37.78602660012068,37.78602660012068,37.78602660012068,37.78602660012068,37.78602660012068,37.78602660012068,37.78602660012068,37.78602660012068,40.37089303870681,40.37089303870681,40.37089303870681,40.37089303870681,40.37089303870681,40.37089303870681,40.37089303870681,58.781445412587814,58.781445412587814,58.781445412587814,58.781445412587814,58.781445412587814,58.781445412587814,58.781445412587814,58.781445412587814,58.781445412587814,58.781445412587814,58.781445412587814,58.781445412587814,58.781445412587814,61.251251968113195,61.251251968113195,61.251251968113195,61.251251968113195,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,62.39454552613776,63.17127787815569,63.17127787815569,63.17127787815569,63.17127787815569,63.17127787815569,63.17127787815569,63.17127787815569	0.9952902084353822	63.17127787815569	4	true	305
34	18	17	100	45630	90882	727056	0	0	44.57568969456337	48.24280338608524	71.09492111478704	69.9546365081758	44.91144992690511,44.91144992690511,48.24280338608524,42.18031721642281,42.18031721642281,42.18031721642281,42.18031721642281,42.18031721642281,42.18031721642281,43.41335333272337,43.41335333272337,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,42.0820802967463,44.57568969456337	0.994928096738582	48.24280338608524	11	true	118
