# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 3
# run: 5540ea76-6614-46df-be2c-d815af13d346
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	45326	80190	641520	0	0	49.95422205638383	49.95422205638383	58.58876959342535	58.58876959342535	31.084900832629728,31.084900832629728,31.084368711268354,31.084368711268354,31.084368711268354,31.084368711268354,36.18472905069247,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,40.79306038543633,48.0652408306979,48.0652408306979,48.0652408306979,48.0652408306979,48.0652408306979,48.0652408306979,48.0652408306979,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.04478937195181,48.0652408306979,48.0652408306979,48.0652408306979,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383,49.95422205638383	0.9966306358339244	49.95422205638383	6	true	1241
26	15	15	100	45152	80190	641520	0	0	59.505910476751964	59.718032881649606	64.3445521600908	64.61845085974686	56.469247349485045,56.469247349485045,56.469247349485045,56.469247349485045,56.469247349485045,56.469247349485045,56.469247349485045,56.469247349485045,56.469247349485045,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,58.30514937668141,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.718032881649606,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964,59.505910476751964	0.9964291824156865	59.718032881649606	5	true	339
27	15	15	100	45121	80190	641520	0	0	64.01729915231073	64.01729915231073	68.120118557254	68.120118557254	63.061823644509076,63.061823644509076,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,63.04581485556561,64.01729915231073,64.01729915231073,64.01729915231073,64.01729915231073,64.01729915231073,64.01729915231073,64.01729915231073,64.01729915231073	0.9960817657423182	64.01729915231073	4	true	383
28	15	15	100	45094	80190	641520	0	0	66.64385202025468	66.64385202025468	70.7314148311456	70.7314148311456	58.311122446761345,58.311122446761345,62.327003148299966,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.57781095171804,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,65.29848342847977,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468,66.64385202025468	0.9960817657423182	66.64385202025468	4	true	228
29	15	15	100	45197	80190	641520	0	0	68.5415735280434	68.5415735280434	72.64066969581262	72.64066969581262	60.37845699840612,60.37845699840612,60.37845699840612,60.37845699840612,60.37845699840612,60.37845699840612,64.29922741386757,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.45249293799696,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,67.04883739102958,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434,68.5415735280434	0.9960817657423182	68.5415735280434	4	true	191
30	15	14	100	44968	74844	598752	0	0	60.348055028409554	63.43676874274013	67.99130938740609	68.22597387120521	48.59636631485077,48.59636631485077,48.59636631485077,48.59636631485077,48.59636631485077,48.59636631485077,48.59636631485077,48.59636631485077,48.59636631485077,48.59636631485077,48.59636631485077,53.922268857306804,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,58.80882809284061,63.42558469903095,63.43676874274013,63.43676874274013,63.43676874274013,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554,60.348055028409554	0.9959217654498799	63.43676874274013	5	true	116
31	15	14	100	44913	74844	598752	0	0	63.00243050548761	63.00243050548761	67.59673696472044	67.59673696472044	35.35446132634995,35.35446132634995,44.08856941491457,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,45.133252511563356,49.443662303114564,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,53.15785601423985,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,57.268484786065635,60.51983347548645,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761,63.00243050548761	0.9957118678763863	63.00243050548761	5	true	117
32	16	16	100	45295	85536	684288	0	0	68.65129777884992	68.65129777884992	72.71577972485319	72.71577972485319	47.61608292978035,47.61608292978035,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,60.809152011658114,65.02786368893167,65.02786368893167,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992,68.65129777884992	0.9955252557007185	68.65129777884992	5	true	150
33	17	15	100	45106	80190	641520	0	0	46.83860303493435	46.83860303493435	66.04709046111168	66.04709046111168	38.124533065797216,38.124533065797216,40.74017865174761,40.74017865174761,37.27729963712105,37.27729963712105,37.27729963712105,37.27729963712105,35.89702663157496,35.89702663157496,35.89702663157496,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,32.736856029403796,37.838275508814135,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,42.500870723255076,46.83860303493435,46.83860303493435,46.83860303493435,46.83860303493435,46.83860303493435	0.9953418603461007	46.83860303493435	10	true	194
34	17	14	100	44931	74844	598752	0	0	50.85791523882816	53.32027191030036	63.972150345115864	63.896767896313236	28.326146123335022,28.326146123335022,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,26.596621592900554,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,32.705919874747956,33.87298485858272,33.87298485858272,33.87298485858272,33.87298485858272,33.87298485858272,33.87298485858272,33.87298485858272,33.87298485858272,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,47.05258187572222,50.513908937980304,50.513908937980304,50.513908937980304,50.513908937980304,50.513908937980304,50.513908937980304,50.513908937980304,50.513908937980304,50.513908937980304,53.32027191030036,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816,50.85791523882816	0.9953787075690337	53.32027191030036	7	true	114
