# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 14
# run: 6e6ba85f-1820-4616-95d9-5e5228eeaa97
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	45203	80190	641520	0	0	48.035240294450276	48.035240294450276	56.880266402971415	56.880266402971415	31.053677334073768,31.053677334073768,31.053677334073768,31.053677334073768,31.053677334073768,31.053677334073768,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,40.762916828706615,44.7768050092742,44.7768050092742,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.014096379312534,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276,48.035240294450276	0.9964291824156865	48.035240294450276	7	true	1446
26	15	15	100	45148	80190	641520	0	0	58.98489945107903	59.83320159756751	64.09840690464115	63.97527850850359	56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,56.4778320450354,58.104719511612885,58.104719511612885,59.83320159756751,59.83320159756751,59.83320159756751,59.83320159756751,59.83320159756751,59.83320159756751,59.83320159756751,59.83320159756751,59.83320159756751,59.83320159756751,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,59.24864634004906,58.98489945107903,58.98489945107903,58.98489945107903,58.98489945107903	0.9960817657423182	59.83320159756751	5	true	319
27	15	15	100	45274	80190	641520	0	0	62.869335221470976	62.869335221470976	67.09131851401102	67.09131851401102	62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976,62.869335221470976	0.9960817657423182	62.869335221470976	5	true	341
28	15	15	100	45090	80190	641520	0	0	65.2338166462356	65.2338166462356	69.53744117020268	69.53744117020268	62.07350611726814,62.07350611726814,62.07350611726814,62.07350611726814,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356,65.2338166462356	0.9960817657423182	65.2338166462356	5	true	444
29	15	15	100	45131	80190	641520	0	0	67.06481673521041	67.23949265065146	71.44457442178529	71.57100199315306	60.16569801529788,60.16569801529788,60.16569801529788,60.16569801529788,64.12625180921687,64.12625180921687,64.12625180921687,64.12625180921687,64.12625180921687,67.23949265065146,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041,67.06481673521041	0.9960817657423182	67.23949265065146	5	true	165
30	15	14	100	45010	74844	598752	0	0	61.287246995861295	61.287246995861295	65.41257782151078	65.41257782151078	42.80833572177117,42.80833572177117,41.52620003290539,41.52620003290539,41.52620003290539,41.52620003290539,38.88464325497492,38.88464325497492,44.64123662819638,44.64123662819638,44.64123662819638,44.64123662819638,44.64123662819638,44.64123662819638,44.64123662819638,49.89963418191374,49.89963418191374,49.89963418191374,49.89963418191374,49.89963418191374,49.89963418191374,49.89963418191374,49.89963418191374,49.89963418191374,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,49.85878697053337,57.58411268620091,57.58411268620091,57.57876470959384,57.57876470959384,57.57876470959384,57.57876470959384,57.57876470959384,57.57876470959384,57.57876470959384,57.57876470959384,57.57876470959384,57.57876470959384,57.57876470959384,57.57876470959384,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295,61.287246995861295	0.9957118678763863	61.287246995861295	5	true	106
31	16	15	100	45307	80190	641520	0	0	55.831155604665156	59.220883190279366	68.19564827642097	68.69908115725396	45.896085386572366,45.896085386572366,49.16543966615315,45.0220128825131,45.0220128825131,45.0220128825131,45.0220128825131,45.0220128825131,45.0220128825131,45.0220128825131,45.0220128825131,45.0220128825131,45.0220128825131,45.0220128825131,50.686857476592365,50.686857476592365,50.686857476592365,50.686857476592365,50.686857476592365,50.686857476592365,50.686857476592365,50.686857476592365,50.686857476592365,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,55.831155604665156,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,59.220883190279366,59.220883190279366,59.220883190279366,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,58.423779386091866,55.831155604665156,55.831155604665156,55.831155604665156	0.99553413851339	59.220883190279366	7	true	119
32	17	17	100	45518	90882	727056	0	0	55.18947038467282	57.42891772541245	69.48591954769297	68.82226511568051	42.93437452496043,42.93437452496043,54.843858159435385,57.42891772541245,57.42891772541245,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282,55.18947038467282	0.9952859315255773	57.42891772541245	9	true	148
33	17	16	100	45412	85536	684288	0	0	60.38214994005757	62.88000548761528	67.44522835726774	67.83674541379891	51.1337311293205,51.1337311293205,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,49.7933678405997,53.532975330506524,53.532975330506524,53.532975330506524,53.532975330506524,53.532975330506524,53.532975330506524,53.532975330506524,53.532975330506524,53.532975330506524,53.532975330506524,53.532975330506524,53.532975330506524,53.532975330506524,59.84469194555702,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.78933528196373,62.88000548761528,62.88000548761528,62.88000548761528,62.88000548761528,60.38214994005757,60.38214994005757,60.38214994005757	0.9953227787485104	62.88000548761528	6	true	238
34	17	16	100	45369	85536	684288	0	0	64.4343024977372	64.4343024977372	67.38321230189369	67.38321230189369	33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,33.659399935880906,39.05290914281444,39.05290914281444,39.05290914281444,39.05290914281444,39.05290914281444,39.05290914281444,39.05290914281444,39.05290914281444,39.05290914281444,39.05290914281444,39.05290914281444,39.05290914281444,39.05290914281444,43.85527045358788,43.85527045358788,43.85527045358788,43.85527045358788,53.38436469754072,53.38436469754072,57.670696985564476,57.670696985564476,61.43377932844052,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,62.599918224439705,64.4343024977372,64.4343024977372,64.4343024977372,64.4343024977372,64.4343024977372,64.4343024977372,64.4343024977372,64.4343024977372,64.4343024977372,64.4343024977372,64.4343024977372	0.9952902084353822	64.4343024977372	5	true	126
