# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 30
# run: 95f5bd2a-d1df-40b2-8436-9eae5ac86794
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	45222	80190	641520	0	0	47.90905711356157	48.04551140268876	57.530689211231916	57.498140887610205	32.34475756742998,32.34475756742998,31.06658911985828,31.06658911985828,31.06658911985828,31.06658911985828,36.16579732788888,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,40.774143365498794,44.787863181640546,44.787863181640546,44.787863181640546,44.787863181640546,44.787863181640546,44.787863181640546,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.02430239999647,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,48.04551140268876,47.90905711356157,47.90905711356157	0.9960817657423182	48.04551140268876	7	true	1155
26	15	15	100	45278	80190	641520	0	0	58.935111265098726	59.7734018626647	64.075038612625	63.96820748154859	56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,56.41991951008829,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.7734018626647,59.18905644082106,59.18905644082106,59.18905644082106,59.18905644082106,59.18905644082106,59.18905644082106,59.18905644082106,59.18905644082106,59.18905644082106,59.18905644082106,59.18905644082106,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726,58.935111265098726	0.9960817657423182	59.7734018626647	5	true	350
27	15	15	100	45306	80190	641520	0	0	62.88963304810221	62.88963304810221	67.19589986084658	67.19589986084658	62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221,62.88963304810221	0.9960817657423182	62.88963304810221	5	true	352
28	15	15	100	45278	80190	641520	0	0	66.31263529666491	66.31263529666491	68.13939862952304	68.13939862952304	58.12154769684557,58.12154769684557,62.14938127444542,65.38204275204018,65.38204275204018,65.38204275204018,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,65.28297375932328,66.31263529666491,66.31263529666491,66.31263529666491	0.9959128826372083	66.31263529666491	4	true	187
29	16	16	100	45496	85536	684288	0	0	63.477069460825646	64.73592657580375	69.75167276589838	69.26382814367992	54.448271761897985,54.448271761897985,54.448271761897985,54.448271761897985,54.40914597284828,61.54229752891912,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,61.447319506397264,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,63.43794367177594,64.73592657580375,64.73592657580375,64.73592657580375,64.73592657580375,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646,63.477069460825646	0.9955637844437458	64.73592657580375	6	true	221
30	17	16	100	45487	85536	684288	0	0	55.35309184946695	56.692810088787326	67.38290401994986	67.21508124798653	46.1319747256212,46.1319747256212,40.14504803827804,40.14504803827804,40.14504803827804,40.14504803827804,40.14504803827804,40.14504803827804,37.69451270198256,37.69451270198256,37.69451270198256,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,43.8464349978215,47.778349697113995,47.778349697113995,47.778349697113995,52.78595045257016,54.615242796203574,54.615242796203574,53.91056580652584,53.91056580652584,53.91056580652584,53.91056580652584,53.91056580652584,53.91056580652584,50.78292560688753,50.78292560688753,50.78292560688753,50.78292560688753,50.78292560688753,50.78292560688753,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,52.22504526213284,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,55.352685461771145,56.692810088787326,55.35309184946695,55.35309184946695	0.9952870281691172	56.692810088787326	8	true	142
31	17	16	100	45566	85536	684288	0	0	62.68902017119582	62.68902017119582	68.1955565304091	68.1955565304091	43.07593025979202,43.07593025979202,43.07593025979202,40.97268732025732,40.97268732025732,40.97268732025732,46.2598947393329,46.2598947393329,46.2598947393329,48.08316934295574,48.661235611544384,48.2643702764652,48.2643702764652,48.2643702764652,48.2643702764652,48.2643702764652,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,51.99311312107987,50.188025730671484,50.188025730671484,50.188025730671484,51.55159568124231,51.55159568124231,51.55159568124231,51.55159568124231,51.55159568124231,51.55159568124231,51.55159568124231,54.85222185296799,54.85222185296799,54.85222185296799,54.85222185296799,54.85222185296799,54.85222185296799,54.85222185296799,54.85222185296799,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,53.85491649596531,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,55.27824297419718,62.68902017119582,62.68902017119582,62.68902017119582,62.68902017119582,62.68902017119582	0.9952701398586062	62.68902017119582	6	true	144
32	18	17	100	45830	90882	727056	0	0	51.59424729225325	51.59424729225325	68.07833941835736	68.07833941835736	42.77466444639532,42.77466444639532,47.3668579876016,45.24868160859893,45.24868160859893,44.00348865864601,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,41.64429286600798,46.8764446193012,46.8764446193012,46.8764446193012,46.8764446193012,46.8764446193012,46.8764446193012,46.8764446193012,46.8764446193012,46.8764446193012,46.8764446193012,46.8764446193012,46.8764446193012,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325,51.59424729225325	0.994849832944634	51.59424729225325	9	true	222
33	19	18	100	46019	96228	769824	0	0	56.43549242581769	57.28025018599935	70.91124694979676	70.99304026492224	56.60491478168313,56.60491478168313,56.60480040508798,56.60480040508798,56.60480040508798,56.60480040508798,56.60480040508798,56.60480040508798,56.60480040508798,56.60480040508798,57.28025018599935,57.28025018599935,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769,56.43549242581769	0.9946035268056237	57.28025018599935	9	true	158
34	21	20	100	46302	106920	855360	0	0	43.31735588182008	49.38251641141471	68.27252603485618	68.83791426622726	39.11049246227818,39.11049246227818,48.23269354198531,48.23269354198531,45.496443066775726,45.496443066775726,45.496443066775726,45.496443066775726,45.496443066775726,45.496443066775726,48.83641060414229,48.83641060414229,48.06397635468143,48.06397635468143,48.06397635468143,45.42787756987268,45.42787756987268,45.42787756987268,49.36509231926286,49.36509231926286,49.36509231926286,49.36509231926286,49.38251641141471,49.38251641141471,49.38251641141471,49.38251641141471,48.05925147181954,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,44.96786030002792,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,45.086375205991686,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008,43.31735588182008	0.993661436895475	49.38251641141471	11	true	182
