# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 22
# run: a823daf0-1519-4341-a28e-074dc5971486
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	45236	80190	641520	0	0	47.92566788703773	48.061353104392126	57.52665345848088	57.56214351888973	31.081370505364944,31.081370505364944,31.081370505364944,31.081370505364944,31.081370505364944,31.081370505364944,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,40.789964284395545,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,44.80415982742507,48.061353104392126,48.061353104392126,48.061353104392126,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,46.711240917030494,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,48.061353104392126,47.92566788703773,47.92566788703773,47.92566788703773,47.92566788703773,47.92566788703773,47.92566788703773	0.9960817657423182	48.061353104392126	7	true	1220
26	15	15	100	45187	80190	641520	0	0	57.271589645893286	59.94347849505078	63.928284292169835	64.12137766267531	56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,56.58652315517638,58.21316643977116,58.21316643977116,58.21316643977116,59.94347849505078,59.94347849505078,59.94347849505078,59.94347849505078,59.94347849505078,59.94347849505078,59.94347849505078,59.94347849505078,59.94347849505078,59.94347849505078,59.36018066777021,59.36018066777021,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,59.136009535576775,57.271589645893286,57.271589645893286,57.271589645893286,57.271589645893286,57.271589645893286	0.9960817657423182	59.94347849505078	5	true	314
27	15	15	100	45118	80190	641520	0	0	64.01086807986677	64.01086807986677	66.12803741605228	66.12803741605228	63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,63.09265539611445,64.01086807986677,64.01086807986677	0.9959128826372083	64.01086807986677	4	true	227
28	16	16	100	45257	85536	684288	0	0	56.24935308167689	58.416541568333784	66.53736995195555	66.20895532763927	35.359085735630345,35.359085735630345,55.1878082643352,58.416541568333784,58.37874662009585,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689,56.24935308167689	0.9955312141306174	58.416541568333784	7	true	195
29	17	17	100	45604	90882	727056	0	0	61.35864272748536	61.35864272748536	69.35720840075264	69.35720840075264	43.16588065184047,43.16588065184047,44.50487072145934,44.50487072145934,44.50487072145934,44.50487072145934,48.409411850927185,48.409411850927185,52.10064676930372,51.509144099748625,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,56.458930968356626,58.605166631739046,58.88055652228469,58.88055652228469,58.88055652228469,58.88055652228469,58.88055652228469,58.88055652228469,58.88055652228469,58.88055652228469,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,57.52074842665994,57.52074842665994,57.52074842665994,57.52074842665994,57.52074842665994,57.52074842665994,57.52074842665994,57.52074842665994,57.52074842665994,57.52074842665994,57.52074842665994,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,58.881270378820076,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536,61.35864272748536	0.9952702495229601	61.35864272748536	6	true	211
30	19	19	100	45926	101574	812592	0	0	62.7554497633092	64.08017134786854	71.09599020172152	70.58909044239702	52.96788858300887,52.96788858300887,60.834113928117915,62.83599073361596,62.83599073361596,64.08017134786854,64.08017134786854,64.08017134786854,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092,62.7554497633092	0.9950569889092784	64.08017134786854	7	true	159
31	20	19	100	45995	101574	812592	0	0	63.591566211433296	65.8068862488305	72.41416145691242	72.26143745183496	54.049288492367396,54.049288492367396,65.8068862488305,65.8068862488305,65.8068862488305,65.8068862488305,65.8068862488305,65.8068862488305,65.8068862488305,65.8068862488305,65.8068862488305,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296,63.591566211433296	0.9948066617439556	65.8068862488305	7	true	166
32	20	19	100	45940	101574	812592	0	0	58.043278258655334	58.043278258655334	68.61795208970769	68.61795208970769	42.91572467581889,42.91572467581889,48.39506854417115,48.39506854417115,48.39506854417115,48.39506854417115,48.39506854417115,48.39506854417115,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,46.20805907537661,58.043278258655334,58.043278258655334,58.043278258655334,58.043278258655334,58.043278258655334,58.043278258655334,58.043278258655334,58.043278258655334,58.043278258655334	0.9940925274709207	58.043278258655334	8	true	223
33	23	21	100	46276	112266	898128	0	0	35.07313879546655	36.31927076423206	65.92505534003381	66.48186005015576	17.257276651556346,17.257276651556346,26.01368420372942,26.01368420372942,26.01368420372942,26.01368420372942,26.01368420372942,26.01368420372942,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,36.31927076423206,34.97891068943048,34.97891068943048,34.97891068943048,34.97891068943048,34.97891068943048,34.97891068943048,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,31.873235051081267,35.07313879546655,35.07313879546655,35.07313879546655,35.07313879546655	0.9931819477851455	36.31927076423206	13	true	197
34	23	19	100	45982	101574	812592	0	0	30.68953652057114	35.37017074147178	57.27896969679648	57.62913939849051	1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,1.7275697454390695,5.979965362624384,9.729953003456622,10.883269437783213,10.883269437783213,10.883269437783213,10.883269437783213,10.883269437783213,10.883269437783213,16.16888316687038,29.07131045145295,29.07131045145295,29.07131045145295,34.38203281134666,33.32532687662281,30.23385856144503,34.643702231847044,34.643702231847044,34.643702231847044,35.37017074147178,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.583858726414945,34.5890617677284,34.5890617677284,34.5890617677284,34.5890617677284,34.5890617677284,30.68953652057114	0.9929672249800776	35.37017074147178	11	true	171
