# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 18
# run: d5a52c5a-4ceb-4f7c-8301-16b66928ec81
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	13	13	100	44748	69498	555984	0	0	47.74903252034207	47.74903252034207	55.509103315650876	55.509103315650876	30.89810460171114,30.89810460171114,30.89810460171114,30.89810460171114,30.89810460171114,30.89810460171114,30.89810460171114,30.89810460171114,35.329905382314465,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,33.97206729145013,38.58116387651095,42.605317749754164,42.605317749754164,42.605317749754164,42.605317749754164,42.605317749754164,42.605317749754164,42.605317749754164,44.51983816410625,44.51983816410625,44.51983816410625,44.51983816410625,44.51983816410625,44.51983816410625,44.51983816410625,44.51983816410625,44.51983816410625,44.51983816410625,44.51983816410625,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207,47.74903252034207	0.9974818871042032	47.74903252034207	7	true	1269
26	15	15	100	45094	80190	641520	0	0	61.21231607950871	61.21231607950871	64.59891209153295	64.59891209153295	54.83324974119907,54.83324974119907,54.83324974119907,54.83324974119907,54.83324974119907,54.83324974119907,54.83324974119907,54.83324974119907,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,56.66956104877785,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,58.6437248139916,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,60.04387249550774,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,59.82296049653651,61.21231607950871	0.9966306358339244	61.21231607950871	3	true	784
27	15	15	100	45201	80190	641520	0	0	60.46555403346166	61.76222328251667	67.17262223449809	66.70683701608787	60.50237171059618,60.50237171059618,61.76222328251667,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166,60.46555403346166	0.9964291824156865	61.76222328251667	5	true	507
28	15	15	100	45140	80190	641520	0	0	64.84967924809189	64.84967924809189	69.74274021059985	69.74274021059985	59.63728530525714,59.63728530525714,59.63728530525714,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189,64.84967924809189	0.9960817657423182	64.84967924809189	5	true	230
29	15	15	100	45064	80190	641520	0	0	66.92415105965895	66.92415105965895	71.78425022215936	71.78425022215936	61.9093167787868,61.9093167787868,61.9093167787868,61.9093167787868,61.9093167787868,61.9093167787868,61.9093167787868,65.06001878269743,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895,66.92415105965895	0.9960817657423182	66.92415105965895	5	true	346
30	15	14	100	44944	74844	598752	0	0	63.76189962873876	64.94358074261748	68.95091855027313	69.47308046912438	48.15928782103374,48.15928782103374,48.15928782103374,53.44572130794448,53.44572130794448,53.44572130794448,53.44572130794448,53.44572130794448,53.44572130794448,53.44572130794448,53.44572130794448,47.91946786214139,47.91946786214139,47.91946786214139,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,58.256267401184544,64.94358074261748,62.95581250329664,62.95581250329664,62.95581250329664,62.95581250329664,62.95581250329664,62.95581250329664,62.95581250329664,62.95581250329664,62.95581250329664,62.95581250329664,62.95581250329664,62.95581250329664,62.95581250329664,63.76189962873876	0.9960906485549893	64.94358074261748	5	true	150
31	15	14	100	44867	74844	598752	0	0	69.53763174698685	69.53763174698685	70.3299834030655	70.3299834030655	54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,54.9179845196294,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,62.89441753664062,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,66.57127109446554,68.61628162531645,68.61628162531645,68.61628162531645,69.53763174698685,69.53763174698685,69.53763174698685,69.53763174698685,69.53763174698685,69.53763174698685,69.53763174698685,69.53763174698685,69.53763174698685,69.53763174698685,69.53763174698685,69.53763174698685	0.9960906485549893	69.53763174698685	3	true	443
32	15	14	100	44954	74844	598752	0	0	64.50332688154933	66.53598871589966	69.36185223165428	69.11995294560319	40.68827734920056,40.68827734920056,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,49.8637786070274,53.115400816927064,53.115400816927064,57.79047106091939,61.96650080876276,61.96650080876276,61.96650080876276,61.96650080876276,61.96650080876276,61.96650080876276,61.96650080876276,61.96650080876276,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,62.02592857195128,65.1789270107763,65.1789270107763,65.1789270107763,65.1789270107763,65.1789270107763,65.1789270107763,65.1789270107763,65.1789270107763,66.53598871589966,66.53598871589966,66.53598871589966,66.53598871589966,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933,64.50332688154933	0.9959217654498799	66.53598871589966	5	true	165
33	15	14	100	44877	74844	598752	0	0	66.47671765592939	66.47671765592939	68.53124472922902	68.53124472922902	39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,39.044341364906444,50.1564439017814,50.1564439017814,50.1564439017814,50.1564439017814,50.1564439017814,53.57801466480139,53.57801466480139,53.57801466480139,53.57801466480139,53.57801466480139,53.57801466480139,53.57801466480139,53.57801466480139,53.57801466480139,53.57801466480139,53.57801466480139,55.26818163334973,55.26818163334973,55.26818163334973,55.26818163334973,55.26818163334973,59.02725008656134,62.19415282349365,62.19415282349365,62.19415282349365,62.19415282349365,62.19415282349365,62.19415282349365,62.19415282349365,62.19415282349365,62.19415282349365,62.19415282349365,62.19415282349365,62.19415282349365,62.19415282349365,62.58998007631011,63.69062438505456,63.69062438505456,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,65.66673509778632,66.47671765592939,66.47671765592939,66.47671765592939,66.47671765592939,66.47671765592939,66.47671765592939,66.47671765592939,66.47671765592939,66.47671765592939,66.47671765592939,66.47671765592939	0.9957118678763863	66.47671765592939	4	true	294
34	16	16	100	45201	85536	684288	0	0	69.72198216141749	69.72198216141749	73.87828612170316	73.87828612170316	39.69310340718792,39.69310340718792,61.793874062532794,61.777877615200694,61.777877615200694,61.777877615200694,63.69811000609725,63.69811000609725,63.69811000609725,63.69811000609725,63.69811000609725,63.69811000609725,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,65.70821316187936,68.35899593899902,69.72198216141749,69.72198216141749,69.72198216141749,69.72198216141749,69.72198216141749	0.9955252557007185	69.72198216141749	5	true	139
