# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 11
# run: d886bc8c-2e39-4d95-9920-b7bfa606cb57
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	44980	80190	641520	0	0	47.93212256143249	48.068461351603005	57.50863799122091	57.50863799122091	31.088334764398056,31.088334764398056,31.088334764398056,31.088334764398056,31.088334764398056,31.088334764398056,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,40.79736192965985,44.810791505451235,44.810791505451235,44.810791505451235,44.810791505451235,44.810791505451235,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,48.068461351603005,47.93212256143249,47.93212256143249,47.93212256143249	0.9960817657423182	48.068461351603005	7	true	1050
26	15	15	100	45038	80190	641520	0	0	59.48247091189195	60.084803593977554	64.29395807587117	64.29395807587117	56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,56.73024795860198,58.458475462821426,58.458475462821426,58.458475462821426,60.084803593977554,60.084803593977554,60.084803593977554,60.084803593977554,60.084803593977554,60.084803593977554,60.084803593977554,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195,59.48247091189195	0.9960817657423182	60.084803593977554	5	true	340
27	15	15	100	44878	80190	641520	0	0	63.29853005704943	63.30814249901209	67.59516897236708	67.41303725842624	63.30814249901209,63.30814249901209,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943,63.29853005704943	0.9960817657423182	63.30814249901209	5	true	236
28	15	15	100	45114	80190	641520	0	0	63.89420719694745	63.89420719694745	67.98354671726807	67.98354671726807	53.114900358706194,53.114900358706194,53.114900358706194,53.07714204340604,57.03966476724676,57.03966476724676,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,60.222808194580054,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745,63.89420719694745	0.9958718681688247	63.89420719694745	5	true	182
29	16	16	100	45202	85536	684288	0	0	60.8488849660032	60.8488849660032	68.38868298286953	68.38868298286953	42.91214505466435,42.91214505466435,53.889708547114736,53.889708547114736,53.889708547114736,52.370052437091644,52.370052437091644,52.370052437091644,52.370052437091644,52.370052437091644,52.370052437091644,52.370052437091644,52.370052437091644,52.370052437091644,52.370052437091644,56.94988368904443,56.94988368904443,56.94988368904443,56.94988368904443,56.94988368904443,56.94988368904443,56.94988368904443,56.94988368904443,56.94988368904443,56.94988368904443,56.94988368904443,56.94988368904443,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032,60.8488849660032	0.9955312141306174	60.8488849660032	7	true	200
30	17	16	100	45258	85536	684288	0	0	49.887241439046136	49.887241439046136	62.9119309299202	62.9119309299202	24.07465029427997,24.07465029427997,21.613446183704518,21.613446183704518,21.613446183704518,21.613446183704518,21.613446183704518,26.812145724059466,26.812145724059466,26.49494070538225,26.49494070538225,30.296345232635858,30.296345232635858,30.296345232635858,30.296345232635858,30.296345232635858,30.296345232635858,30.296345232635858,33.225328421513865,38.100925032263774,38.10001880210435,38.10001880210435,38.10001880210435,38.10001880210435,38.10001880210435,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,33.18665599837537,34.50454852273123,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,33.265988101112,36.973530581011445,39.04950176052334,39.04950176052334,39.04950176052334,39.04950176052334,39.04950176052334,39.96220526528491,39.96220526528491,39.85617840394427,39.85617840394427,39.85617840394427,39.85617840394427,39.85617840394427,39.85617840394427,39.85617840394427,39.85617840394427,43.67411436510075,43.67411436510075,43.67411436510075,43.67411436510075,43.67411436510075,43.67411436510075,43.67411436510075,43.67411436510075,43.67411436510075,43.67411436510075,43.67411436510075,43.67411436510075,43.67411436510075,48.07496600561515,49.887241439046136,49.887241439046136,49.887241439046136,49.887241439046136,49.887241439046136,49.887241439046136,49.887241439046136,49.887241439046136,49.887241439046136,49.887241439046136	0.9952902084353822	49.887241439046136	9	true	139
31	18	18	100	45723	96228	769824	0	0	55.78312585679041	57.868381340426474	71.09637043152782	71.04003668940626	48.97956294737902,48.97956294737902,56.668212952449466,56.668212952449466,56.668212952449466,57.868381340426474,57.868381340426474,57.84549610880844,57.84549610880844,57.84549610880844,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041,55.78312585679041	0.9950644460853482	57.868381340426474	9	true	341
32	19	18	100	45738	96228	769824	0	0	57.45717108317097	59.5178344506885	71.85806480723079	71.85806480723079	51.050597128617426,51.050597128617426,54.31271483873652,59.5178344506885,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097,57.45717108317097	0.9950938361322115	59.5178344506885	9	true	141
33	19	18	100	45786	96228	769824	0	0	53.329527646559484	53.329527646559484	62.4928464456158	62.4928464456158	12.681807474206426,12.681807474206426,12.681807474206426,12.681807474206426,12.681807474206426,12.681807474206426,15.392494681839487,15.392494681839487,15.392494681839487,15.392494681839487,17.123223380519335,17.123223380519335,17.123223380519335,17.123223380519335,17.123223380519335,17.979123505654776,17.979123505654776,17.979123505654776,17.979123505654776,17.979123505654776,17.979123505654776,17.979123505654776,17.979123505654776,17.979123505654776,17.979123505654776,17.979123505654776,17.979123505654776,17.123223380519335,17.123223380519335,17.123223380519335,17.123223380519335,17.123223380519335,17.123223380519335,17.123223380519335,22.62918850574767,21.220499365068953,21.220499365068953,21.220499365068953,21.220499365068953,21.220499365068953,21.220499365068953,21.220499365068953,21.220499365068953,26.704700080760958,30.09766177647394,30.09766177647394,30.09766177647394,30.09766177647394,30.09766177647394,30.09766177647394,30.09766177647394,33.21670904348811,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,46.50952868297867,47.49940121387992,47.49940121387992,47.49940121387992,47.49940121387992,47.49940121387992,47.49940121387992,47.49940121387992,47.49940121387992,50.66220048538034,50.66220048538034,52.542053851871486,52.542053851871486,52.542053851871486,52.542053851871486,53.329527646559484,53.329527646559484,53.329527646559484,53.329527646559484,53.329527646559484,53.329527646559484	0.9940359041094889	53.329527646559484	7	true	139
34	21	20	100	46204	106920	855360	0	0	29.568980149049036	31.517304719405114	63.874735415328416	64.67451441630693	23.633165229318323,23.633165229318323,27.168285755795708,31.517304719405114,27.36468282984554,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,25.266777675143675,23.92705944808411,23.92705944808411,20.81863420847465,20.81863420847465,20.81863420847465,20.81863420847465,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,24.97125609803424,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036,29.568980149049036	0.9933804768206111	31.517304719405114	15	true	169
