# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 19
# run: f4350712-c094-44fd-bac5-26c40127d7c6
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	45161	80190	641520	0	0	46.608283412910964	48.022317952954126	57.474235765744005	57.56744347481966	31.06457583789964,31.06457583789964,31.06457583789964,31.06457583789964,31.06457583789964,31.06457583789964,36.16402070744229,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,40.77226946622444,44.78551469431318,44.78551469431318,44.78551469431318,44.78551469431318,44.78551469431318,44.78551469431318,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,48.022317952954126,46.608283412910964,46.608283412910964,46.608283412910964,46.608283412910964,46.608283412910964,46.608283412910964	0.9960817657423182	48.022317952954126	7	true	1280
26	15	15	100	45379	80190	641520	0	0	58.88436320294197	59.74569665512779	63.999255136838435	64.37649692676864	56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,56.369780516456274,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,58.11985383341202,59.74569665512779,59.74569665512779,59.74569665512779,59.74569665512779,59.74569665512779,59.74569665512779,59.74569665512779,59.74569665512779,59.74569665512779,59.74569665512779,59.74569665512779,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,59.14995232361973,58.88436320294197,58.88436320294197,58.88436320294197,58.88436320294197,58.88436320294197,58.88436320294197	0.9960817657423182	59.74569665512779	5	true	336
27	15	15	100	45280	80190	641520	0	0	62.80687542452792	62.80687542452792	67.42432989452533	67.42432989452533	62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792,62.80687542452792	0.9960817657423182	62.80687542452792	5	true	395
28	15	15	100	45183	80190	641520	0	0	58.52691486180487	58.52691486180487	63.67266614217497	63.67266614217497	40.90619277314077,40.90619277314077,40.90619277314077,46.3628902655165,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,49.412504183419685,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,54.84661055231879,57.326994499019335,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487,58.52691486180487	0.9956704147505866	58.52691486180487	5	true	190
29	17	17	100	45815	90882	727056	0	0	52.619289963772516	52.619289963772516	67.99977273322665	67.99977273322665	43.11714793279543,43.11714793279543,45.70011541670832,45.70011541670832,49.657109864290206,43.29938615427596,43.29938615427596,43.29938615427596,43.29938615427596,43.29938615427596,43.29938615427596,43.29938615427596,43.29938615427596,43.29938615427596,43.29938615427596,43.29938615427596,43.29938615427596,49.1613915924823,49.1613915924823,49.1613915924823,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516,52.619289963772516	0.9952702495229601	52.619289963772516	7	true	379
30	20	19	100	46022	101574	812592	0	0	61.14648987441478	61.23809624472449	70.69185627323911	71.06899237465188	51.89489119797264,51.89489119797264,59.20523952032434,59.20523952032434,59.20523952032434,59.20523952032434,59.20523952032434,59.20523952032434,59.20523952032434,59.20523952032434,59.20523952032434,59.20523952032434,59.20523952032434,59.20523952032434,59.20523952032434,61.23809624472449,61.23809624472449,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.23774476294997,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478,61.14648987441478	0.994886278064936	61.23809624472449	7	true	176
31	20	17	100	45506	90882	727056	0	0	46.79660207491135	48.717639009623824	67.15640714700834	67.60476847770587	43.09507802799986,43.09507802799986,44.4329239278669,40.24990934599852,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,40.23808440914456,41.465843120897546,41.465843120897546,41.465843120897546,41.465843120897546,41.465843120897546,41.465843120897546,41.465843120897546,41.465843120897546,48.717639009623824,48.717639009623824,48.717639009623824,48.717639009623824,45.337892000323876,41.3891865443253,41.3891865443253,41.3891865443253,41.3891865443253,41.3891865443253,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,38.41138570712462,43.78965437815172,43.78965437815172,43.78965437815172,43.78965437815172,46.79660207491135,46.79660207491135,46.79660207491135,46.79660207491135,46.79660207491135,46.79660207491135	0.9949912268516825	48.717639009623824	10	true	291
32	21	18	100	45907	96228	769824	0	0	48.43325946805075	48.43325946805075	64.46786905826814	64.46786905826814	9.577219370700396,9.577219370700396,25.0687673742561,28.303618619967057,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,33.32255973707571,35.887384828983,35.887384828983,37.30962968148485,37.30962968148485,37.30962968148485,37.30962968148485,38.17761417632562,38.17761417632562,38.17761417632562,38.17761417632562,38.17761417632562,38.17761417632562,38.17761417632562,38.17761417632562,38.17761417632562,38.17761417632562,38.17761417632562,38.17761417632562,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,43.010148616614615,47.026048571037364,47.026048571037364,47.026048571037364,47.026048571037364,48.43325946805075,48.43325946805075,48.43325946805075,48.43325946805075,48.43325946805075,48.43325946805075,48.43325946805075,48.43325946805075	0.9939245216806429	48.43325946805075	11	true	300
33	23	20	100	46224	106920	855360	0	0	38.41011547002029	40.48842109973488	63.632067773363644	63.24738385678377	25.667238815390355,25.667238815390355,30.750486459666938,35.84290308961141,35.84290308961141,35.84290308961141,35.84290308961141,35.84290308961141,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,34.93533796934187,33.60972633810669,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.37375314673494,33.277681849632245,33.277681849632245,33.277681849632245,33.277681849632245,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,28.598571407152892,32.936854043684235,32.936854043684235,32.936854043684235,32.936854043684235,32.936854043684235,32.936854043684235,32.936854043684235,32.936854043684235,32.936854043684235,32.936854043684235,36.767557742218,36.767557742218,40.0109050918216,40.0109050918216,40.0109050918216,40.0109050918216,40.0109050918216,40.0109050918216,40.48842109973488,38.41011547002029,38.41011547002029,38.41011547002029	0.9931970814659933	40.48842109973488	12	true	339
34	23	20	100	46218	106920	855360	0	0	41.92145010234239	41.92145010234239	61.17484717940749	61.17484717940749	23.506508993507335,23.506508993507335,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,23.48815186090887,25.965952886582798,29.17353254360866,29.17353254360866,29.17353254360866,29.17353254360866,31.579653880116794,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,30.686552849427244,40.04452145905924,40.04452145905924,40.04452145905924,41.92145010234239,41.92145010234239	0.9928955044925831	41.92145010234239	11	true	249
