# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 13
# run: 00be6376-0eec-4cdd-aaf8-3c3527bd0e2a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	51762	92070	736560	0	0	45.90913007742061	46.02501743164623	62.019741715542665	61.99160239609289	26.808956943389404,26.808956943389404,25.530607266812382,25.530607266812382,25.530607266812382,25.530607266812382,31.058416442734696,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,36.15637688368359,40.755151911653066,40.755151911653066,40.755151911653066,40.755151911653066,40.755151911653066,40.755151911653066,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,46.02501743164623,46.02501743164623,46.02501743164623,44.72579826836194,44.72579826836194,44.72579826836194,44.72579826836194,44.72579826836194,44.72579826836194,44.72579826836194,44.72579826836194,44.72579826836194,44.72579826836194,46.02501743164623,46.02501743164623,46.02501743164623,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,44.76806977545782,45.90913007742061,45.90913007742061,45.90913007742061,45.90913007742061,45.90913007742061	0.9960817657423182	46.02501743164623	11	true	1248
26	15	15	100	51786	92070	736560	0	0	59.65546445570381	60.24170781103646	68.82981003971778	68.82981003971778	55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,55.8006664645648,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,57.54744642510718,60.24170781103646,59.65546445570381,59.65546445570381,59.65546445570381,59.28106083671602,59.28106083671602,59.28106083671602,59.28106083671602,59.28106083671602,59.28106083671602,59.28106083671602,56.97672081286577,56.97672081286577,56.97672081286577,56.97672081286577,56.97672081286577,56.97672081286577,56.97672081286577,59.28106083671602,59.28106083671602,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381,59.65546445570381	0.9960817657423182	60.24170781103646	9	true	430
27	15	15	100	51857	92070	736560	0	0	64.74643011903137	64.74643011903137	72.49892845484361	72.49892845484361	63.78914236607716,63.78914236607716,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,63.77116472153659,64.74643011903137,64.74643011903137,64.74643011903137	0.9960817657423182	64.74643011903137	8	true	230
28	15	15	100	52011	92070	736560	0	0	67.69174978448996	67.69174978448996	75.43844270769088	75.43844270769088	63.39157889973515,63.39157889973515,63.39157889973515,63.39157889973515,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,66.61207781423506,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996,67.69174978448996	0.9960817657423182	67.69174978448996	8	true	168
29	15	15	100	51903	92070	736560	0	0	63.281450283601856	63.281450283601856	71.84553750397737	71.84553750397737	38.643915236810784,38.643915236810784,42.66656358269861,42.66656358269861,44.66018900031894,44.66018900031894,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,50.0825676415037,59.44169638676233,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,58.639431107095604,55.600019334998464,55.600019334998464,55.600019334998464,55.600019334998464,55.600019334998464,62.07947050050282,62.07947050050282,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856,63.281450283601856	0.9956704147505866	63.281450283601856	8	true	143
30	17	16	100	52024	98208	785664	0	0	52.12174915746198	52.12174915746198	73.78449828372503	73.78449828372503	37.95105183660655,37.95105183660655,48.700194981425525,48.700194981425525,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,46.325541950092386,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198,52.12174915746198	0.9952870281691172	52.12174915746198	11	true	173
31	18	17	100	52232	104346	834768	0	0	39.74580204581393	39.74580204581393	73.24213451823877	73.24213451823877	38.63610555407565,38.63610555407565,38.04956826509489,37.04380165344193,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,27.507599898447324,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,33.86344070437879,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393,39.74580204581393	0.9952827512593122	39.74580204581393	13	true	164
32	19	17	100	52391	104346	834768	0	0	39.762091712973195	39.762091712973195	74.0070131525674	74.0070131525674	21.65097248060888,21.65097248060888,39.23205834835108,35.104606441926414,35.104606441926414,31.691320825070413,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,26.68007470321899,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,33.4761348677525,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195,39.762091712973195	0.9950771671504083	39.762091712973195	13	true	176
33	20	18	100	52444	110484	883872	0	0	36.1853661775899	37.738469921239066	69.28537431029869	69.76030799784205	37.738469921239066,37.738469921239066,35.32193664576897,32.58357879291593,32.58357879291593,32.58357879291593,29.034739417220507,29.034739417220507,29.034739417220507,29.034739417220507,29.034739417220507,29.034739417220507,29.034739417220507,29.034739417220507,29.034739417220507,29.034739417220507,29.034739417220507,29.034739417220507,29.034739417220507,28.08261369287085,26.161253925993307,26.161253925993307,26.161253925993307,23.13309401071912,23.13309401071912,23.13309401071912,18.50305593486341,22.051895310558834,22.051895310558834,22.051895310558834,22.051895310558834,24.46714345408754,24.46714345408754,24.46714345408754,24.46714345408754,24.46714345408754,24.46714345408754,24.46714345408754,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,29.09718152994325,25.752816902573358,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,21.348195388879066,24.998382182146184,24.998382182146184,24.998382182146184,27.590819114362777,29.275071510066798,29.275071510066798,29.275071510066798,29.275071510066798,29.275071510066798,29.275071510066798,29.275071510066798,29.275071510066798,29.275071510066798,29.275071510066798,29.275071510066798,36.1853661775899,36.1853661775899,36.1853661775899,36.1853661775899,36.1853661775899,36.1853661775899	0.9940945014292922	37.738469921239066	17	true	182
34	21	18	100	52502	110484	883872	0	0	36.969901395675464	39.050274691643665	61.680447035249045	61.680447035249045	-2.9418050594547953,-2.9418050594547953,-4.967949212313089,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,-5.049773118590425,12.855873164642972,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,17.145748442304495,25.353414853673904,28.622857615761905,38.55223747199646,39.050274691643665,39.050274691643665,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464,36.969901395675464	0.9934722658848817	39.050274691643665	13	true	185
