# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 9
# run: 121124c7-29b1-4bb0-8018-f1c3ccf228a7
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	51676	92070	736560	0	0	45.88964521591514	46.02619428677487	61.4708807268254	61.500242958943225	25.53205193228628,25.53205193228628,25.53205193228628,25.53205193228628,25.53205193228628,25.53205193228628,31.059410247589838,36.15746473945134,36.15746473945134,36.15746473945134,36.15746473945134,36.15746473945134,36.15746473945134,36.15746473945134,36.15746473945134,36.15746473945134,36.15746473945134,36.15746473945134,36.15746473945134,36.15746473945134,40.75622287722258,40.75622287722258,40.75622287722258,40.75622287722258,40.75622287722258,44.76918369058889,44.76918369058889,44.76918369058889,44.76918369058889,44.76918369058889,44.76918369058889,45.198869816961604,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,43.8997107174618,44.727035187275064,44.727035187275064,44.727035187275064,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,44.76918369058889,44.76918369058889,44.76918369058889,44.76918369058889,44.76918369058889,44.76918369058889,44.76918369058889,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,46.02619428677487,45.88964521591514,45.88964521591514,45.88964521591514	0.9960817657423182	46.02619428677487	11	true	1125
26	15	15	100	51918	92070	736560	0	0	59.75589053135516	60.32256827252975	69.61148684624203	68.93755019838981	55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,55.90404157004562,57.632739984309,57.632739984309,57.632739984309,60.32256827252975,60.03211892472673,60.03211892472673,58.16055224914197,58.16055224914197,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,54.04103416132925,59.72903324003657,59.72903324003657,59.72903324003657,59.72903324003657,59.72903324003657,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,60.000334825773194,59.75589053135516,59.75589053135516,59.75589053135516	0.9960817657423182	60.32256827252975	9	true	394
27	16	16	100	52077	98208	785664	0	0	54.93288253214971	54.99702634861554	70.81029476587868	71.3653461488932	54.99702634861554,54.99702634861554,54.99702634861554,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971,54.93288253214971	0.9956494323041942	54.99702634861554	11	true	355
28	17	17	100	52201	104346	834768	0	0	62.0725740949042	62.0725740949042	74.694712190012	74.694712190012	35.288530767713105,35.288530767713105,37.16900709523359,41.11530775473323,44.24063279934763,44.24063279934763,44.24063279934763,44.24063279934763,44.24063279934763,44.24063279934763,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,51.21587219229656,54.52448425146514,56.569770077103485,56.569770077103485,56.569770077103485,56.569770077103485,56.569770077103485,56.569770077103485,56.569770077103485,56.569770077103485,56.569770077103485,56.569770077103485,56.569770077103485,56.569770077103485,56.569770077103485,60.41226707183014,60.41226707183014,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042,62.0725740949042	0.9954391326280697	62.0725740949042	9	true	168
29	18	18	100	52491	110484	883872	0	0	65.41444428764461	65.41444428764461	76.4638629770518	76.4638629770518	37.05796814786191,37.05796814786191,50.99449734046601,50.99449734046601,50.99449734046601,54.91880297668186,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,51.29756880123924,55.851370807268474,55.851370807268474,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,57.80551956340058,65.41444428764461	0.9950458031451738	65.41444428764461	9	true	197
30	20	20	100	53003	122760	982080	0	0	70.7436528981235	70.7436528981235	81.44089184187094	81.44089184187094	61.48202504211663,61.48202504211663,61.48202504211663,61.48202504211663,61.48202504211663,61.48202504211663,64.6939156170297,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,62.61228577160692,65.83054450738817,65.83054450738817,67.7700286642899,67.7700286642899,67.7700286642899,67.7700286642899,67.7700286642899,67.7700286642899,67.7700286642899,67.7700286642899,67.7700286642899,69.67112760374812,69.67112760374812,69.53013661424379,69.53013661424379,69.53013661424379,69.53013661424379,69.53013661424379,69.53013661424379,69.53013661424379,69.53013661424379,70.52506642419955,70.52506642419955,70.52506642419955,70.52506642419955,70.52506642419955,70.46055106498765,70.46055106498765,70.46055106498765,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235,70.7436528981235	0.9948494308420032	70.7436528981235	9	true	298
31	20	20	100	52956	122760	982080	0	0	62.75854567223924	62.75854567223924	74.33474925274906	74.33474925274906	25.033996707720533,25.033996707720533,25.033996707720533,25.033996707720533,25.033996707720533,25.033996707720533,25.033996707720533,25.033996707720533,25.033996707720533,25.033996707720533,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,27.63540497485625,33.440937739620885,48.763034889274074,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,57.26408350859196,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,58.72027070312164,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,59.969147269530524,60.847905100518076,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924,62.75854567223924	0.994225769660991	62.75854567223924	8	true	281
32	22	21	100	53208	128898	1031184	0	0	28.57096214958458	28.57096214958458	72.75395030343128	72.75395030343128	22.647451836750577,22.647451836750577,27.39529158918171,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,23.089789446943612,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458,28.57096214958458	0.9932714338979829	28.57096214958458	16	true	199
33	23	21	100	53208	128898	1031184	0	0	42.38941947646505	42.38941947646505	71.72841240491996	71.72841240491996	24.46314314018212,24.46314314018212,23.130805505173313,21.439881623663545,17.125902713371985,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,13.72728409570346,18.513892068472344,22.91672163210346,22.91672163210346,22.91672163210346,22.91672163210346,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.04050292657061,29.85278377104366,42.38941947646505	0.9930181092403183	42.38941947646505	10	true	219
34	24	20	100	53244	122760	982080	0	0	32.46938536578742	33.74813199349384	67.37219177914643	67.06618178641848	4.874422541235388,4.874422541235388,1.4882624158193547,-3.9583633023935647,-3.9583633023935647,-3.9583633023935647,-3.9583633023935647,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,-6.8203616897531205,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,0.020527644174997306,20.680946770913668,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,33.74813199349384,32.46987268080041,32.46987268080041,32.46987268080041,33.054552960750605,33.054552960750605,32.46938536578742,32.46938536578742,32.46938536578742,32.46938536578742,32.46938536578742,32.46938536578742,32.46938536578742,32.46938536578742,32.46938536578742,32.46938536578742	0.9929282941344193	33.74813199349384	13	true	383
