# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 10
# run: 1cbe16b1-b394-4849-a490-aa9c98dd7014
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	51928	92070	736560	0	0	45.91540577027379	45.91540577027379	62.037682277828054	62.037682277828054	26.815022561262737,26.815022561262737,25.536379825959656,25.536379825959656,25.536379825959656,25.536379825959656,31.06352017095172,36.1621574764757,36.1621574764757,36.1621574764757,36.1621574764757,36.1621574764757,36.1621574764757,36.1621574764757,36.1621574764757,36.1621574764757,36.1621574764757,36.1621574764757,36.1621574764757,36.1621574764757,35.33558798080932,35.33558798080932,32.64483580981076,37.24335363875391,37.24335363875391,37.24335363875391,37.24335363875391,37.24335363875391,37.24335363875391,37.24335363875391,37.24335363875391,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,41.255992463696074,43.94674463469461,43.94674463469461,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,44.77331413036099,45.91540577027379,45.91540577027379,45.91540577027379,45.91540577027379,45.91540577027379	0.9960817657423182	45.91540577027379	11	true	999
26	15	15	100	51955	92070	736560	0	0	59.349397751244894	61.15601777212855	69.50730900969718	69.58920668609382	55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,55.69736469615589,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,57.46145713881015,60.46799801620861,60.46799801620861,60.46799801620861,61.15601777212855,61.15601777212855,61.15601777212855,61.15601777212855,59.28174387436576,59.28174387436576,59.28174387436576,59.28174387436576,59.28174387436576,59.28174387436576,59.28174387436576,56.87201369101242,56.87201369101242,56.87201369101242,56.87201369101242,56.87201369101242,56.87201369101242,56.87201369101242,56.87201369101242,59.28174387436576,59.28174387436576,59.28174387436576,59.28174387436576,59.28174387436576,59.55323464005886,59.55323464005886,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894,59.349397751244894	0.9960817657423182	61.15601777212855	9	true	609
27	15	15	100	52089	92070	736560	0	0	65.9781329079987	65.9781329079987	73.20065163796588	73.20065163796588	65.02042141991532,65.02042141991532,65.02042141991532,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,64.98465923376648,65.9781329079987,65.9781329079987,65.9781329079987	0.9960817657423182	65.9781329079987	8	true	163
28	15	15	100	52099	92070	736560	0	0	68.89245228799093	68.89245228799093	75.96610030673189	75.96610030673189	60.698732261868116,60.698732261868116,60.698732261868116,60.698732261868116,60.698732261868116,64.64497437862224,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.82099539134255,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,67.51753068150497,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093,68.89245228799093	0.9960817657423182	68.89245228799093	8	true	157
29	15	15	100	51880	92070	736560	0	0	67.48541524969956	67.48541524969956	71.64521387912241	71.64521387912241	38.19827223140597,38.19827223140597,38.19827223140597,38.19827223140597,38.19827223140597,38.158803076804496,38.158803076804496,38.158803076804496,38.158803076804496,38.158803076804496,38.158803076804496,43.86265044277234,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,49.1709211571282,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,51.83280628088129,55.66377085320155,57.29435665903869,57.29435665903869,57.29435665903869,57.29435665903869,57.29435665903869,57.29435665903869,57.29435665903869,57.29435665903869,57.29435665903869,57.29435665903869,57.29435665903869,57.29435665903869,60.5424586820298,60.5424586820298,63.02126764568072,63.02126764568072,63.02126764568072,63.02126764568072,63.02126764568072,63.02126764568072,63.02126764568072,63.02126764568072,63.02126764568072,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,64.40756079933784,67.48541524969956,67.48541524969956	0.9956704147505866	67.48541524969956	7	true	100
30	17	17	100	52411	104346	834768	0	0	53.36329301862152	53.36329301862152	76.63671131635775	76.63671131635775	48.25228487047445,48.25228487047445,50.4602895126025,50.4602895126025,41.81867646996014,41.81867646996014,41.81867646996014,41.81867646996014,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,41.7199101002943,47.72213661072436,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152,53.36329301862152	0.9952702495229601	53.36329301862152	11	true	112
31	17	16	100	52070	98208	785664	0	0	54.4103984147271	54.4103984147271	71.17202334172636	71.17202334172636	18.38379279733133,18.38379279733133,24.99607342006457,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,22.26972317897227,25.83406796212455,28.632628573593948,28.632628573593948,28.632628573593948,28.632628573593948,28.632628573593948,31.944680785910478,35.47942104579498,34.17756716199624,34.17756716199624,34.17756716199624,34.17756716199624,34.17756716199624,34.17756716199624,34.17756716199624,34.17756716199624,34.17756716199624,34.17756716199624,34.17756716199624,37.37542188350829,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,35.47225786029885,40.40866497416141,44.94501665225479,49.67188384849965,49.67188384849965,46.76908194973004,46.76908194973004,46.76908194973004,46.76908194973004,46.76908194973004,46.76908194973004,46.76908194973004,46.76908194973004,46.76908194973004,46.76908194973004,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271,54.4103984147271	0.9952902084353822	54.4103984147271	9	true	92
32	18	16	100	52102	98208	785664	0	0	26.70387317196961	46.00223472936382	72.39098546634968	73.2427566611904	40.78489286772201,40.78489286772201,46.00223472936382,42.13233819603691,33.645961181396146,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,28.976388000727724,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961,26.70387317196961	0.9952995299054691	46.00223472936382	15	true	91
33	20	18	100	52612	110484	883872	0	0	31.78004479599589	47.327532936133935	71.64267702514825	71.32038496927136	31.403382706273426,31.403382706273426,38.25722440405982,41.494603223219485,41.494603223219485,40.10523721117016,40.10523721117016,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,41.37726546965716,47.327532936133935,47.327532936133935,47.327532936133935,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.1297582626314,46.261432586536,46.261432586536,41.63253035052387,41.63253035052387,41.63253035052387,41.63253035052387,41.63253035052387,41.63253035052387,41.63253035052387,41.63253035052387,41.63253035052387,41.63253035052387,41.63253035052387,41.63253035052387,41.63253035052387,39.69818274046051,36.57371703746566,36.57371703746566,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589,31.78004479599589	0.9940563382341114	47.327532936133935	15	true	101
34	21	18	100	52538	110484	883872	0	0	43.30211130554758	43.30211130554758	63.43969272027212	63.43969272027212	17.822461039850417,17.822461039850417,15.009534079301304,14.93105857679,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,11.923658612642612,26.079763037264243,26.079763037264243,26.079763037264243,26.079763037264243,26.079763037264243,26.079763037264243,26.079763037264243,26.079763037264243,26.079763037264243,34.28461324629614,34.28461324629614,34.28461324629614,34.28461324629614,37.52984223956714,37.52984223956714,37.52984223956714,37.52984223956714,40.580635403826804,40.580635403826804,42.85919344490463,42.85919344490463,42.85919344490463,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758,43.30211130554758	0.9934341026897011	43.30211130554758	14	true	101
