# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 4
# run: 5be14d47-c75a-4901-a15d-5c62ab76e481
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	52209	92070	736560	0	0	43.71464539268623	46.02029644472435	61.9869888023694	61.956368852526616	25.525473105687738,25.525473105687738,25.525473105687738,25.525473105687738,25.525473105687738,25.525473105687738,31.05256910384408,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,36.15106831386835,40.74938054848369,44.76263763548684,44.76263763548684,44.76263763548684,44.76263763548684,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,44.72131845320753,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,46.02029644472435,45.8840887156112,43.71464539268623,43.71464539268623,43.71464539268623,43.71464539268623,43.71464539268623	0.9960817657423182	46.02029644472435	11	true	1350
26	15	15	100	52063	92070	736560	0	0	59.99597889204749	60.90055368353228	69.50043245787779	69.11489741683914	55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,55.891823243770816,58.585913010577414,58.585913010577414,59.99597889204749,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,59.24895883023419,60.90055368353228,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749,59.99597889204749	0.9960817657423182	60.90055368353228	9	true	495
27	15	15	100	52029	92070	736560	0	0	64.90833170790039	64.90833170790039	73.22834410195736	73.22834410195736	64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039,64.90833170790039	0.9960817657423182	64.90833170790039	9	true	232
28	15	15	100	52179	92070	736560	0	0	64.4894522601192	64.4894522601192	72.14017166189767	72.14017166189767	49.84142672379063,49.84142672379063,53.87075212171112,53.814746879660106,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,56.977402998929705,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192,64.4894522601192	0.9957029850637148	64.4894522601192	9	true	229
29	17	17	100	52666	104346	834768	0	0	58.65649044245376	58.65649044245376	75.24371286011038	75.24371286011038	44.60181783402048,44.60181783402048,51.783706256951334,51.783706256951334,51.783706256951334,44.25638441054397,44.25638441054397,44.25638441054397,50.16806308102478,50.16806308102478,50.16806308102478,50.16806308102478,50.16806308102478,50.16806308102478,50.16806308102478,50.16806308102478,50.16806308102478,50.16806308102478,50.16806308102478,55.63231742485702,55.63231742485702,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376,58.65649044245376	0.9952702495229601	58.65649044245376	11	true	332
30	19	18	100	52648	110484	883872	0	0	55.238231806767416	55.238231806767416	75.48858657876046	75.48858657876046	52.53615042684433,52.53615042684433,49.91796283279453,49.91796283279453,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.43634368424873,52.346990540771884,52.346990540771884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,50.90655678687884,55.238231806767416,55.238231806767416,55.238231806767416	0.9950938361322115	55.238231806767416	12	true	288
31	20	19	100	52749	116622	932976	0	0	57.5321919339665	64.98350088465621	78.73551677231977	80.15948618926113	53.91715963478384,53.91715963478384,60.567725162892884,63.80246969415124,63.80246969415124,63.80246969415124,63.80246969415124,63.80246969415124,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.98350088465621,64.97711694063993,59.77309674508106,59.77309674508106,59.77309674508106,59.77309674508106,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.852976055423255,55.26830888724993,57.5321919339665,57.5321919339665,57.5321919339665,57.5321919339665,57.5321919339665,57.5321919339665,57.5321919339665,57.5321919339665,57.5321919339665,57.5321919339665,57.5321919339665,57.5321919339665,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,57.531245718147574,58.60635354862492,58.60668701276674,57.5321919339665	0.994899437787412	64.98350088465621	11	true	374
32	20	18	100	52607	110484	883872	0	0	72.59809634839912	72.59809634839912	77.58874620967327	77.58874620967327	58.37337744225674,58.37337744225674,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,59.71170111530067,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,62.22662266680544,65.23924820775258,65.48573308884652,65.48573308884652,65.48573308884652,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,71.7980857737682,72.59809634839912,72.59809634839912	0.9948747633077694	72.59809634839912	7	true	189
33	23	20	100	52832	122760	982080	0	0	16.729119252173128	16.729119252173128	70.76277573692174	70.76277573692174	11.850558602887348,11.850558602887348,5.108254168168678,5.108254168168678,-0.8510313269022092,-0.8510313269022092,6.038054359784766,10.62659145716502,10.62659145716502,10.62659145716502,10.62659145716502,13.612855705840538,13.612855705840538,13.612855705840538,13.612855705840538,16.39534824427149,15.452238692530917,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,10.549171039214073,8.22919492813687,8.22919492813687,8.22919492813687,11.642079509479666,11.642079509479666,11.642079509479666,11.642079509479666,11.642079509479666,11.642079509479666,11.642079509479666,11.642079509479666,11.642079509479666,11.642079509479666,11.642079509479666,11.642079509479666,11.642079509479666,11.62620879478642,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,10.532947555524299,14.15875277311914,16.729119252173128	0.9932319547305546	16.729119252173128	19	true	230
34	23	19	100	52836	116622	932976	0	0	26.267858337175735	26.267858337175735	64.62028546959243	64.62028546959243	-4.071517397731856,-4.071517397731856,-4.071517397731856,-4.071517397731856,-7.08311763032304,-13.259404070776696,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-17.80183972246761,-12.882527195036413,-8.359155276109771,-8.359155276109771,-8.359155276109771,-8.359155276109771,-8.359155276109771,-8.359155276109771,-8.359155276109771,-8.359155276109771,-8.359155276109771,-8.359155276109771,-8.359155276109771,-8.359155276109771,-8.359155276109771,-1.4000899470257444,-1.4000899470257444,13.800624345568231,13.800624345568231,13.800624345568231,13.800624345568231,13.800624345568231,13.800624345568231,14.59258998955108,14.59258998955108,14.59258998955108,14.59258998955108,22.472311217981684,22.55302539108953,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735,26.267858337175735	0.993086868790256	26.267858337175735	15	true	305
