# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 22
# run: 6eb2b723-bc49-47d1-a645-6dc2634adca8
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	51859	92070	736560	0	0	44.76993965784895	44.76993965784895	61.94279430769079	61.94279430769079	25.53160634819578,25.53160634819578,25.53160634819578,25.53160634819578,25.53160634819578,25.53160634819578,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,36.15777938822784,40.756449526789005,40.756449526789005,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895,44.76993965784895	0.9960817657423182	44.76993965784895	11	true	1353
26	15	15	100	51727	92070	736560	0	0	58.40833915914672	61.1517029014048	69.46381547251147	68.67830635896514	54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,54.550283850745956,57.455543279251415,57.455543279251415,60.46255200347437,61.1517029014048,61.1517029014048,61.1517029014048,61.1517029014048,61.1517029014048,61.1517029014048,59.277212610879744,59.277212610879744,56.86932362038731,56.86932362038731,56.86932362038731,56.86932362038731,53.97876956540935,53.97876956540935,53.97876956540935,53.97876956540935,53.97876956540935,53.97876956540935,53.97876956540935,53.97876956540935,53.97876956540935,53.97876956540935,53.97876956540935,53.97876956540935,56.86932362038731,56.86932362038731,59.04257566878357,59.04257566878357,59.04257566878357,59.04257566878357,59.04257566878357,59.04257566878357,59.31359858765218,58.40833915914672,58.40833915914672,58.40833915914672,58.40833915914672,58.40833915914672,58.40833915914672,58.40833915914672,58.40833915914672,58.40833915914672,58.40833915914672,58.40833915914672,58.40833915914672	0.9960817657423182	61.1517029014048	9	true	715
27	15	15	100	51654	92070	736560	0	0	65.08428526151893	65.08428526151893	71.49851345267281	71.49851345267281	65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893,65.08428526151893	0.9959128826372083	65.08428526151893	9	true	339
28	16	16	100	51894	98208	785664	0	0	58.51622096231476	59.59480834556412	71.94528269566739	71.74362727102451	35.81528018023413,35.81528018023413,51.62630248317323,59.59480834556412,58.82042397161174,56.69112632541292,56.69112632541292,56.69112632541292,56.69112632541292,56.69112632541292,56.69112632541292,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.71713135977087,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476,58.51622096231476	0.9955312141306174	59.59480834556412	11	true	237
29	17	17	100	52209	104346	834768	0	0	65.69607766750431	65.69607766750431	75.6304017564521	75.6304017564521	45.33369075933096,45.33369075933096,44.25898792534832,44.25898792534832,44.25898792534832,44.25898792534832,48.16120688884149,48.16120688884149,54.45315803316588,54.45315803316588,54.45315803316588,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,57.38699319796943,58.645703355342945,58.65405021181068,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,57.48583256712516,61.88665502107125,61.88665502107125,61.88665502107125,65.69607766750431,65.69607766750431,65.69607766750431	0.9952702495229601	65.69607766750431	9	true	296
30	19	19	100	52614	116622	932976	0	0	62.72450662707571	63.71876700417047	79.3384988796688	79.89508915358691	50.2126327034906,50.2126327034906,60.84076009697726,60.84076009697726,60.84076009697726,60.84076009697726,62.14080358924024,62.14080358924024,62.14080358924024,62.08684624180012,62.08684624180012,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,60.68285308296663,63.13594790960664,63.13594790960664,63.13594790960664,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,63.71876700417047,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571,62.72450662707571	0.9950569889092784	63.71876700417047	11	true	277
31	20	20	100	52750	122760	982080	0	0	70.97049140945641	72.83199382680876	81.41103806273088	81.69580277090797	67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,67.28920887308735,70.30437857345883,70.30437857345883,70.30437857345883,70.30437857345883,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,71.27363064060165,72.83199382680876,72.83199382680876,72.83199382680876,70.87796555694439,70.87796555694439,70.87796555694439,70.87796555694439,70.87796555694439,70.87796555694439,70.87796555694439,70.87796555694439,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,68.18703321931417,70.59547655681382,70.97049140945641,70.97049140945641,70.97049140945641,70.97049140945641,70.97049140945641,70.97049140945641	0.9947698145210228	72.83199382680876	9	true	532
32	20	19	100	52528	116622	932976	0	0	59.36085386388564	59.73586573428792	75.17260984250586	74.7323253695252	46.65157695003262,46.65157695003262,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,43.481637646045584,55.317395022873995,55.317395022873995,55.317395022873995,55.317395022873995,55.317395022873995,59.73586573428792,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564,59.36085386388564	0.9940744328525158	59.73586573428792	12	true	194
33	23	22	100	53219	135036	1080288	0	0	41.77650278412397	41.77650278412397	76.50006946638169	76.50006946638169	19.256116344046276,19.256116344046276,31.01334021467205,31.01334021467205,37.6860581658154,35.00401730965672,35.00401730965672,35.00401730965672,35.00401730965672,38.867796960404675,38.867796960404675,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.744108888712795,41.744108888712795,41.744108888712795,41.744108888712795,41.744108888712795,41.744108888712795,41.744108888712795,41.744108888712795,41.744108888712795,41.744108888712795,41.744108888712795,41.744108888712795,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397,41.77650278412397	0.9931401656662839	41.77650278412397	15	true	366
34	23	19	100	52594	116622	932976	0	0	32.18856255918149	33.53504565554748	61.55592276953438	61.52230382238115	-6.4109890486907375,-6.4109890486907375,-6.4109890486907375,-6.41536325789032,-6.41536325789032,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-7.101120351008156,-2.364271975798111,-2.364271975798111,-2.364271975798111,3.655272322814625,3.655272322814625,3.655272322814625,3.655272322814625,3.655272322814625,3.655272322814625,3.655272322814625,3.431178368387208,1.69259098222485,17.520138326592324,12.448013531377818,11.529973782986197,15.559895161366988,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,18.833103480215193,24.36859889322954,27.476090099385864,28.81514775970261,28.814236213267158,28.814236213267158,28.814236213267158,28.814236213267158,28.814236213267158,28.814236213267158,28.814236213267158,28.814236213267158,33.53504565554748,33.53504565554748,33.53504565554748,32.18856255918149,32.18856255918149,32.18856255918149	0.9929530782784161	33.53504565554748	14	true	197
