# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 21
# run: aae49e66-21c9-4d80-a615-2469438986a6
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	51710	92070	736560	0	0	45.91458612878317	45.91458612878317	61.24129535319577	61.24129535319577	26.813813868868934,26.813813868868934,25.535157936949545,25.535157936949545,25.535157936949545,25.535157936949545,31.06287662221237,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,36.160681155442106,40.75887413345459,40.75887413345459,40.75887413345459,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,43.94411101749843,43.94411101749843,43.94411101749843,43.94411101749843,43.94411101749843,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,45.20076821082171,43.94411101749843,43.94411101749843,43.94411101749843,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,44.771801521306344,45.91458612878317,45.91458612878317,45.91458612878317,45.91458612878317,45.91458612878317,45.91458612878317,45.91458612878317	0.9960817657423182	45.91458612878317	11	true	1219
26	15	15	100	51746	92070	736560	0	0	58.64287620672371	60.142860474922585	68.45268058470118	68.77386391599615	55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,55.68340824398037,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,57.4490563166448,60.08356049855476,60.08356049855476,58.534711746955765,58.534711746955765,58.534711746955765,58.534711746955765,58.534711746955765,58.534711746955765,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,57.195474104832975,59.499333013740966,59.76969081021032,59.76969081021032,60.142860474922585,60.142860474922585,60.142860474922585,58.64287620672371,58.64287620672371,58.64287620672371,58.64287620672371,58.64287620672371,58.64287620672371,58.64287620672371,58.64287620672371,58.64287620672371	0.9960817657423182	60.142860474922585	9	true	425
27	15	15	100	51805	92070	736560	0	0	63.885563351280936	63.8947331258301	71.32121807965598	71.32121807965598	63.8947331258301,63.8947331258301,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936,63.885563351280936	0.9959128826372083	63.8947331258301	9	true	340
28	15	15	100	51872	92070	736560	0	0	60.3675362407881	60.3675362407881	69.86199429403396	69.86199429403396	33.5267455996338,33.5267455996338,33.5267455996338,36.861760348731366,36.861760348731366,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,48.144014058733006,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,56.688870214621886,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881,60.3675362407881	0.9956704147505866	60.3675362407881	9	true	233
29	17	17	100	52376	104346	834768	0	0	67.47023570816219	67.47023570816219	77.26982145117476	77.26982145117476	47.35122012553907,47.35122012553907,60.55187172899997,60.55187172899997,60.55187172899997,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,59.034881973510124,63.556590126448995,63.556590126448995,63.556590126448995,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219,67.47023570816219	0.9953534847676211	67.47023570816219	9	true	251
30	19	19	100	52652	116622	932976	0	0	62.033137565102166	62.367863850427604	79.81022770429537	79.51376343346777	51.69913747064859,51.69913747064859,62.367863850427604,62.367863850427604,62.367863850427604,57.81988857009361,57.81988857009361,60.890860332532284,60.890860332532284,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.17895236511428,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166,62.033137565102166	0.9950569889092784	62.367863850427604	11	true	216
31	20	18	100	52442	110484	883872	0	0	51.63188176886994	51.80555686297024	76.41266396945355	75.49536532141894	51.80555686297024,51.80555686297024,51.804234406681736,51.804234406681736,51.804234406681736,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,49.351818157246775,49.351818157246775,49.351818157246775,49.351818157246775,49.351818157246775,49.351818157246775,49.351818157246775,49.351818157246775,49.351818157246775,49.351818157246775,49.351818157246775,49.351818157246775,49.351818157246775,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994,51.63188176886994	0.9948566686893648	51.80555686297024	13	true	179
32	21	18	100	52437	110484	883872	0	0	31.39814999609316	36.23194962340641	69.38596786485317	69.05865657772935	23.40320374555077,23.40320374555077,23.40320374555077,32.50429638239963,35.08257635034672,35.08257635034672,35.08257635034672,35.08257635034672,33.519180403752365,33.519180403752365,33.519180403752365,33.519180403752365,33.519180403752365,33.519180403752365,33.519180403752365,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,35.584627952385254,36.23194962340641,36.23194962340641,35.79740505151289,35.79740505151289,35.79740505151289,35.79740505151289,34.27792808958247,34.27792808958247,34.27792808958247,34.27792808958247,34.27792808958247,34.27792808958247,34.27792808958247,31.39814999609316,31.39814999609316,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,26.847722426974173,31.39814999609316,31.39814999609316	0.9939039047820968	36.23194962340641	17	true	195
33	23	22	100	53234	135036	1080288	0	0	18.742817928369064	37.880277638079775	67.99900546821841	72.38984515841248	17.13056236705703,17.13056236705703,35.306552613946955,35.306552613946955,37.880277638079775,37.880232337178796,35.847104251496326,35.847104251496326,35.847104251496326,35.847104251496326,35.847104251496326,35.847104251496326,37.11470543039797,37.11470543039797,34.485456097157964,34.485456097157964,34.485456097157964,34.485456097157964,34.485456097157964,35.774276632148755,35.774276632148755,35.774276632148755,34.50667545324711,34.50667545324711,34.50667545324711,34.50667545324711,34.50667545324711,34.50667545324711,34.50667545324711,34.50667545324711,34.50667545324711,34.50667545324711,34.50667545324711,34.50667545324711,34.50667545324711,33.857012287112326,30.01854028034208,30.01854028034208,30.01854028034208,30.01854028034208,30.01854028034208,30.01854028034208,30.01854028034208,30.01854028034208,30.01854028034208,30.01854028034208,30.44435873035276,30.347708622953796,30.347708622953796,29.161950485713078,26.78829966432481,26.78829966432481,24.807938481803887,24.807938481803887,24.807938481803887,25.719302869081652,25.719302869081652,25.719302869081652,25.719302869081652,25.719302869081652,25.719302869081652,25.5898095627606,25.5898095627606,25.5898095627606,25.5898095627606,24.973959839946893,22.433788670067393,19.961229012843198,19.961229012843198,19.039135393145287,19.039135393145287,19.039135393145287,19.039135393145287,19.039135393145287,19.039135393145287,19.039135393145287,19.039135393145287,19.039135393145287,19.039135393145287,24.383145514177187,24.383145514177187,24.38744395732909,24.38744395732909,24.38744395732909,24.38744395732909,23.012550414953985,23.012550414953985,23.012550414953985,23.012550414953985,21.334167592633385,21.334167592633385,21.334167592633385,21.334167592633385,21.334167592633385,18.742817928369064,18.742817928369064,18.742817928369064,18.742817928369064,18.742817928369064,18.742817928369064	0.9928616182072072	37.880277638079775	17	true	226
34	23	20	100	52895	122760	982080	0	0	55.475870321691275	55.475870321691275	66.8082722190408	66.8082722190408	17.025061844458524,17.025061844458524,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,18.50961576049272,18.50961576049272,18.50961576049272,18.50961576049272,18.50961576049272,18.50961576049272,18.50961576049272,18.50961576049272,18.50961576049272,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,19.016601763602978,25.66763652191061,34.59760145360275,34.59760145360275,34.59760145360275,39.90691763142112,39.90691763142112,39.90691763142112,39.90691763142112,39.90691763142112,39.90691763142112,39.90691763142112,39.90691763142112,39.90691763142112,44.23000523098624,44.23000523098624,44.23000523098624,44.23000523098624,44.23000523098624,44.23000523098624,44.23000523098624,44.23000523098624,48.08306390287457,51.442986405341195,51.442986405341195,52.72080537593104,52.72080537593104,53.48627646045783,53.48627646045783,53.48627646045783,53.48627646045783,53.48627646045783,53.48627646045783,53.48627646045783,53.48627646045783,53.48627646045783,53.48627646045783,53.48627646045783,52.1981443964502,52.1981443964502,55.475870321691275	0.9929303777571444	55.475870321691275	11	true	327
