# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 2
# run: d0a7e2ba-6069-4f32-8b1c-25b773a1d962
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	51769	92070	736560	0	0	44.7433097712766	44.7433097712766	61.937013917770656	61.937013917770656	26.825977549862202,26.825977549862202,25.547388446248902,25.547388446248902,25.547388446248902,25.547388446248902,31.074770619149888,36.17299482846744,36.17299482846744,36.17299482846744,36.17299482846744,36.17299482846744,36.17299482846744,36.17299482846744,36.17299482846744,36.17299482846744,36.17299482846744,36.17299482846744,36.17299482846744,35.34691413792902,32.656966654307155,37.25567934086137,37.25567934086137,37.25567934086137,37.25567934086137,37.25567934086137,37.25567934086137,41.268480922523324,42.5261363464474,42.5261363464474,42.5261363464474,42.5261363464474,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,41.22728159711632,43.91722908073818,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766,44.7433097712766	0.9960817657423182	44.7433097712766	11	true	1024
26	15	15	100	52037	92070	736560	0	0	60.44696501005829	61.35256448716237	69.02513480942774	68.97486544061235	54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,54.73256847033079,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,57.75286499404322,60.65846447114731,60.65846447114731,61.35256448716237,61.35256448716237,61.35256448716237,61.35256448716237,61.35256448716237,61.35256448716237,61.35256448716237,61.35256448716237,61.35256448716237,59.70002866190711,57.07111012576389,57.07111012576389,57.07111012576389,57.07111012576389,54.16276210772671,54.16276210772671,54.16276210772671,57.07111012576389,57.07111012576389,59.478656108328124,59.478656108328124,59.478656108328124,59.478656108328124,59.851088274315615,59.851088274315615,59.851088274315615,59.851088274315615,59.851088274315615,59.851088274315615,59.851088274315615,59.851088274315615,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829,60.44696501005829	0.9960817657423182	61.35256448716237	9	true	373
27	15	15	100	52151	92070	736560	0	0	65.4366955417881	65.44047439549716	72.65564886562323	72.16640504619575	65.44047439549716,65.44047439549716,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881,65.4366955417881	0.9960817657423182	65.44047439549716	9	true	384
28	15	15	100	52098	92070	736560	0	0	68.65560387411305	68.65560387411305	75.32373148048978	75.32373148048978	61.501839775533455,61.501839775533455,61.501839775533455,61.501839775533455,61.501839775533455,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305,68.65560387411305	0.9960817657423182	68.65560387411305	9	true	210
29	15	15	100	51961	92070	736560	0	0	71.80579945334982	71.80579945334982	76.2459355233581	76.2459355233581	63.97503142267442,63.97503142267442,63.97503142267442,63.97503142267442,63.97503142267442,63.97503142267442,63.97503142267442,63.97503142267442,67.87069238459938,67.87069238459938,67.87069238459938,67.87069238459938,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,70.94586794983906,71.80579945334982,71.80579945334982,71.80579945334982,71.80579945334982	0.9959128826372083	71.80579945334982	8	true	146
30	16	15	100	51734	92070	736560	0	0	60.75821366424008	60.75821366424008	74.07534400490893	74.07534400490893	47.103052093444326,47.103052093444326,53.55499535048953,53.51422637929513,54.01970922747423,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,51.43585495763602,56.38677728354333,56.38677728354333,56.38677728354333,56.38677728354333,56.38677728354333,56.38677728354333,56.38677728354333,56.38677728354333,56.38677728354333,56.38677728354333,56.38677728354333,56.38677728354333,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008,60.75821366424008	0.9955479927767744	60.75821366424008	11	true	149
31	17	15	100	51882	92070	736560	0	0	58.267070584340715	58.267070584340715	72.48787078588592	72.48787078588592	22.389443718357857,22.389443718357857,23.4570337449261,23.4570337449261,23.4570337449261,23.4570337449261,23.4570337449261,23.4570337449261,23.4570337449261,27.336789481416677,30.4524613455677,30.4524613455677,30.4524613455677,34.7857162748667,34.7857162748667,34.7857162748667,34.7857162748667,34.7857162748667,34.7857162748667,40.70633366375771,40.70633366375771,39.04237594145096,39.04237594145096,36.46539101574761,36.46539101574761,36.46539101574761,36.46539101574761,42.60778776352437,42.60778776352437,42.60778776352437,42.60778776352437,42.60778776352437,42.60778776352437,42.60778776352437,42.60778776352437,42.60778776352437,42.60778776352437,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,45.13188460439933,46.46353234662453,46.46353234662453,46.46353234662453,46.46353234662453,46.817433111617135,46.817433111617135,46.2340605160464,46.2340605160464,46.2340605160464,46.2340605160464,46.2340605160464,46.2340605160464,46.2340605160464,46.2340605160464,46.2340605160464,50.05212147429019,54.95750304322141,54.95750304322141,54.95750304322141,57.349700648091144,57.349700648091144,57.349700648091144,57.349700648091144,57.349700648091144,57.349700648091144,57.349700648091144,57.349700648091144,57.349700648091144,57.349700648091144,57.349700648091144,57.349700648091144,58.267070584340715,58.267070584340715,58.267070584340715,58.267070584340715,58.267070584340715,58.267070584340715,58.267070584340715	0.99532387539205	58.267070584340715	11	true	119
32	17	16	100	51977	98208	785664	0	0	63.62935401323223	63.62935401323223	72.113659363763	72.113659363763	34.25971895880308,34.25971895880308,34.25971895880308,34.25971895880308,34.25971895880308,34.25971895880308,34.25971895880308,34.25971895880308,34.25971895880308,34.182451546141166,32.75612406834165,29.55853916315421,29.55853916315421,29.55853916315421,29.55853916315421,29.55853916315421,29.55853916315421,29.55853916315421,29.55853916315421,29.55853916315421,32.75612406834165,34.182451546141166,34.182451546141166,34.182451546141166,34.25971895880308,34.25971895880308,39.34676233551184,39.34676233551184,39.34676233551184,39.34676233551184,39.34676233551184,39.34676233551184,39.34676233551184,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,43.88685527570881,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,52.75508368948648,55.94564187140199,58.36621790461267,57.5007538399757,57.5007538399757,57.5007538399757,57.5007538399757,57.5007538399757,57.5007538399757,57.5007538399757,57.5007538399757,57.5007538399757,57.5007538399757,57.5007538399757,59.74598949711151,59.74598949711151,61.98479902541651,61.98479902541651,61.98479902541651,61.98479902541651,61.98479902541651,61.98479902541651,61.98479902541651,61.98479902541651,61.98479902541651,61.98479902541651,61.98479902541651,60.87869776749078,60.87869776749078,60.87869776749078,60.87869776749078,60.87869776749078,60.87869776749078,60.87869776749078,60.87869776749078,60.87869776749078,60.87869776749078,63.62935401323223	0.9952902084353822	63.62935401323223	8	true	155
33	17	17	100	52302	104346	834768	0	0	55.68618740929048	56.47559982660118	74.16577929756721	74.16999807800809	31.432073126317,31.432073126317,38.0822213112044,42.86699523408715,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,40.68470511759474,42.62688475671993,42.53196634962512,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,40.40119246967646,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,45.83171937304732,49.086391377197685,56.47559982660118,55.68618740929048,55.68618740929048,55.68618740929048,55.68618740929048,55.68618740929048,55.68618740929048,55.68618740929048	0.9948190903707387	56.47559982660118	11	true	157
34	17	16	100	52144	98208	785664	0	0	63.37644268240132	63.37644268240132	68.78357341794943	68.78357341794943	28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,28.157456448286528,34.09508899137208,34.09508899137208,34.09508899137208,34.09508899137208,34.09508899137208,34.09508899137208,34.09508899137208,34.09508899137208,34.09508899137208,34.09508899137208,39.55198424815961,39.55198424815961,39.55198424815961,39.55198424815961,39.55198424815961,39.55198424815961,39.55198424815961,41.9418397859889,43.04081362222954,43.04081362222954,43.04081362222954,43.04081362222954,49.691491109604215,57.14344827647527,62.54658638654698,62.54658638654698,62.54658638654698,62.54658638654698,62.54658638654698,62.54658638654698,62.54658638654698,62.54658638654698,62.54658638654698,62.54658638654698,62.54658638654698,62.54658638654698,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132,63.37644268240132	0.9948004474305641	63.37644268240132	8	true	142
