# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 7
# run: e342bbb5-c96e-454b-ab9e-ace77fe48bf0
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	52071	92070	736560	0	0	44.511392082649195	45.92640552935545	61.22873364377968	61.225532933001375	26.824313061577897,26.824313061577897,25.545885689181517,25.545885689181517,25.545885689181517,31.07440758190269,31.07440758190269,36.172796659036436,36.172796659036436,36.172796659036436,36.172796659036436,36.172796659036436,36.172796659036436,36.172796659036436,36.172796659036436,36.172796659036436,36.172796659036436,36.172796659036436,36.172796659036436,36.172796659036436,32.65556292205537,32.65556292205537,37.25414221661445,37.25414221661445,37.25414221661445,37.25414221661445,37.25414221661445,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,41.266998804546205,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,44.78423254152729,45.92640552935545,45.92640552935545,45.92640552935545,45.92640552935545,44.511392082649195,44.511392082649195	0.9960817657423182	45.92640552935545	11	true	1021
26	15	15	100	51957	92070	736560	0	0	53.64102720251279	60.639402381294545	69.11805383620272	68.97335229299297	55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,55.86913277878247,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,57.634106639586065,60.639402381294545,60.26577703154746,60.26577703154746,60.26577703154746,60.26577703154746,60.26577703154746,60.26577703154746,60.26577703154746,60.26577703154746,60.26577703154746,58.71219083916543,58.71219083916543,58.71219083916543,58.71219083916543,58.71219083916543,57.37271347470004,57.37271347470004,57.37271347470004,54.16828733590023,54.16828733590023,54.16828733590023,54.16828733590023,54.16828733590023,54.16828733590023,54.16828733590023,54.16828733590023,53.95844837857203,53.95844837857203,53.95844837857203,53.95844837857203,53.95844837857203,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,56.85173849710831,53.64102720251279,53.64102720251279,53.64102720251279,53.64102720251279	0.9960817657423182	60.639402381294545	9	true	508
27	15	15	100	51894	92070	736560	0	0	63.01843813842979	63.01843813842979	70.45679195194143	70.45679195194143	56.41019460557086,56.41019460557086,56.41019460557086,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,58.38170552109783,62.03986856928097,62.03986856928097,62.03986856928097,62.03986856928097,62.03986856928097,62.03986856928097,62.03986856928097,62.03986856928097,62.03986856928097,62.03986856928097,62.03986856928097,62.03986856928097,63.01843813842979,63.01843813842979,63.01843813842979,63.01843813842979,63.01843813842979,63.01843813842979,63.01843813842979,63.01843813842979	0.9958718681688247	63.01843813842979	8	true	220
28	17	17	100	52467	104346	834768	0	0	46.10381341093415	50.117861212325295	72.5669800771448	72.10155267789726	41.08483311818462,41.08483311818462,42.88266610506224,50.117861212325295,50.117861212325295,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415,46.10381341093415	0.9952702495229601	50.117861212325295	11	true	235
29	17	17	100	52282	104346	834768	0	0	60.39229132858058	60.39229132858058	74.10896517784462	74.10896517784462	48.337583260791575,48.337583260791575,48.337583260791575,48.337583260791575,48.337583260791575,48.337583260791575,52.23924798899857,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,55.36530549588102,56.12957609504441,56.12957609504441,56.12957609504441,56.12957609504441,56.12957609504441,56.12957609504441,60.39229132858058,60.39229132858058,60.39229132858058	0.9952702495229601	60.39229132858058	9	true	364
30	20	20	100	52767	122760	982080	0	0	66.3994677146326	69.03278655932999	80.76509924875897	80.76509924875897	48.41593605926434,48.41593605926434,48.41593605926434,48.41593605926434,48.41593605926434,48.993519917120615,48.993519917120615,48.993519917120615,48.993519917120615,48.993519917120615,48.993519917120615,48.993519917120615,52.98444195276013,52.98444195276013,52.98444195276013,52.98444195276013,52.98444195276013,52.98444195276013,52.98444195276013,54.98568388882639,54.98568388882639,54.95271126923524,54.143272648675854,54.143272648675854,54.143272648675854,54.143272648675854,54.143272648675854,54.143272648675854,56.085720195577984,56.085720195577984,56.085720195577984,56.085720195577984,56.085720195577984,56.085720195577984,56.085720195577984,56.085720195577984,56.085720195577984,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,58.17319045922895,62.981648133828216,62.981648133828216,62.981648133828216,62.981648133828216,62.981648133828216,62.981648133828216,69.03278655932999,68.73284652896135,68.73284652896135,68.73284652896135,68.73284652896135,68.73284652896135,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326,66.3994677146326	0.9948494308420032	69.03278655932999	9	true	324
31	20	18	100	52403	110484	883872	0	0	47.94914746229239	52.58182629496744	70.29716333588674	70.29716333588674	38.31501770981919,38.31501770981919,37.55884814527337,36.035936113791664,36.035936113791664,36.035936113791664,34.0974283641949,29.814768458725244,26.422447029577008,25.06236862789231,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,21.93282610795204,25.06236862789231,25.06236862789231,25.06236862789231,25.06236862789231,25.06236862789231,25.06236862789231,25.06236862789231,26.422447029577008,26.422447029577008,26.422447029577008,26.422447029577008,26.422447029577008,26.422447029577008,26.422447029577008,26.422447029577008,26.422447029577008,26.422447029577008,28.891408372786593,33.32475135317473,33.32475135317473,33.32475135317473,33.32475135317473,33.32475135317473,33.32475135317473,31.552026219295346,31.552026219295346,31.552026219295346,34.92544012201677,34.92544012201677,37.21298547895145,37.21298547895145,37.21298547895145,37.21298547895145,37.21298547895145,41.146607777083204,41.146607777083204,41.146607777083204,41.146607777083204,46.63398785222438,48.37958780749311,48.37958780749311,48.37958780749311,48.37958780749311,48.37958780749311,48.37958780749311,48.37958780749311,48.37958780749311,48.37958780749311,47.4390021646405,45.52874228235045,45.52874228235045,45.52874228235045,45.52874228235045,47.4390021646405,48.37958780749311,48.37958780749311,48.37958780749311,52.58182629496744,52.58182629496744,52.58182629496744,47.94914746229239,47.94914746229239,47.94914746229239,47.94914746229239,47.94914746229239,47.94914746229239,47.94914746229239,47.94914746229239,47.94914746229239,47.94914746229239,47.94914746229239	0.9944840292145838	52.58182629496744	10	true	258
32	21	18	100	52553	110484	883872	0	0	27.451784631156297	27.451784631156297	63.86041172434307	63.86041172434307	0.9277289030111646,0.9277289030111646,11.180030872528626,10.739985080725148,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-11.322320434648407,-4.246482511785249,-4.246482511785249,-4.246482511785249,-4.246482511785249,-4.246482511785249,-4.246482511785249,-4.246482511785249,-4.246482511785249,-4.246482511785249,2.495897123809634,2.495897123809634,2.495897123809634,2.495897123809634,2.495897123809634,2.495897123809634,2.495897123809634,2.495897123809634,2.495897123809634,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,23.90693733794592,27.451784631156297,27.451784631156297,27.451784631156297,27.451784631156297,27.451784631156297	0.9936784348703401	27.451784631156297	12	true	171
33	23	19	100	52699	116622	932976	0	0	-35.742107458741486	-9.472752414505912	58.888961061947235	60.70889086711585	-16.483425067730536,-16.483425067730536,-13.411959338729275,-13.411959338729275,-13.411959338729275,-13.411959338729275,-9.472752414505912,-16.605558250869073,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-25.414834427542683,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-31.823296721757707,-34.892520356723054,-34.892520356723054,-34.892520356723054,-38.563623503780775,-42.86933443253423,-42.86933443253423,-42.86933443253423,-47.86637032733603,-47.86637032733603,-47.86637032733603,-47.86637032733603,-47.86637032733603,-47.86637032733603,-47.86637032733603,-47.86637032733603,-47.86637032733603,-44.594464790063284,-44.594464790063284,-44.594464790063284,-44.594464790063284,-44.594464790063284,-44.594464790063284,-44.594464790063284,-35.742107458741486,-35.742107458741486,-42.090496815948185,-35.742107458741486,-35.742107458741486,-35.742107458741486,-35.742107458741486,-35.742107458741486,-35.742107458741486,-35.742107458741486,-35.742107458741486,-35.742107458741486,-35.742107458741486	0.9930493635811992	-9.472752414505912	23	true	194
34	23	18	100	52352	110484	883872	0	0	30.58550991523143	33.24816329007531	58.86765480342001	59.069578914594956	-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-43.89864259138321,-35.90419023106391,-35.90419023106391,-35.90419023106391,-35.90419023106391,-28.2066470000355,-28.2066470000355,-28.2066470000355,14.585758042156332,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,27.123897996273616,28.116751176494407,28.116751176494407,28.116751176494407,28.116751176494407,28.116751176494407,28.116751176494407,28.116751176494407,28.116751176494407,28.116751176494407,28.116751176494407,31.394222349748578,31.394222349748578,31.394222349748578,31.394222349748578,31.394222349748578,31.394222349748578,31.394222349748578,31.394222349748578,33.207977057239404,33.207977057239404,33.207977057239404,33.207977057239404,33.207977057239404,33.207977057239404,33.207977057239404,33.207977057239404,33.207977057239404,33.207977057239404,33.207977057239404,33.207977057239404,33.207977057239404,33.24816329007531,31.948299565697813,31.948299565697813,31.948299565697813,31.925872114795556,31.925872114795556,31.925872114795556,31.925574129827336,30.58550991523143,30.58550991523143,30.58550991523143,30.58550991523143,30.58550991523143,30.58550991523143	0.993106937367032	33.24816329007531	15	true	390
