# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0f775468-bccd-4256-901d-3ec6c89c923f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67770	118800	950400	0	0	42.05766484246924	42.05766484246924	68.37041202533558	68.37041202533558	4.962030753201617,4.962030753201617,2.928685553766229,2.928685553766229,2.928685553766229,2.928685553766229,15.76956175773099,21.67815924956068,21.67815924956068,21.67815924956068,21.67815924956068,21.67815924956068,21.67815924956068,21.67815924956068,21.67815924956068,21.67815924956068,21.67815924956068,21.67815924956068,21.03173535222406,21.03173535222406,26.548300051760904,25.891028209431354,25.891028209431354,25.891028209431354,33.57614712313687,31.67247856254889,31.67247856254889,31.67247856254889,31.67247856254889,33.57614712313687,34.310019574364716,34.310019574364716,34.310019574364716,34.310019574364716,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.19080818576392,34.967291416694266,34.967291416694266,34.967291416694266,34.967291416694266,34.967291416694266,34.967291416694266,34.967291416694266,34.967291416694266,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924,42.05766484246924	0.9966306358339244	42.05766484246924	17	false	1442
26	15	15	100	67741	118800	950400	0	0	52.334281953482304	52.334281953482304	73.29637046686874	73.29637046686874	47.35462218520986,47.35462218520986,47.35462218520986,47.35462218520986,47.35462218520986,47.35462218520986,47.35462218520986,47.35462218520986,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304,52.334281953482304	0.9960817657423182	52.334281953482304	18	false	596
27	15	15	100	67671	118800	950400	0	0	60.44239954777562	60.44239954777562	78.45060839043687	78.45060839043687	58.34963036670287,58.34963036670287,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,57.05686561366005,60.44239954777562,60.44239954777562,60.44239954777562,60.44239954777562,60.44239954777562,60.44239954777562,60.44239954777562,60.44239954777562	0.9960817657423182	60.44239954777562	17	false	1226
28	15	15	100	67751	118800	950400	0	0	66.62683931253734	66.62683931253734	81.42500106443421	81.42500106443421	51.815008246709255,51.815008246709255,51.815008246709255,51.815008246709255,51.815008246709255,63.321499486913055,63.321499486913055,63.321499486913055,63.321499486913055,63.17606751962737,63.17606751962737,63.17606751962737,63.17606751962737,63.17606751962737,63.17606751962737,63.17606751962737,63.17606751962737,63.17606751962737,63.17606751962737,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,60.865219850427735,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,64.2416481427786,66.62683931253734,66.62683931253734,66.62683931253734,66.62683931253734,66.62683931253734,66.62683931253734	0.9960817657423182	66.62683931253734	16	false	315
29	15	15	100	67691	118800	950400	0	0	69.84896905426896	69.84896905426896	84.66560710875045	84.66560710875045	55.17413980645695,55.17413980645695,55.17413980645695,55.17413980645695,55.17413980645695,55.17413980645695,55.17413980645695,55.17413980645695,55.17413980645695,60.12648483125817,60.12648483125817,64.55398832268179,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,66.3856830699079,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,65.98966655474811,63.489138416833754,63.489138416833754,63.489138416833754,63.489138416833754,63.489138416833754,63.489138416833754,63.489138416833754,63.489138416833754,63.489138416833754,63.489138416833754,63.489138416833754,63.489138416833754,67.08825336810415,67.08825336810415,67.08825336810415,67.08825336810415,67.08825336810415,67.08825336810415,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896,69.84896905426896	0.9960817657423182	69.84896905426896	16	false	224
30	15	14	100	67586	110880	887040	0	0	55.07324343968648	58.47048265204359	75.9016135204504	75.5930329446547	36.21181531531586,36.21181531531586,33.939776769079614,33.939776769079614,33.939776769079614,33.939776769079614,33.939776769079614,33.939776769079614,33.939776769079614,33.939776769079614,33.939776769079614,33.939776769079614,33.939776769079614,33.939776769079614,33.939776769079614,40.561031115878876,40.561031115878876,46.84022805670098,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,50.78623987184129,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,52.90543947345793,53.8047536022755,53.8047536022755,53.8047536022755,53.8047536022755,53.8047536022755,53.8047536022755,53.8047536022755,57.912289861450745,58.47048265204359,58.47048265204359,58.47048265204359,57.43772638100252,57.43772638100252,57.43772638100252,57.43772638100252,57.43772638100252,57.43772638100252,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648,55.07324343968648	0.9959217654498799	58.47048265204359	18	false	212
31	15	14	100	67508	110880	887040	0	0	56.06866849982871	56.98212717232321	74.12377770951355	74.73927719963928	28.245321430842555,28.245321430842555,25.766666060617283,23.918470901789043,23.918470901789043,23.918470901789043,23.918470901789043,23.918470901789043,23.918470901789043,23.918470901789043,23.918470901789043,23.918470901789043,23.918470901789043,23.918470901789043,24.267394998836664,24.267394998836664,24.267394998836664,24.267394998836664,22.863723760319523,22.863723760319523,22.863723760319523,22.863723760319523,29.06884869660167,29.06884869660167,29.06884869660167,34.90819656319061,38.38867945097848,40.19551701381484,40.19551701381484,40.19551701381484,39.767346423838,39.767346423838,39.767346423838,40.72991020088414,40.72991020088414,40.72991020088414,40.72991020088414,40.72991020088414,40.73028041948994,40.73028041948994,40.73028041948994,40.73028041948994,40.73028041948994,40.73028041948994,40.73028041948994,40.73028041948994,40.73028041948994,40.73028041948994,40.73028041948994,40.73028041948994,49.07321060412486,49.07321060412486,49.07321060412486,49.07321060412486,49.07321060412486,49.07321060412486,49.07321060412486,49.07321060412486,47.62537046861866,47.62537046861866,47.62537046861866,47.62537046861866,47.62537046861866,47.62537046861866,47.62537046861866,47.62537046861866,56.98212717232321,56.98212717232321,56.98212717232321,56.98212717232321,56.98212717232321,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871,56.06866849982871	0.9957118678763863	56.98212717232321	18	false	177
32	16	14	100	67428	110880	887040	0	0	48.628327656858595	49.033745043551114	71.50802452435929	71.4073000977904	11.636005602570581,11.636005602570581,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,10.93134762759717,15.508672559249256,4.56665578503403,4.56665578503403,4.56665578503403,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,4.335621281870983,12.002969774110422,12.002969774110422,12.002969774110422,12.002969774110422,12.002969774110422,12.002969774110422,12.002969774110422,12.002969774110422,12.002969774110422,19.388480107701906,19.388480107701906,24.524365157008614,24.524365157008614,24.524365157008614,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,28.114898626012458,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,30.583826984227798,48.47237882225232,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,49.033745043551114,48.628327656858595,48.628327656858595,48.628327656858595,48.628327656858595,48.628327656858595	0.9955568390346611	49.033745043551114	20	false	435
33	17	15	100	67582	118800	950400	0	0	55.49541205753144	55.49541205753144	80.44031824719137	80.44031824719137	28.68047783061491,28.68047783061491,39.860762535537276,42.79698690008702,41.579857065799104,41.579857065799104,41.579857065799104,41.579857065799104,38.873893645947334,38.873893645947334,35.19721530330043,35.19721530330043,35.19721530330043,35.19721530330043,35.19721530330043,35.19721530330043,35.19721530330043,35.19721530330043,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,38.873893645947334,44.917379899462006,44.917379899462006,44.917379899462006,44.917379899462006,44.917379899462006,44.917379899462006,44.917379899462006,44.917379899462006,44.917379899462006,50.57644319590992,53.87522505818535,53.87522505818535,53.87522505818535,55.49541205753144,55.49541205753144,55.49541205753144,55.49541205753144,55.49541205753144,55.49541205753144,55.49541205753144,55.49541205753144	0.9954176384146921	55.49541205753144	20	false	241
34	17	14	100	67334	110880	887040	0	0	46.96707826428553	46.96707826428553	72.0747847220807	72.0747847220807	2.180700853017603,2.180700853017603,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-3.351526491035351,-3.351526491035351,-3.351526491035351,-3.351526491035351,-3.351526491035351,-3.351526491035351,-3.351526491035351,-3.351526491035351,-0.8303644424187375,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,-1.3620737266451801,6.08209498646532,6.08209498646532,6.08209498646532,6.08209498646532,18.12865255766252,18.12865255766252,21.480191109904823,21.480191109904823,21.480191109904823,21.480191109904823,21.480191109904823,21.480191109904823,21.480191109904823,21.480191109904823,21.480191109904823,21.480191109904823,21.480191109904823,21.480191109904823,40.00582099783875,43.65304320071048,45.77294538556167,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.16253492361754,46.96707826428553	0.995437597327114	46.96707826428553	19	false	190
